id,index,name,first,total,ratio,v3,v2,btotal,bratio,btratio,tratio,fratio,v3f,v3r,v3tr,v3fr,v2f,v2r,v2tr,v2fr,v3i,v2i
66,108,命莲,0,16,0,8,1,26,0,0.16999999999999998,0.27,0,1,12.5,0.11,0.02,0,0,0.02,0,106,130
67,109,大鲶鱼,2,15,13.33,4,5,24,21.33,0.16,0.25,0.04,0,0,0.06,0,0,0,0.08,0,119,109
104,109,矜羯罗,2,15,13.33,4,2,24,21.33,0.16,0.25,0.04,1,25,0.06,0.02,0,0,0.03,0,119,121
18,109,梅露兰·普莉兹姆利巴,0,15,0,9,11,24,0,0.16,0.25,0,0,0,0.13,0,0,0,0.19,0,105,97
125,112,艾丽,0,14,0,12,7,22,0,0.15,0.24,0,1,8.33,0.16999999999999998,0.02,1,14.29,0.12,0.02,99,105
110,113,明罗,2,13,15.38,4,10,21,24.62,0.13999999999999999,0.22,0.04,2,50,0.06,0.03,1,10,0.16999999999999998,0.02,119,99
50,114,琪斯美,1,12,8.33,21,13,19,13.33,0.13,0.2,0.02,4,19.05,0.29,0.06,3,23.08,0.22,0.06,89,93
60,114,云山,0,12,0,5,5,19,0,0.13,0.2,0,1,20,0.06999999999999999,0.02,0,0,0.08,0,115,109
181,116,UFO,4,11,36.36,5,2,18,58.18,0.12,0.19,0.06999999999999999,1,20,0.06999999999999999,0.02,1,50,0.03,0.02,115,121
124,116,胡桃,1,11,9.09,8,10,18,14.55,0.12,0.19,0.02,0,0,0.11,0,0,0,0.16999999999999998,0,106,99
116,118,朝仓理香子,1,10,10,2,2,16,16,0.11,0.16999999999999998,0.02,0,0,0.03,0,0,0,0.03,0,129,121
25,118,蕾拉·普莉兹姆利巴,0,10,0,8,4,16,0,0.11,0.16999999999999998,0,2,25,0.11,0.03,0,0,0.06999999999999999,0,106,114
117,118,北白河千百合,0,10,0,12,12,16,0,0.11,0.16999999999999998,0,0,0,0.16999999999999998,0,0,0,0.2,0,99,94
126,118,梦月,0,10,0,3,2,16,0,0.11,0.16999999999999998,0,0,0,0.04,0,0,0,0.03,0,124,121
147,118,龙神,0,10,0,6,5,16,0,0.11,0.16999999999999998,0,2,33.33,0.08,0.03,2,40,0.08,0.04,114,109
132,123,梦子,1,9,11.11,10,3,14,17.78,0.1,0.15,0.02,0,0,0.13999999999999999,0,1,33.33,0.05,0.02,102,117
130,123,雪,0,9,0,8,2,14,0,0.1,0.15,0,1,12.5,0.11,0.02,0,0,0.03,0,106,121
191,125,STG作品中没有名称的角色,0,8,0,10,-,13,0,0.08,0.13999999999999999,0,0,0,0.13999999999999999,0,-,-,-,-,102,-
