id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
51,东方文花帖,東方文花帖,出版物,68,novel003,8,11,22,19.51%,0.1%,26.83%,0.13%,53.66%,0.27%,41,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,1,射命丸文,1992,1992,1992
52,东方紫香花,東方紫香花,出版物,23,novel004,3,6,2,27.27%,0.04%,54.55%,0.07%,18.18%,0.02%,11,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,1,八云紫,1763,1763,1763
53,东方外来韦编,東方外來韋編,出版物,44,novel011,6,7,12,24%,0.07%,28%,0.09%,48%,0.15%,25,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,1,射命丸文,1992,1992,1992
54,燕石博物志,燕石博物誌,音乐CD,84,music080,7,17,29,13.21%,0.09%,32.08%,0.21%,54.72%,0.35%,53,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
55,旧约酒吧,旧約酒場,音乐CD,61,music090,4,16,17,10.81%,0.05%,43.24%,0.2%,45.95%,0.21%,37,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1716,928,858
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,8,game145ps4,1,2,1,25%,0.01%,50%,0.02%,25%,0.01%,4,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,13,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地恋，云山，云居一轮，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,10773,446,829
58,东方凭依华,東方憑依華,Windows游戏（FTG）,1334,game155,200,241,252,28.86%,2.44%,34.78%,2.94%,36.36%,3.07%,693,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,19,八云紫，铃仙·优昙华院·因幡，藤原妹红，河城荷取，比那名居天子，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，哆来咪·苏伊特，茨木华扇，依神女苑，依神紫苑,15919,507,838
59,东方天空璋,東方天空璋,Windows游戏（STG）,823,game160,129,141,154,30.42%,1.57%,33.25%,1.72%,36.32%,1.88%,424,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，莉莉白，圣白莲，爱塔妮缇拉尔瓦，坂田合欢乃，高丽野阿吽，矢田寺成美，尔子田里乃，丁礼田舞，摩多罗隐岐奈,6239,108,567
60,东方文果真报,東方文果真報,出版物,122,novel012,13,18,47,16.67%,0.16%,23.08%,0.22%,60.26%,0.57%,78,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,1,射命丸文,1992,1992,1992
62,秘封噩梦日记,秘封ナイトメアダイアリー,Windows游戏（STG）,35,game165,3,5,16,12.5%,0.04%,20.83%,0.06%,66.67%,0.2%,24,<a href='./?m=info&type=work&id=62' target='_blank'>点击查看详情</a>,4,宇佐见堇子，清兰，铃瑚，哆来咪·苏伊特,860,82,215
63,The Grimoire of Usami,The Grimoire of Usami,出版物,13,novel013,1,3,4,12.5%,0.01%,37.5%,0.04%,50%,0.05%,8,<a href='./?m=info&type=work&id=63' target='_blank'>点击查看详情</a>,5,八云紫，鬼人正邪，少名针妙丸，宇佐见堇子，摩多罗隐岐奈,4091,780,818
64,东方鬼形兽,東方鬼形獣,Windows游戏（STG）,1117,game170,135,237,238,22.13%,1.65%,38.85%,2.89%,39.02%,2.9%,610,<a href='./?m=info&type=work&id=64' target='_blank'>点击查看详情</a>,11,魂魄妖梦，西行寺幽幽子，四季映姬·夜摩仙那度，茨木华扇，戎璎花，牛崎润美，庭渡久侘歌，吉吊八千慧，杖刀偶磨弓，埴安神袿姬，骊驹早鬼,7157,491,651
67,东方醉蝶华,東方酔蝶華,出版物,525,novel015,52,109,151,16.67%,0.63%,34.94%,1.33%,48.4%,1.84%,312,<a href='./?m=info&type=work&id=67' target='_blank'>点击查看详情</a>,1,奥野田美宵,350,350,350
