id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
53,东方外来韦编,東方外來韋編,出版物,44,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,novel011,6,7,12,24%,0.07%,28%,0.09%,48%,0.15%,25,0.3%,23,2,92%,8%,0.23%,0.12%,
54,燕石博物志,燕石博物誌,音乐CD,84,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,music080,7,17,29,13.21%,0.09%,32.08%,0.21%,54.72%,0.35%,53,0.65%,46,7,86.79%,13.21%,0.46%,0.41%,
55,旧约酒吧,旧約酒場,音乐CD,61,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,music090,4,16,17,10.81%,0.05%,43.24%,0.2%,45.95%,0.21%,37,0.45%,29,8,78.38%,21.62%,0.29%,0.47%,
56,深秘乐曲集·补,深秘的楽曲集·補,音乐CD,7,<a href='./?m=info&type=work&id=56' target='_blank'>点击查看详情</a>,ost060,1,2,0,33.33%,0.01%,66.67%,0.02%,0%,0%,3,0.04%,2,1,66.67%,33.33%,0.02%,0.06%,
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,8,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,game145ps4,1,2,1,25%,0.01%,50%,0.02%,25%,0.01%,4,0.05%,3,1,75%,25%,0.03%,0.06%,
58,东方凭依华,東方憑依華,Windows游戏（FTG）,1334,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,game155,200,241,252,28.86%,2.44%,34.78%,2.94%,36.36%,3.07%,693,8.45%,606,87,87.45%,12.55%,6.09%,5.06%,
59,东方天空璋,東方天空璋,Windows游戏（STG）,823,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,game160,129,141,154,30.42%,1.57%,33.25%,1.72%,36.32%,1.88%,424,5.17%,338,86,79.72%,20.28%,3.4%,5%,
60,东方文果真报,東方文果真報,出版物,122,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,novel012,13,18,47,16.67%,0.16%,23.08%,0.22%,60.26%,0.57%,78,0.95%,69,9,88.46%,11.54%,0.69%,0.52%,
61,完全凭依唱片名录,完全憑依ディスコグラフィ,音乐CD,48,<a href='./?m=info&type=work&id=61' target='_blank'>点击查看详情</a>,ost070,8,8,8,33.33%,0.1%,33.33%,0.1%,33.33%,0.1%,24,0.29%,22,2,91.67%,8.33%,0.22%,0.12%,
62,秘封噩梦日记,秘封ナイトメアダイアリー,Windows游戏（STG）,35,<a href='./?m=info&type=work&id=62' target='_blank'>点击查看详情</a>,game165,3,5,16,12.5%,0.04%,20.83%,0.06%,66.67%,0.2%,24,0.29%,16,8,66.67%,33.33%,0.16%,0.47%,
63,The Grimoire of Usami,The Grimoire of Usami,出版物,13,<a href='./?m=info&type=work&id=63' target='_blank'>点击查看详情</a>,novel013,1,3,4,12.5%,0.01%,37.5%,0.04%,50%,0.05%,8,0.1%,6,2,75%,25%,0.06%,0.12%,
64,东方鬼形兽,東方鬼形獣,Windows游戏（STG）,1117,<a href='./?m=info&type=work&id=64' target='_blank'>点击查看详情</a>,game170,135,237,238,22.13%,1.65%,38.85%,2.89%,39.02%,2.9%,610,7.44%,466,144,76.39%,23.61%,4.68%,8.38%,
65,东方刚欲异闻,東方剛欲異聞,Windows游戏（ACT）,100,<a href='./?m=info&type=work&id=65' target='_blank'>点击查看详情</a>,game175,11,19,29,18.64%,0.13%,32.2%,0.23%,49.15%,0.35%,59,0.72%,53,6,89.83%,10.17%,0.53%,0.35%,
66,东方智灵奇传,東方智霊奇伝,出版物,62,<a href='./?m=info&type=work&id=66' target='_blank'>点击查看详情</a>,novel014,7,8,25,17.5%,0.09%,20%,0.1%,62.5%,0.3%,40,0.49%,30,10,75%,25%,0.3%,0.58%,
67,东方醉蝶华,東方酔蝶華,出版物,525,<a href='./?m=info&type=work&id=67' target='_blank'>点击查看详情</a>,novel015,52,109,151,16.67%,0.63%,34.94%,1.33%,48.4%,1.84%,312,3.8%,290,22,92.95%,7.05%,2.91%,1.28%,
68,东方Project人妖名鉴,東方Project人妖名鑑,出版物,91,<a href='./?m=info&type=work&id=68' target='_blank'>点击查看详情</a>,novel016,9,20,24,16.98%,0.11%,37.74%,0.24%,45.28%,0.29%,53,0.65%,43,10,81.13%,18.87%,0.43%,0.58%,
