id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
21,东方辉针城,東方輝針城,Windows游戏（STG）,1308,game140,218,229,196,33.9%,3.78%,35.61%,3.98%,30.48%,3.4%,643,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，蕾米莉亚·斯卡蕾特，若鹭姬，赤蛮奇，今泉影狼，九十九弁弁，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,5856,200,532
22,弹幕天邪鬼,弾幕アマノジャク,Windows游戏（STG）,651,game143,88,132,123,25.66%,1.53%,38.48%,2.29%,35.86%,2.14%,343,<a href='./?m=info&type=work&id=22' target='_blank'>点击查看详情</a>,6,二岩猯藏，今泉影狼，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,1627,156,271
23,东方深秘录,東方深秘録,Windows游戏（FTG）,835,game145,127,156,142,29.88%,2.2%,36.71%,2.71%,33.41%,2.47%,425,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,15,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地觉，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,8653,433,577
24,东方绀珠传,東方紺珠伝,Windows游戏（STG）,1988,game150,340,330,308,34.76%,5.9%,33.74%,5.73%,31.49%,5.35%,978,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,15,八云紫，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，东风谷早苗，八坂神奈子，洩矢诹访子，清兰，铃瑚，哆来咪·苏伊特，稀神探女，克劳恩皮丝，纯狐，赫卡提亚·拉碧斯拉祖利,7942,386,529
26,莲台野夜行,蓮台野夜行,音乐CD,141,music020,14,35,29,17.95%,0.24%,44.87%,0.61%,37.18%,0.5%,78,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
27,梦违科学世纪,夢違科学世紀,音乐CD,210,music030,23,49,43,20%,0.4%,42.61%,0.85%,37.39%,0.75%,115,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
28,卯酉东海道,卯酉東海道,音乐CD,170,music040,23,32,37,25%,0.4%,34.78%,0.56%,40.22%,0.64%,92,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
29,大空魔术,大空魔術,音乐CD,288,music050,43,51,57,28.48%,0.75%,33.77%,0.89%,37.75%,0.99%,151,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
30,未知之花 魅知之旅,未知の花 魅知の旅,音乐CD,64,music055,6,14,18,15.79%,0.1%,36.84%,0.24%,47.37%,0.31%,38,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
31,鸟船遗迹,鳥船遺跡,音乐CD,75,music060,8,15,21,18.18%,0.14%,34.09%,0.26%,47.73%,0.36%,44,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
32,伊奘诺物质,伊弉諾物質,音乐CD,57,music070,6,14,11,19.35%,0.1%,45.16%,0.24%,35.48%,0.19%,31,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
43,东方香霖堂,東方香霖堂,出版物,352,novel001,57,51,79,30.48%,0.99%,27.27%,0.89%,42.25%,1.37%,187,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,2,宇佐见堇子，森近霖之助,457,247,229
44,东方三月精,東方三月精,出版物,337,novel002,57,50,66,32.95%,0.99%,28.9%,0.87%,38.15%,1.15%,173,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,4,八云紫，桑尼米尔克，露娜切尔德，斯塔萨菲雅,1714,76,429
45,东方儚月抄,東方儚月抄,出版物,255,novel006,28,47,77,18.42%,0.49%,30.92%,0.82%,50.66%,1.34%,152,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,9,西行寺幽幽子，八云紫，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，绵月丰姬，绵月依姬，Reisen,5363,386,596
46,东方茨歌仙,東方茨歌仙,出版物,431,novel008,58,78,101,24.47%,1.01%,32.91%,1.35%,42.62%,1.75%,237,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,7,十六夜咲夜，八云紫，伊吹萃香，小野塚小町，东风谷早苗，宇佐见堇子，茨木华扇,5546,639,792
47,东方铃奈庵,東方鈴奈庵,出版物,712,novel010,84,133,194,20.44%,1.46%,32.36%,2.31%,47.2%,3.37%,411,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,3,二岩猯藏，稗田阿求，本居小铃,742,261,247
48,东方求闻史纪,東方求聞史紀,出版物,368,novel005,50,60,98,24.04%,0.87%,28.85%,1.04%,47.12%,1.7%,208,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,1,稗田阿求,325,325,325
49,东方求闻口授,東方求聞口授,出版物,171,novel009,19,32,50,18.81%,0.33%,31.68%,0.56%,49.5%,0.87%,101,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,1,稗田阿求,325,325,325
51,东方文花帖,東方文花帖,出版物,51,novel003,5,11,14,16.67%,0.09%,36.67%,0.19%,46.67%,0.24%,30,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,1,射命丸文,1237,1237,1237
52,东方紫香花,東方紫香花,出版物,15,novel004,2,3,3,25%,0.03%,37.5%,0.05%,37.5%,0.05%,8,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,1,八云紫,1512,1512,1512
53,东方外来韦编,東方外來韋編,出版物,56,novel011,6,8,22,16.67%,0.1%,22.22%,0.14%,61.11%,0.38%,36,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,1,射命丸文,1237,1237,1237
54,燕石博物志,燕石博物誌,音乐CD,133,music080,18,23,33,24.32%,0.31%,31.08%,0.4%,44.59%,0.57%,74,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
55,旧约酒吧,旧約酒場,音乐CD,60,music090,5,12,21,13.16%,0.09%,31.58%,0.21%,55.26%,0.36%,38,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1174,648,587
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,31,game145ps4,4,6,7,23.53%,0.07%,35.29%,0.1%,41.18%,0.12%,17,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,13,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地恋，云山，云居一轮，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,6987,247,537
58,东方凭依华,東方憑依華,Windows游戏（FTG）,86,game155,12,16,18,26.09%,0.21%,34.78%,0.28%,39.13%,0.31%,46,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,14,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,7420,433,530
59,东方天空璋,東方天空璋,Windows游戏（STG）,1007,game160,138,199,195,25.94%,2.4%,37.41%,3.45%,36.65%,3.39%,532,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，莉莉白，圣白莲，爱塔妮缇拉尔瓦，坂田合欢乃，高丽野阿吽，矢田寺成美，尔子田里乃，丁礼田舞，摩多罗隐岐奈,4889,260,444
