id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
38,幻想曲拔萃,幻想曲抜萃,37,<a href='./?m=info&type=work&id=38' target='_blank'>点击查看详情</a>,ost010,5,7,8,25%,0.09%,35%,0.12%,40%,0.14%,20,0.35%,19,1,95%,5%,0.31%,0.06%,
39,全人类的天乐录,全人類ノ天楽録,66,<a href='./?m=info&type=work&id=39' target='_blank'>点击查看详情</a>,ost020,9,11,17,24.32%,0.16%,29.73%,0.19%,45.95%,0.3%,37,0.64%,34,3,91.89%,8.11%,0.55%,0.19%,
40,核热造神非想天则,核熱造神ヒソウテンソク,46,<a href='./?m=info&type=work&id=40' target='_blank'>点击查看详情</a>,ost030,5,11,9,20%,0.09%,44%,0.19%,36%,0.16%,25,0.43%,25,0,100%,0%,0.4%,0%,
41,暗黑能乐集心绮楼‎,暗黒能楽集·心綺楼,48,<a href='./?m=info&type=work&id=41' target='_blank'>点击查看详情</a>,ost040,7,7,13,25.93%,0.12%,25.93%,0.12%,48.15%,0.23%,27,0.47%,23,4,85.19%,14.81%,0.37%,0.26%,
42,深秘乐曲集‎,深秘的楽曲集,25,<a href='./?m=info&type=work&id=42' target='_blank'>点击查看详情</a>,ost050,4,4,5,30.77%,0.07%,30.77%,0.07%,38.46%,0.09%,13,0.23%,13,0,100%,0%,0.21%,0%,
43,东方香霖堂,東方香霖堂,352,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,novel001,57,51,79,30.48%,0.99%,27.27%,0.89%,42.25%,1.37%,187,3.25%,164,23,87.7%,12.3%,2.64%,1.49%,
44,东方三月精,東方三月精,337,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,novel002,57,50,66,32.95%,0.99%,28.9%,0.87%,38.15%,1.15%,173,3%,163,10,94.22%,5.78%,2.62%,0.65%,
45,东方儚月抄,東方儚月抄,255,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,novel006,28,47,77,18.42%,0.49%,30.92%,0.82%,50.66%,1.34%,152,2.64%,124,28,81.58%,18.42%,1.99%,1.82%,
46,东方茨歌仙,東方茨歌仙,431,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,novel008,58,78,101,24.47%,1.01%,32.91%,1.35%,42.62%,1.75%,237,4.11%,203,34,85.65%,14.35%,3.26%,2.21%,
47,东方铃奈庵,東方鈴奈庵,712,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,novel010,84,133,194,20.44%,1.46%,32.36%,2.31%,47.2%,3.37%,411,7.14%,341,70,82.97%,17.03%,5.48%,4.55%,
48,东方求闻史纪,東方求聞史紀,368,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,novel005,50,60,98,24.04%,0.87%,28.85%,1.04%,47.12%,1.7%,208,3.61%,177,31,85.1%,14.9%,2.85%,2.01%,
49,东方求闻口授,東方求聞口授,171,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,novel009,19,32,50,18.81%,0.33%,31.68%,0.56%,49.5%,0.87%,101,1.75%,81,20,80.2%,19.8%,1.3%,1.3%,
50,The Grimoire of Marisa,The Grimoire of Marisa,58,<a href='./?m=info&type=work&id=50' target='_blank'>点击查看详情</a>,novel007,10,7,14,32.26%,0.17%,22.58%,0.12%,45.16%,0.24%,31,0.54%,24,7,77.42%,22.58%,0.39%,0.45%,
51,东方文花帖,東方文花帖,51,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,novel003,5,11,14,16.67%,0.09%,36.67%,0.19%,46.67%,0.24%,30,0.52%,24,6,80%,20%,0.39%,0.39%,
52,东方紫香花,東方紫香花,15,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,novel004,2,3,3,25%,0.03%,37.5%,0.05%,37.5%,0.05%,8,0.14%,8,0,100%,0%,0.13%,0%,
53,东方外来韦编,東方外來韋編,56,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,novel011,6,8,22,16.67%,0.1%,22.22%,0.14%,61.11%,0.38%,36,0.63%,35,1,97.22%,2.78%,0.56%,0.06%,
54,燕石博物志,燕石博物誌,133,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,music080,18,23,33,24.32%,0.31%,31.08%,0.4%,44.59%,0.57%,74,1.28%,60,14,81.08%,18.92%,0.96%,0.91%,
55,旧约酒吧,旧約酒場,60,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,music090,5,12,21,13.16%,0.09%,31.58%,0.21%,55.26%,0.36%,38,0.66%,24,14,63.16%,36.84%,0.39%,0.91%,
56,深秘乐曲集·补,深秘的楽曲集·補,6,<a href='./?m=info&type=work&id=56' target='_blank'>点击查看详情</a>,ost060,0,2,2,0%,0%,50%,0.03%,50%,0.03%,4,0.07%,3,1,75%,25%,0.05%,0.06%,
57,东方深秘录PS4版,東方深秘録PS4,31,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,game145ps4,4,6,7,23.53%,0.07%,35.29%,0.1%,41.18%,0.12%,17,0.3%,14,3,82.35%,17.65%,0.23%,0.19%,
58,东方凭依华,東方憑依華,86,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,game155,12,16,18,26.09%,0.21%,34.78%,0.28%,39.13%,0.31%,46,0.8%,35,11,76.09%,23.91%,0.56%,0.71%,
59,东方天空璋,東方天空璋,1007,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,game160,138,199,195,25.94%,2.4%,37.41%,3.45%,36.65%,3.39%,532,9.24%,421,110,79.14%,20.68%,6.77%,7.14%,
60,东方文果真报,東方文果真報,123,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,novel012,13,22,40,17.33%,0.23%,29.33%,0.38%,53.33%,0.69%,75,1.3%,65,10,86.67%,13.33%,1.05%,0.65%,
