region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,75,丰聪耳神子,豊聡耳 神子,丰聪耳神子,42,42,,143.0,,17.0,,109.0,126.0,6365,0.1349206349206349,,,0.019795758051846035,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,111,稗田阿求,稗田 阿求,稗田阿求,42,42,,146.0,,20.0,,106.0,126.0,6365,0.15873015873015872,,,0.019795758051846035,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,52,水桥帕露西,水橋 パルスィ,水桥帕露西,44,44,,141.0,,17.0,,107.0,124.0,6365,0.13709677419354838,,,0.0194815396700707,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,112,森近霖之助,森近 霖之助,森近霖之助,45,45,,141.0,,22.0,,97.0,119.0,6365,0.18487394957983194,,,0.018695993715632363,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,43,河城荷取,河城 にとり,河城荷取,46,46,,133.0,,17.0,,99.0,116.0,6365,0.14655172413793102,,,0.018224666142969363,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,48,永江衣玖,永江 衣玖,永江衣玖,47,47,,127.0,,16.0,,95.0,111.0,6365,0.14414414414414414,,,0.01743912018853103,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,53,星熊勇仪,星熊 勇儀,星熊勇仪,48,48,,120.0,,12.0,,96.0,108.0,6365,0.1111111111111111,,,0.01696779261586803,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,108,神绮,神綺,神绮,49,49,,113.0,,11.0,,91.0,102.0,6365,0.10784313725490197,,,0.016025137470542027,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,46,八坂神奈子,八坂 神奈子,八坂神奈子,50,50,,109.0,,9.0,,91.0,100.0,6365,0.09,,,0.015710919088766692,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,30,因幡天为（因幡帝）,因幡 てゐ,因幡天为（因幡帝）,51,51,,110.0,,11.0,,88.0,99.0,6365,0.1111111111111111,,,0.015553809897879026,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,69,姬海棠果,姫海棠 はたて,姬海棠果,52,52,,105.0,,8.0,,89.0,97.0,6365,0.08247422680412371,,,0.015239591516103691,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,110,玛艾露贝莉赫恩,マエリベリー・ハーン,玛艾露贝莉·赫恩,53,53,,104.0,,12.0,,80.0,92.0,6365,0.13043478260869565,,,0.014454045561665357,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,7,小恶魔,小悪魔,小恶魔,54,54,,102.0,,13.0,,76.0,89.0,6365,0.14606741573033707,,,0.013982717989002356,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,135,人形（含上海人形、哥利亚人形）,,人形（含上海人形、哥利亚人形）,55,55,,91.0,,8.0,,75.0,83.0,6365,0.0963855421686747,,,0.013040062843676354,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,28,米斯蒂娅萝蕾拉,ミスティア・ローレライ,米斯蒂娅·萝蕾拉,56,56,,98.0,,16.0,,66.0,82.0,6365,0.1951219512195122,,,0.012882953652788688,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,132,毛玉,毛玉,毛玉,57,57,,79.0,,8.0,,63.0,71.0,6365,0.11267605633802817,,,0.011154752553024352,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,4,大妖精,大妖精,大妖精,58,58,,78.0,,8.0,,62.0,70.0,6365,0.11428571428571428,,,0.010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,78,魅魔,魅魔,魅魔,58,58,,80.0,,10.0,,60.0,70.0,6365,0.14285714285714285,,,0.010997643362136685,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,94,冈崎梦美,岡崎 夢美,冈崎梦美,60,60,,69.0,,8.0,,53.0,61.0,6365,0.13114754098360656,,,0.009583660644147682,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,12,冴月麟,C62サークルカットの娘,冴月麟,61,61,,66.0,,6.0,,54.0,60.0,6365,0.1,,,0.009426551453260016,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,73,苏我屠自古,蘇我 屠自古,苏我屠自古,62,62,,66.0,,7.0,,52.0,59.0,6365,0.11864406779661017,,,0.009269442262372349,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,62,村纱水蜜,村紗 水蜜,村纱水蜜,63,63,,66.0,,11.0,,44.0,55.0,6365,0.2,,,0.00864100549882168,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,71,宫古芳香,宮古 芳香,宫古芳香,64,64,,60.0,,7.0,,46.0,53.0,6365,0.1320754716981132,,,0.008326787117046347,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,36,梅蒂欣梅兰可莉,メディスン・メランコリー,梅蒂欣·梅兰可莉,65,65,,56.0,,7.0,,42.0,49.0,6365,0.14285714285714285,,,0.007698350353495679,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,16,莉莉霍瓦特（莉莉白）,リリーホワイト,莉莉霍瓦特（莉莉白）,66,66,,55.0,,11.0,,33.0,44.0,6365,0.25,,,0.006912804399057345,,,,,,,,0,cn_normalized_workbook
