topic,comparison_group,item,option,first_round,first_count,first_denominator,first_percent,last_round,last_count,last_denominator,last_percent,change_pp,rounds_observed,observed_rounds_json,missing_rounds_json,source_url_first,source_url_last
cognition,cognition_release_cohorts,,虹龍洞～現在,17,207,11760,1.760204,18,791,15521,5.096321,3.336117,2,"[17,18]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-CHaH0Y-8.js
cognition,cognition_release_cohorts,,輝針城～アマノジャク,11,637,10332,6.165312,21,658,15084,4.362238,-1.803074,11,"[11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote11/result_questionnaire.php,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,風神録～地霊殿,6,4719,15119,31.212382,21,505,15084,3.347918,-27.864464,14,"[6,7,10,11,12,13,14,15,16,17,18,19,20,21]","[8,9]",http://thwiki.info/th/vote6/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
cognition,cognition_release_cohorts,,鬼形獣～虹龍洞,17,588,11760,5,21,2007,15084,13.305489,8.305489,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,オンラインイベント(即売会、スライド発表会、歌リレー配信など),20,2212,7764,28.490469,21,1447,7009,20.644885,-7.845584,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,クラブイベント(DJイベントなど),20,611,7764,7.869655,21,599,7009,8.546155,0.6765,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,スライド発表会(考察評論、作品紹介など),20,458,7764,5.899021,21,413,7009,5.892424,-0.006597,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,企業主体イベント(アトレコラボ、大・東方Project展など),20,2860,7764,36.836682,21,2327,7009,33.200171,-3.636511,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,同人即売会(博麗神社例大祭など),20,5170,7764,66.589387,21,5031,7009,71.779141,5.189754,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,同人誌読書会,20,652,7764,8.397733,21,558,7009,7.961193,-0.43654,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,東方Project原作ゲーム大会(獣王園、非想天則など),20,796,7764,10.252447,21,694,7009,9.901555,-0.350892,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
event,event_type_limited_response_group,,音楽ライブイベント(アレンジサークル主催など),20,1610,7764,20.736734,21,1508,7009,21.515195,0.778461,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
friends,friends_count_options,,10人以上,20,1312,15671,8.372152,21,1245,15123,8.232494,-0.139658,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
friends,friends_count_options,,1人もいない,20,3519,15671,22.455491,21,3297,15123,21.80123,-0.654261,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
friends,friends_count_options,,1人～3人,20,7777,15671,49.626699,21,7435,15123,49.163526,-0.463173,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
friends,friends_count_options,,4人～6人,20,2634,15671,16.808117,21,2630,15123,17.390729,0.582612,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
friends,friends_count_options,,7人～9人,20,429,15671,2.737541,21,516,15123,3.412021,0.67448,2,"[20,21]",[],https://toho-vote.info/assets/questionnaire-CQ8qn_xC.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
input_device,input_device_options,,アーケードスティック,4,80,2986,2.679169,5,174,8360,2.08134,-0.597829,2,"[4,5]",[],http://thwiki.info/th/vote4/result_anq.html,http://thwiki.info/th/vote5/result_anq.html
input_device,input_device_options,,キーボード,4,543,2986,18.184863,5,1856,8360,22.200957,4.016094,2,"[4,5]",[],http://thwiki.info/th/vote4/result_anq.html,http://thwiki.info/th/vote5/result_anq.html
input_device,input_device_options,,パッド(PSパッド系),4,1573,2986,52.679169,5,4964,8360,59.37799,6.698821,2,"[4,5]",[],http://thwiki.info/th/vote4/result_anq.html,http://thwiki.info/th/vote5/result_anq.html
input_device,input_device_options,,パッド(その他),4,364,2986,12.190221,5,807,8360,9.65311,-2.537111,2,"[4,5]",[],http://thwiki.info/th/vote4/result_anq.html,http://thwiki.info/th/vote5/result_anq.html
input_device,input_device_options,,パッド(サターンパッド系),4,426,2986,14.266577,5,559,8360,6.686603,-7.579974,2,"[4,5]",[],http://thwiki.info/th/vote4/result_anq.html,http://thwiki.info/th/vote5/result_anq.html
intention,event_intention_all_respondents,,コスプレ(する側),17,398,11846,3.359784,21,959,14771,6.492451,3.132667,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,コスプレ(見る・撮影する側),17,983,11846,8.29816,21,1848,14771,12.511001,4.212841,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,サークルや友人との交流,17,1522,11846,12.848219,21,2427,14771,16.430844,3.582625,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,企業制作作品の購入,17,1060,11846,8.948168,21,1469,14771,9.945163,0.996995,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,作品頒布(サークル),17,888,11846,7.496201,21,1094,14771,7.406404,-0.089797,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,公式原作の購入,17,3041,11846,25.671113,21,3568,14771,24.15544,-1.515673,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,同人グッズ作品の購入,17,2826,11846,23.856154,21,4372,14771,29.598538,5.742384,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,同人ソフト作品の購入,17,1941,11846,16.385278,21,1864,14771,12.619322,-3.765956,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,同人誌作品の購入,17,4009,11846,33.842647,21,4962,14771,33.592851,-0.249796,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,裏方作業(スタッフ),17,212,11846,1.789634,21,322,14771,2.179947,0.390313,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
intention,event_intention_all_respondents,,音ゲーなどのコラボ企画,17,770,11846,6.500084,21,984,14771,6.661702,0.161618,5,"[17,18,19,20,21]",[],https://toho-vote.info/assets/questionnaire-DRU1OYTt.js,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
