id,index,name,first,cname,imp,total,11,35,male,female,mratio,mtratio,fratio,ftratio,love1,love2,love3,love4
302,144,小さな欲望の星空,0,小小欲望的星空,,58,32,18|3|37|0,32,26,55.169999999999995,0.69,44.83,1.81,31.03,5.17,63.79,0
264,145,キャプテン·ムラサ,4,Captain Murasa,,57,37,14|3|40|0,37,20,64.91,0.8,35.089999999999996,1.4000000000000001,24.560000000000002,5.26,70.17999999999999,0
70,145,眠れる恐怖 ～ Sleeping Terror,2,能够睡眠的恐怖 ～ Sleeping Terror,,57,38,15|2|40|0,38,19,66.67,0.8200000000000001,33.33,1.3299999999999998,26.32,3.51,70.17999999999999,0
387,145,科学世紀の少年少女,2,科学世纪的少年少女,,57,41,9|1|47|0,41,16,71.93,0.89,28.07,1.1199999999999999,15.790000000000001,1.7500000000000002,82.46,0
168,148,蠢々秋月　～ Mooned Insect,1,蠢蠢的秋月　～ Mooned Insect,,55,35,11|4|40|0,35,20,63.63999999999999,0.76,36.36,1.4000000000000001,20,7.2700000000000005,72.72999999999999,0
189,149,お宇佐さまの素い幡,4,宇佐大人的白旗,（卯酉东海道）,53,38,13|4|36|0,38,15,71.7,0.8200000000000001,28.299999999999997,1.05,24.529999999999998,7.55,67.92,0
300,149,夢殿大祀廟,2,梦殿大祀庙,,53,24,20|2|31|0,24,29,45.28,0.52,54.72,2.02,37.74,3.7699999999999996,58.489999999999995,0
336,149,不可能弾幕には反則を,2,以犯规对不可能的弹幕,,53,39,16|1|36|0,39,14,73.58,0.8500000000000001,26.419999999999998,0.98,30.19,1.8900000000000001,67.92,0
296,152,素敵な墓場で暮しましょ,2,在美妙的墓地里住下吧,（伊奘诺物质）,52,30,16|2|34|0,30,22,57.69,0.65,42.309999999999995,1.54,30.769999999999996,3.85,65.38000000000001,0
356,152,華狭間のバトルフィールド,1,华狭间的战场,,52,41,15|2|35|0,41,11,78.85,0.89,21.15,0.77,28.849999999999998,3.85,67.31,0
184,154,東方妖怪小町,2,东方妖怪小镇,,50,37,13|2|35|0,37,13,74,0.8,26,0.91,26,4,70,0
395,155,車椅子の未来宇宙,6,轮椅上的未来宇宙,,49,38,10|4|35|0,38,11,77.55,0.8200000000000001,22.45,0.77,20.41,8.16,71.43,0
371,156,見た事も無い悪夢の世界,2,前所未见的噩梦世界,,48,31,18|3|27|0,31,17,64.58,0.67,35.42,1.1900000000000002,37.5,6.25,56.25,0
263,157,幽霊客船の時空を越えた旅,2,幽灵客船的时空穿越之旅,,47,26,17|1|29|0,26,21,55.32,0.5599999999999999,44.68,1.47,36.17,2.13,61.7,0
173,158,永夜の報い　～ Imperishable Night,3,永夜的报应　～ Imperishable Night,（梦违科学世纪）,46,36,8|7|31|0,36,10,78.25999999999999,0.7799999999999999,21.740000000000002,0.7000000000000001,17.39,15.22,67.39,0
142,159,妖々跋扈　～ Who done it!,3,妖妖跋扈 ～ Who done it!,,45,33,11|3|31|0,33,12,73.33,0.72,26.669999999999998,0.84,24.44,6.67,68.89,0
100,160,神話幻想 ～ Infinite Being,3,神话幻想 ～ Infinite Being,,44,30,9|3|32|0,30,14,68.17999999999999,0.65,31.819999999999997,0.98,20.45,6.819999999999999,72.72999999999999,0
50,160,永遠の満月,2,永远的满月,,44,28,7|7|30|0,28,16,63.63999999999999,0.61,36.36,1.1199999999999999,15.909999999999998,15.909999999999998,68.17999999999999,0
109,160,赤より紅い夢,2,比赤色更红的梦,,44,29,7|4|33|0,29,15,65.91,0.63,34.089999999999996,1.05,15.909999999999998,9.09,75,0
149,160,御伽の国の鬼が島 ～ Missing Power,0,御伽之国的鬼岛 ～ Missing Power,,44,30,12|3|29|0,30,14,68.17999999999999,0.65,31.819999999999997,0.98,27.27,6.819999999999999,65.91,0
266,164,虎柄の毘沙門天,1,虎纹的毘沙门天,,42,24,9|1|32|0,24,18,57.14,0.52,42.86,1.26,21.43,2.3800000000000003,76.19,0
202,165,レトロスペクティブ京都,3,回忆京都,（卯酉东海道）,41,27,14|3|24|0,27,14,65.85,0.59,34.150000000000006,0.98,34.150000000000006,7.32,58.540000000000006,0
269,165,夜空のユーフォーロマンス,2,夜空中的UFO恋曲,（鸟船遗迹）,41,28,20|0|21|0,28,13,68.28999999999999,0.61,31.71,0.91,48.78,0,51.22,0
382,165,月の妖鳥、化猫の幻,2,月的妖鸟、化猫的幻,,41,27,13|2|26|0,27,14,65.85,0.59,34.150000000000006,0.98,31.71,4.88,63.41,0
319,168,ミストレイク,2,Mist Lake,,40,31,12|3|25|0,31,9,77.5,0.67,22.5,0.63,30,7.5,62.5,0
246,169,ハートフェルトファンシー,8,Heartfelt Fancy,（伊奘诺物质）,39,28,16|2|21|0,28,11,71.78999999999999,0.61,28.21,0.77,41.03,5.13,53.849999999999994,0
147,169,Demystify Feast,2,揭开宴会的秘密,（大空魔术）,39,29,11|3|25|0,29,10,74.36,0.63,25.64,0.7000000000000001,28.21,7.6899999999999995,64.1,0
148,169,夜が降りてくる ～ Evening Star,2,夜幕降临 ～ Evening Star,（绯想天、梦违科学世纪）,39,25,12|3|24|0,25,14,64.1,0.54,35.9,0.98,30.769999999999996,7.6899999999999995,61.53999999999999,0
