id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
14,12,2,<a href='./?m=info&type=cp&id=004005009' target='_blank'>点击查看详情</a>,1,4,<a href='./?m=info&type=chara&id=4' target='_blank'>大妖精</a>,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,12,0,100%,0%,0.18%,0%,0%,0%,50%,50%,16.67%,0.22%
15,748,256,<a href='./?m=info&type=cp&id=002015000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,601,148,80.35%,19.79%,9.18%,9.88%,47.33%,13.64%,39.04%,-,34.22%,13.6%
16,4,0,<a href='./?m=info&type=cp&id=087145000' target='_blank'>点击查看详情</a>,1,87,<a href='./?m=info&type=chara&id=87' target='_blank'>宇佐见堇子</a>,145,<a href='./?m=info&type=chara&id=145' target='_blank'>茨木华扇</a>,0,-,3,1,75%,25%,0.05%,0.07%,0%,25%,75%,-,,0.07%
17,163,23,<a href='./?m=info&type=cp&id=099100000' target='_blank'>点击查看详情</a>,1,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,100,<a href='./?m=info&type=chara&id=100' target='_blank'>赫卡提亚·拉碧斯拉祖利</a>,0,-,96,67,58.9%,41.1%,1.47%,4.47%,14.11%,20.25%,65.64%,-,14.11%,2.96%
18,4,0,<a href='./?m=info&type=cp&id=001108000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,108,<a href='./?m=info&type=chara&id=108' target='_blank'>玄爷</a>,0,-,4,0,100%,0%,0.06%,0%,50%,0%,50%,-,,0.07%
19,462,102,<a href='./?m=info&type=cp&id=002008015' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,405,58,87.66%,12.55%,6.19%,3.87%,54.33%,1.3%,40.04%,4.33%,22.08%,8.4%
20,34,13,<a href='./?m=info&type=cp&id=035136000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,0,-,25,9,73.53%,26.47%,0.38%,0.6%,41.18%,11.76%,47.06%,-,38.24%,0.62%
21,83,3,<a href='./?m=info&type=cp&id=013134000' target='_blank'>点击查看详情</a>,1,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,0,-,64,19,77.11%,22.89%,0.98%,1.27%,8.43%,6.02%,85.54%,-,3.61%,1.51%
22,13,5,<a href='./?m=info&type=cp&id=005047000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,11,2,84.62%,15.38%,0.17%,0.13%,23.08%,30.77%,46.15%,-,38.46%,0.24%
23,41,8,<a href='./?m=info&type=cp&id=015133000' target='_blank'>点击查看详情</a>,1,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,133,<a href='./?m=info&type=chara&id=133' target='_blank'>神绮</a>,0,-,35,6,85.37%,14.63%,0.53%,0.4%,7.32%,39.02%,53.66%,-,19.51%,0.75%
24,788,234,<a href='./?m=info&type=cp&id=033034000' target='_blank'>点击查看详情</a>,1,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,608,180,77.16%,22.84%,9.29%,12.02%,26.78%,20.69%,52.54%,-,29.7%,14.32%
25,504,137,<a href='./?m=info&type=cp&id=010011000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,396,108,78.57%,21.43%,6.05%,7.21%,21.03%,27.78%,51.19%,-,27.18%,9.16%
26,491,160,<a href='./?m=info&type=cp&id=054057000' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,0,-,404,87,82.28%,17.72%,6.17%,5.81%,9.98%,37.88%,52.14%,-,32.59%,8.93%
27,1,1,<a href='./?m=info&type=cp&id=074098000' target='_blank'>点击查看详情</a>,1,74,<a href='./?m=info&type=chara&id=74' target='_blank'>物部布都</a>,98,<a href='./?m=info&type=chara&id=98' target='_blank'>克劳恩皮丝</a>,0,-,1,0,100%,0%,0.02%,0%,100%,0%,0%,-,100%,0.02%
28,77,13,<a href='./?m=info&type=cp&id=035044069' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,44,<a href='./?m=info&type=chara&id=44' target='_blank'>犬走椛</a>,69,<a href='./?m=info&type=chara&id=69' target='_blank'>姬海棠果</a>,71,6,92.21%,7.79%,1.08%,0.4%,42.86%,1.3%,55.84%,0%,16.88%,1.4%
29,6,1,<a href='./?m=info&type=cp&id=054055057' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,55,<a href='./?m=info&type=chara&id=55' target='_blank'>火焰猫燐</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,6,0,100%,0%,0.09%,0%,66.67%,0%,16.67%,16.67%,16.67%,0.11%
30,91,18,<a href='./?m=info&type=cp&id=084097000' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,70,21,76.92%,23.08%,1.07%,1.4%,15.38%,23.08%,61.54%,-,19.78%,1.65%
31,313,71,<a href='./?m=info&type=cp&id=084085000' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,85,<a href='./?m=info&type=chara&id=85' target='_blank'>少名针妙丸</a>,0,-,208,105,66.45%,33.55%,3.18%,7.01%,35.78%,12.78%,51.44%,-,22.68%,5.69%
32,16,5,<a href='./?m=info&type=cp&id=073075000' target='_blank'>点击查看详情</a>,1,73,<a href='./?m=info&type=chara&id=73' target='_blank'>苏我屠自古</a>,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,0,-,7,9,43.75%,56.25%,0.11%,0.6%,12.5%,56.25%,31.25%,-,31.25%,0.29%
33,620,159,<a href='./?m=info&type=cp&id=029034000' target='_blank'>点击查看详情</a>,1,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,445,175,71.77%,28.23%,6.8%,11.68%,18.71%,27.9%,53.39%,-,25.65%,11.27%
34,87,17,<a href='./?m=info&type=cp&id=046047000' target='_blank'>点击查看详情</a>,1,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,33,54,37.93%,62.07%,0.5%,3.6%,16.09%,24.14%,59.77%,-,19.54%,1.58%
35,5,0,<a href='./?m=info&type=cp&id=032097000' target='_blank'>点击查看详情</a>,1,32,<a href='./?m=info&type=chara&id=32' target='_blank'>八意永琳</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,2,3,40%,60%,0.03%,0.2%,60%,0%,40%,-,,0.09%
36,1,1,<a href='./?m=info&type=cp&id=015129000' target='_blank'>点击查看详情</a>,1,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,129,<a href='./?m=info&type=chara&id=129' target='_blank'>露易兹</a>,0,-,1,0,100%,0%,0.02%,0%,0%,100%,0%,-,100%,0.02%
37,208,80,<a href='./?m=info&type=cp&id=001002015' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,178,30,85.58%,14.42%,2.72%,2%,12.02%,30.77%,52.4%,4.81%,38.46%,3.78%
38,23,4,<a href='./?m=info&type=cp&id=022023000' target='_blank'>点击查看详情</a>,1,22,<a href='./?m=info&type=chara&id=22' target='_blank'>八云蓝</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,18,5,78.26%,21.74%,0.27%,0.33%,13.04%,65.22%,21.74%,-,17.39%,0.42%
39,13,6,<a href='./?m=info&type=cp&id=001005000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,0,-,12,1,92.31%,7.69%,0.18%,0.07%,30.77%,15.38%,53.85%,-,46.15%,0.24%
40,7,3,<a href='./?m=info&type=cp&id=005011000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,7,0,100%,0%,0.11%,0%,14.29%,14.29%,71.43%,-,42.86%,0.13%
41,2,1,<a href='./?m=info&type=cp&id=005009000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,2,0,100%,0%,0.03%,0%,50%,0%,50%,-,50%,0.04%
42,1,0,<a href='./?m=info&type=cp&id=010041000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,41,<a href='./?m=info&type=chara&id=41' target='_blank'>秋穰子</a>,0,-,1,0,100%,0%,0.02%,0%,0%,0%,100%,-,,0.02%
43,459,123,<a href='./?m=info&type=cp&id=006009000' target='_blank'>点击查看详情</a>,1,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,347,112,75.6%,24.4%,5.3%,7.48%,37.25%,18.95%,43.79%,-,26.8%,8.34%
44,35,6,<a href='./?m=info&type=cp&id=062065000' target='_blank'>点击查看详情</a>,1,62,<a href='./?m=info&type=chara&id=62' target='_blank'>村纱水蜜</a>,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,0,-,17,18,48.57%,51.43%,0.26%,1.2%,37.14%,22.86%,40%,-,17.14%,0.64%
45,50,8,<a href='./?m=info&type=cp&id=071072000' target='_blank'>点击查看详情</a>,1,71,<a href='./?m=info&type=chara&id=71' target='_blank'>宫古芳香</a>,72,<a href='./?m=info&type=chara&id=72' target='_blank'>霍青娥</a>,0,-,27,23,54%,46%,0.41%,1.54%,4%,44%,52%,-,16%,0.91%
46,2,0,<a href='./?m=info&type=cp&id=097097000' target='_blank'>点击查看详情</a>,1,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,2,0,100%,0%,0.03%,0%,0%,0%,100%,-,,0.04%
47,150,38,<a href='./?m=info&type=cp&id=029033034' target='_blank'>点击查看详情</a>,1,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,135,15,90%,10%,2.06%,1%,7.33%,9.33%,47.33%,36%,25.33%,2.73%
48,20,4,<a href='./?m=info&type=cp&id=076146000' target='_blank'>点击查看详情</a>,1,76,<a href='./?m=info&type=chara&id=76' target='_blank'>二岩猯藏</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,0,-,16,4,80%,20%,0.24%,0.27%,55%,0%,45%,-,20%,0.36%
49,37,9,<a href='./?m=info&type=cp&id=034087000' target='_blank'>点击查看详情</a>,1,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,87,<a href='./?m=info&type=chara&id=87' target='_blank'>宇佐见堇子</a>,0,-,20,17,54.05%,45.95%,0.31%,1.13%,27.03%,8.11%,64.86%,-,24.32%,0.67%
50,1,0,<a href='./?m=info&type=cp&id=012084000' target='_blank'>点击查看详情</a>,1,12,<a href='./?m=info&type=chara&id=12' target='_blank'>冴月麟</a>,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,0,-,1,0,100%,0%,0.02%,0%,0%,0%,100%,-,,0.02%
51,25,5,<a href='./?m=info&type=cp&id=023032000' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,32,<a href='./?m=info&type=chara&id=32' target='_blank'>八意永琳</a>,0,-,16,9,64%,36%,0.24%,0.6%,16%,28%,56%,-,20%,0.45%
52,53,13,<a href='./?m=info&type=cp&id=011057065' target='_blank'>点击查看详情</a>,1,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,42,11,79.25%,20.75%,0.64%,0.73%,11.32%,7.55%,81.13%,0%,24.53%,0.96%
53,1,0,<a href='./?m=info&type=cp&id=024024000' target='_blank'>点击查看详情</a>,1,24,<a href='./?m=info&type=chara&id=24' target='_blank'>魂魄妖忌</a>,24,<a href='./?m=info&type=chara&id=24' target='_blank'>魂魄妖忌</a>,0,-,1,0,100%,0%,0.02%,0%,0%,0%,100%,-,,0.02%
54,15,2,<a href='./?m=info&type=cp&id=024060137' target='_blank'>点击查看详情</a>,1,24,<a href='./?m=info&type=chara&id=24' target='_blank'>魂魄妖忌</a>,60,<a href='./?m=info&type=chara&id=60' target='_blank'>云山</a>,137,<a href='./?m=info&type=chara&id=137' target='_blank'>森近霖之助</a>,12,3,80%,20%,0.18%,0.2%,0%,0%,86.67%,13.33%,13.33%,0.27%
55,17,3,<a href='./?m=info&type=cp&id=065076000' target='_blank'>点击查看详情</a>,1,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,76,<a href='./?m=info&type=chara&id=76' target='_blank'>二岩猯藏</a>,0,-,7,10,41.18%,58.82%,0.11%,0.67%,11.76%,41.18%,47.06%,-,17.65%,0.31%
56,82,27,<a href='./?m=info&type=cp&id=008010000' target='_blank'>点击查看详情</a>,1,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,57,25,69.51%,30.49%,0.87%,1.67%,10.98%,31.71%,57.32%,-,32.93%,1.49%
57,1,0,<a href='./?m=info&type=cp&id=023076000' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,76,<a href='./?m=info&type=chara&id=76' target='_blank'>二岩猯藏</a>,0,-,1,0,100%,0%,0.02%,0%,0%,0%,100%,-,,0.02%
58,84,20,<a href='./?m=info&type=cp&id=001002045' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,80,4,95.24%,4.76%,1.22%,0.27%,29.76%,11.9%,55.95%,2.38%,23.81%,1.53%
59,26,5,<a href='./?m=info&type=cp&id=035045000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,0,-,20,6,76.92%,23.08%,0.31%,0.4%,38.46%,3.85%,57.69%,-,19.23%,0.47%
60,209,49,<a href='./?m=info&type=cp&id=001045000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,0,-,171,39,81.82%,18.66%,2.61%,2.6%,31.58%,18.18%,50.24%,-,23.44%,3.8%
61,18,7,<a href='./?m=info&type=cp&id=001001000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,0,-,17,1,94.44%,5.56%,0.26%,0.07%,0%,0%,100%,-,38.89%,0.33%
62,94,20,<a href='./?m=info&type=cp&id=098099100' target='_blank'>点击查看详情</a>,1,98,<a href='./?m=info&type=chara&id=98' target='_blank'>克劳恩皮丝</a>,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,100,<a href='./?m=info&type=chara&id=100' target='_blank'>赫卡提亚·拉碧斯拉祖利</a>,82,12,87.23%,12.77%,1.25%,0.8%,6.38%,19.15%,64.89%,9.57%,21.28%,1.71%
63,23,3,<a href='./?m=info&type=cp&id=031099000' target='_blank'>点击查看详情</a>,1,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,0,-,21,2,91.3%,8.7%,0.32%,0.13%,4.35%,73.91%,21.74%,-,13.04%,0.42%
64,2,1,<a href='./?m=info&type=cp&id=048048000' target='_blank'>点击查看详情</a>,1,48,<a href='./?m=info&type=chara&id=48' target='_blank'>永江衣玖</a>,48,<a href='./?m=info&type=chara&id=48' target='_blank'>永江衣玖</a>,0,-,2,0,100%,0%,0.03%,0%,0%,0%,100%,-,50%,0.04%
65,3,2,<a href='./?m=info&type=cp&id=026161000' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,161,<a href='./?m=info&type=chara&id=161' target='_blank'>酒虫</a>,0,-,2,1,66.67%,33.33%,0.03%,0.07%,33.33%,33.33%,33.33%,-,66.67%,0.05%
66,2,0,<a href='./?m=info&type=cp&id=026085000' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,85,<a href='./?m=info&type=chara&id=85' target='_blank'>少名针妙丸</a>,0,-,2,0,100%,0%,0.03%,0%,0%,0%,100%,-,,0.04%
67,2,0,<a href='./?m=info&type=cp&id=023026000' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,0,-,2,0,100%,0%,0.03%,0%,0%,0%,100%,-,,0.04%
68,21,4,<a href='./?m=info&type=cp&id=026053145' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,53,<a href='./?m=info&type=chara&id=53' target='_blank'>星熊勇仪</a>,145,<a href='./?m=info&type=chara&id=145' target='_blank'>茨木华扇</a>,18,3,85.71%,14.29%,0.27%,0.2%,14.29%,0%,80.95%,4.76%,19.05%,0.38%
69,13,1,<a href='./?m=info&type=cp&id=005098000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,98,<a href='./?m=info&type=chara&id=98' target='_blank'>克劳恩皮丝</a>,0,-,13,0,100%,0%,0.2%,0%,15.38%,23.08%,61.54%,-,7.69%,0.24%
70,5,1,<a href='./?m=info&type=cp&id=002034000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,2,3,40%,60%,0.03%,0.2%,0%,40%,60%,-,20%,0.09%
71,4,1,<a href='./?m=info&type=cp&id=026049000' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,2,2,50%,50%,0.03%,0.13%,25%,0%,75%,-,25%,0.07%
72,175,36,<a href='./?m=info&type=cp&id=038039000' target='_blank'>点击查看详情</a>,1,38,<a href='./?m=info&type=chara&id=38' target='_blank'>小野塚小町</a>,39,<a href='./?m=info&type=chara&id=39' target='_blank'>四季映姬·亚玛萨那度</a>,0,-,125,50,71.43%,28.57%,1.91%,3.34%,31.43%,22.29%,46.29%,-,20.57%,3.18%
73,1,0,<a href='./?m=info&type=cp&id=001002110' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,110,<a href='./?m=info&type=chara&id=110' target='_blank'>明罗</a>,0,0,0%,0%,,,0%,0%,100%,0%,,0.02%
74,12,2,<a href='./?m=info&type=cp&id=142143000' target='_blank'>点击查看详情</a>,1,142,<a href='./?m=info&type=chara&id=142' target='_blank'>绵月丰姬</a>,143,<a href='./?m=info&type=chara&id=143' target='_blank'>绵月依姬</a>,0,-,9,3,75%,25%,0.14%,0.2%,8.33%,8.33%,83.33%,-,16.67%,0.22%
75,76,16,<a href='./?m=info&type=cp&id=073074075' target='_blank'>点击查看详情</a>,1,73,<a href='./?m=info&type=chara&id=73' target='_blank'>苏我屠自古</a>,74,<a href='./?m=info&type=chara&id=74' target='_blank'>物部布都</a>,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,45,31,59.21%,40.79%,0.69%,2.07%,1.32%,2.63%,59.21%,36.84%,21.05%,1.38%
