id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector3,vector0,ratio,vratio
33,83,20,<a href='./?m=info&type=cp&id=001010000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,73,10,87.95%,12.05%,0.73%,0.58%,21.69%,28.92%,-,49.4%,24.1,1%
34,2,1,<a href='./?m=info&type=cp&id=001013000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,0,-,0,0,0%,0%,,,0%,0%,-,100%,50,0.02%
35,40,4,<a href='./?m=info&type=cp&id=014022000' target='_blank'>点击查看详情</a>,1,14,<a href='./?m=info&type=chara&id=14' target='_blank'>橙</a>,22,<a href='./?m=info&type=chara&id=22' target='_blank'>八云蓝</a>,0,-,39,1,97.5%,2.5%,0.39%,0.06%,2.5%,52.5%,-,45%,10,0.48%
36,271,79,<a href='./?m=info&type=cp&id=048049000' target='_blank'>点击查看详情</a>,1,48,<a href='./?m=info&type=chara&id=48' target='_blank'>永江衣玖</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,232,39,85.61%,14.39%,2.33%,2.27%,22.88%,18.08%,-,59.04%,29.15,3.27%
37,2,0,<a href='./?m=info&type=cp&id=026048049' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,48,<a href='./?m=info&type=chara&id=48' target='_blank'>永江衣玖</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,2,0,100%,0%,0.02%,0%,0%,0%,50%,50%,,0.02%
38,131,22,<a href='./?m=info&type=cp&id=035069000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,69,<a href='./?m=info&type=chara&id=69' target='_blank'>姬海棠果</a>,0,-,109,22,83.21%,16.79%,1.09%,1.28%,35.88%,3.82%,-,60.31%,16.79,1.58%
39,121,18,<a href='./?m=info&type=cp&id=007008000' target='_blank'>点击查看详情</a>,1,7,<a href='./?m=info&type=chara&id=7' target='_blank'>小恶魔</a>,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,0,-,106,15,87.6%,12.4%,1.06%,0.87%,34.71%,16.53%,-,48.76%,14.88,1.46%
40,20,1,<a href='./?m=info&type=cp&id=002207000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,207,<a href='./?m=info&type=chara&id=207' target='_blank'>矢田寺成美</a>,0,-,18,2,90%,10%,0.18%,0.12%,40%,10%,-,50%,5,0.24%
41,118,10,<a href='./?m=info&type=cp&id=223226000' target='_blank'>点击查看详情</a>,1,223,<a href='./?m=info&type=chara&id=223' target='_blank'>吉吊八千慧</a>,226,<a href='./?m=info&type=chara&id=226' target='_blank'>骊驹早鬼</a>,0,-,72,46,61.02%,38.98%,0.72%,2.68%,17.8%,25.42%,-,56.78%,8.47,1.42%
42,31,3,<a href='./?m=info&type=cp&id=026228000' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,228,<a href='./?m=info&type=chara&id=228' target='_blank'>奥野田美宵</a>,0,-,29,2,93.55%,6.45%,0.29%,0.12%,41.94%,3.23%,-,54.84%,9.68,0.37%
43,2,0,<a href='./?m=info&type=cp&id=002003000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,3,<a href='./?m=info&type=chara&id=3' target='_blank'>露米娅</a>,0,-,2,0,100%,0%,0.02%,0%,0%,0%,-,100%,,0.02%
44,1,1,<a href='./?m=info&type=cp&id=031079000' target='_blank'>点击查看详情</a>,1,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,79,<a href='./?m=info&type=chara&id=79' target='_blank'>若鹭姬</a>,0,-,1,0,100%,0%,0.01%,0%,0%,0%,-,100%,100,0.01%
