character,first_appearance_work,cn11_official_rank,jp20_official_rank,rank_gap_cn_minus_jp,cn11_male_character_marks,cn11_female_character_marks,cn11_female_share_known_binary_marks,female_relative_preference_ratio,literal_neutral_tag_hit,presentation_proxy_hit,expanded_proxy_hit,cn11_raw_vote_baseline_rank_within_comparable_roster,cn11_raw_vote_reweighted_rank_at_jp20_binary_female_share,reweighted_rank_change_negative_is_improvement,matched_tags
赫卡提亚·拉碧斯拉祖利,15,56,38,18,333,74,0.18181818181818182,1.2889936150805716,False,False,False,52,52,0,"['女神', '巨乳', '御姐', '星球', '最强', '裸足', '超短裙', '锁链', '露肩装', '靴子']"
铃仙·优昙华院·因幡,8,16,15,1,1489,200,0.11841326228537596,0.779109639739768,False,False,False,16,16,0,"['兔娘', '兔耳', '制服', '总受', '泡泡袖', '长直', '领带']"
铃瑚,15,146,132,14,24,9,0.2727272727272727,2.175176725448465,False,False,False,116,117,1,"['ZUN帽', '兔娘', '兔耳', '吃货', '大胃王', '正莉', '灯笼裤', '短发', '老板娘', '裸足', '露脐装']"
键山雏,10,33,43,-10,685,107,0.1351010101010101,0.9060590155639346,False,False,False,31,30,-1,"['丝带', '中长发', '另类发型', '哥特萝莉装', '大蝴蝶结', '女神', '旋转动作', '泡泡袖', '温柔', '长靴', '颜艺']"
雾雨魔理沙,100,2,2,0,3968,703,0.1505031042603297,1.0276540577891604,False,False,False,2,2,0,"['DAZE', '元气', '后宫王', '哥特萝莉装', '围裙', '女仆装', '强气', '收集癖', '有袜无鞋', '束鬓', '泡泡袖', '玛丽珍鞋', '白色短袜', '蝴蝶结', '长卷发', '魔法少女', '魔法帽子', '魔法扫帚', '魔法杖', '麻花辫']"
霍青娥,13,61,62,-1,260,95,0.2676056338028169,2.1194029632574782,False,False,False,56,53,-3,"['中国人', '人妻', '仙人', '泡泡袖', '环形辫', '簪', '腹黑', '飘带']"
露娜切露德,12.8,62,103,-41,325,29,0.08192090395480225,0.5175805131323525,False,False,False,57,60,3,"['万年萝莉', '三人娘', '丝带', '多螺旋', '妖精', '平地摔', '栗子嘴', '眼镜（看报纸时）', '翅膀', '连衣裙', '领结']"
露娜萨·普莉兹姆利巴,7,108,90,18,98,12,0.10909090909090909,0.7102617879015394,False,False,False,95,99,4,"['三人娘', '优等生', '姐姐', '小提琴', '短发', '老实', '音乐人']"
露米娅,6,35,21,14,691,71,0.09317585301837271,0.595996324194273,False,False,False,32,33,1,"['丝带', '口头禅', '吃人', '吃货', '失忆', '短发', '笨蛋', '绰号', '萝莉']"
风见幽香,9,28,24,4,826,143,0.1475748194014448,1.0041978102958207,False,False,False,26,25,-1,"['BBA', 'S属性', '卷发', '女王', '御姐', '木能力', '毒舌', '永远的十七岁', '阳伞', '领巾', '马甲', '高岭之花']"
饕餮尤魔,17.5,48,42,6,427,73,0.146,0.9916496546931329,False,False,False,44,43,-1,"['卷发', '吃货', '大蝴蝶结', '尖耳朵', '巨大叉勺', '幼儿体型', '白发红眼', '短发', '耳环', '裸足', '角', '连衣裙', '锯齿牙', '长方形瞳孔', '露肩装', '黑道组长']"
饭纲丸龙,18,78,55,23,219,54,0.1978021978021978,1.4302531893359767,False,False,False,69,68,-1,"['三角架', '四分之三袜', '天狗', '护肩', '披风', '木屐', '组织领导人', '连衣裙', '长发']"
驹草山如,18,140,141,-1,34,6,0.15,1.0236125766816304,False,False,False,114,114,0,"['中分', '发带', '扇子', '抽烟', '木屐', '烟管', '老板娘', '进气口发型', '门番', '高马尾']"
骊驹早鬼,17,105,100,5,93,34,0.2677165354330709,2.120602399003521,False,False,False,93,91,-2,"['中二', '双马尾', '尾巴', '燕尾服', '牛仔帽', '组织领导人（黑帮老大）', '翅膀', '肌肉笨蛋（与某人一样称呼）', '过膝靴', '长靴', '领巾']"
高丽野阿吽,16,111,85,26,88,18,0.16981132075471697,1.1864600320627987,False,False,False,97,97,0,"['卖萌', '卷发', '尾巴', '木屐', '猫嘴', '短裤', '角', '长发']"
鬼人正邪,14,36,35,1,652,109,0.14323258869908015,0.969710687418743,False,True,True,33,31,-2,"['伪郎', '傲娇', '凉鞋', '反向思考', '反重力裙', '吐舌头', '手环', '挑染', '搞事', '水手服', '短发', '蝴蝶结', '裸足', '角']"
魂魄妖梦,7,10,5,5,1777,222,0.11105552776388194,0.7246508843362359,False,True,True,10,10,0,"['二刀流', '刀剑', '发箍', '可爱的男孩子', '天然呆', '妹妹头', '庭师', '怕鬼', '总受', '护卫', '灵活使用各种腔调', '短发', '认真', '贫乳']"
黑谷山女,11,123,108,15,68,4,0.05555555555555555,0.3412041922272101,False,False,False,105,107,2,"['丝带', '偶像', '元气', '发髻', '吃人', '工程师', '片假名名字', '疫病能力', '蜘蛛娘', '蝴蝶结', '路人', '钟形裙']"
