original_page,original_name_jp,original_name_cn,cn_vote_round,cn_vote_period_label,vote_window_status,vote_start_date,vote_end_date,release_window_start_date,release_window_end_date,release_window_start_inclusive,release_window_end_inclusive,arrangement_count,arrangement_cumulative_count,undated_arrangement_count,source_page_url,source_frontend_url,vote_calendar_source_url,observed_at_utc
地灵们的归家,地霊達の帰宅,地灵们的归家,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,4,83,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E5%BD%92%E5%AE%B6,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
地灵们的归家,地霊達の帰宅,地灵们的归家,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,7,90,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E5%BD%92%E5%AE%B6,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
地灵们的归家,地霊達の帰宅,地灵们的归家,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,7,97,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E5%BD%92%E5%AE%B6,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
地灵们的归家,地霊達の帰宅,地灵们的归家,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,3,100,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E5%BD%92%E5%AE%B6,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
地灵们的归家,地霊達の帰宅,地灵们的归家,11,第11届,end_to_end,2023-12-29,2024-01-15,2022-07-04,2024-01-15,False,True,3,103,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E5%BD%92%E5%AE%B6,https://cd.thwiki.cc/,https://touhou.vote/v11/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,2,第2届,end_to_end,2013-10-01,2013-10-07,2012-07-30,2013-10-07,False,True,36,154,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v2/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,20,174,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,10,184,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,8,192,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,11,203,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,14,217,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,14,231,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,11,242,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,3,245,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
地灵们的起床,地霊達の起床,地灵们的起床,11,第11届,end_to_end,2023-12-29,2024-01-15,2022-07-04,2024-01-15,False,True,10,255,2,https://thwiki.cc/%E5%9C%B0%E7%81%B5%E4%BB%AC%E7%9A%84%E8%B5%B7%E5%BA%8A,https://cd.thwiki.cc/,https://touhou.vote/v11/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,2,第2届,end_to_end,2013-10-01,2013-10-07,2012-07-30,2013-10-07,False,True,12,59,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v2/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,7,66,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,6,72,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,8,80,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,4,84,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,4,88,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,2,90,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,7,97,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,2,99,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
复仇女神的要塞,ネメシスの要塞,复仇女神的要塞,11,第11届,end_to_end,2023-12-29,2024-01-15,2022-07-04,2024-01-15,False,True,6,105,0,https://thwiki.cc/%E5%A4%8D%E4%BB%87%E5%A5%B3%E7%A5%9E%E7%9A%84%E8%A6%81%E5%A1%9E,https://cd.thwiki.cc/,https://touhou.vote/v11/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,2,第2届,end_to_end,2013-10-01,2013-10-07,2012-07-30,2013-10-07,False,True,1,4,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v2/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,0,4,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,1,5,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,0,5,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,2,7,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,1,8,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,8,第8届,end_to_end,2019-09-30,2019-10-15,2018-10-15,2019-10-15,False,True,0,8,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v8/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,9,第9届,end_to_end,2020-12-18,2020-12-31,2019-10-15,2020-12-31,False,True,0,8,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v9/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,10,第10届,end_to_end,2022-06-17,2022-07-04,2020-12-31,2022-07-04,False,True,1,9,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v10/,2026-09-04T07:18:56+00:00
夏明,夏明き,夏明,11,第11届,end_to_end,2023-12-29,2024-01-15,2022-07-04,2024-01-15,False,True,0,9,0,https://thwiki.cc/%E5%A4%8F%E6%98%8E,https://cd.thwiki.cc/,https://touhou.vote/v11/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,2,第2届,end_to_end,2013-10-01,2013-10-07,2012-07-30,2013-10-07,False,True,4,6,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v2/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,3,第3届,end_to_end,2014-08-22,2014-08-28,2013-10-07,2014-08-28,False,True,3,9,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v3/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,4,第4届,end_to_end,2015-10-01,2015-10-15,2014-08-28,2015-10-15,False,True,4,13,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v4/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,5,第5届,end_to_end,2016-10-01,2016-10-16,2015-10-15,2016-10-16,False,True,3,16,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v5/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,6,第6届,end_to_end,2017-10-01,2017-10-15,2016-10-16,2017-10-15,False,True,1,17,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v6/,2026-09-04T07:18:56+00:00
夕阳下落,陽落ちて,夕阳下落,7,第7届,end_to_end,2018-09-30,2018-10-15,2017-10-15,2018-10-15,False,True,1,18,0,https://thwiki.cc/%E5%A4%95%E9%98%B3%E4%B8%8B%E8%90%BD,https://cd.thwiki.cc/,https://touhou.vote/v7/,2026-09-04T07:18:56+00:00
