original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
从地下的归还,地下からの帰還,从地下的归还,东方鬼形兽,2019-08-12,1/2019/8/12,11,3,8,11,0,True,https://thwiki.cc/%E4%BB%8E%E5%9C%B0%E4%B8%8B%E7%9A%84%E5%BD%92%E8%BF%98,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
从神社所见之月,神社から見える月,从神社所见之月,东方绀珠传,2015-08-14,1/2015/8/14,55,11,44,54,1,True,https://thwiki.cc/%E4%BB%8E%E7%A5%9E%E7%A4%BE%E6%89%80%E8%A7%81%E4%B9%8B%E6%9C%88,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
令人心跳的司空见惯幻想乡,ワクワクする見慣れた幻想郷,令人心跳的司空见惯幻想乡,弹幕狂们的黑市,2022-08-14,1/2022/8/14,20,4,16,20,0,True,https://thwiki.cc/%E4%BB%A4%E4%BA%BA%E5%BF%83%E8%B7%B3%E7%9A%84%E5%8F%B8%E7%A9%BA%E8%A7%81%E6%83%AF%E5%B9%BB%E6%83%B3%E4%B9%A1,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
令人怀念的东方之血 ～ Old World,懐かしき東方の血　～ Old World,令人怀念的东方之血　～ Old World,东方永夜抄体验版,2004-04-18,1/2004/4/18,1305,449,856,1298,7,True,https://thwiki.cc/%E4%BB%A4%E4%BA%BA%E6%80%80%E5%BF%B5%E7%9A%84%E4%B8%9C%E6%96%B9%E4%B9%8B%E8%A1%80_%EF%BD%9E_Old_World,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
以死相赌,死を賭して,以死相赌,东方封魔录,1997-08-15,1/1997/8/15,21,3,18,21,0,True,https://thwiki.cc/%E4%BB%A5%E6%AD%BB%E7%9B%B8%E8%B5%8C,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
以犯规对不可能的弹幕,不可能弾幕には反則を,以犯规对不可能的弹幕,弹幕天邪鬼,2014-05-11,1/2014/5/11,98,41,57,97,1,True,https://thwiki.cc/%E4%BB%A5%E7%8A%AF%E8%A7%84%E5%AF%B9%E4%B8%8D%E5%8F%AF%E8%83%BD%E7%9A%84%E5%BC%B9%E5%B9%95,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
以鱼驱蝇,以魚駆蠅,以鱼驱蝇,东方绯想天,2008-05-25,1/2008/5/25,7,2,5,7,0,True,https://thwiki.cc/%E4%BB%A5%E9%B1%BC%E9%A9%B1%E8%9D%87,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
仰空,仰空,仰空,东方萃梦想,2004-12-30,1/2004/12/30,108,34,74,108,0,True,https://thwiki.cc/%E4%BB%B0%E7%A9%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
仲夏的妖精梦,真夏の妖精の夢,仲夏的妖精梦,东方天空璋体验版,2017-05-07,1/2017/5/7,181,53,128,181,0,True,https://thwiki.cc/%E4%BB%B2%E5%A4%8F%E7%9A%84%E5%A6%96%E7%B2%BE%E6%A2%A6,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
价值不明,価値がわからない,价值不明,东方深秘录,2015-05-10,1/2015/5/10,2,0,2,2,0,True,https://thwiki.cc/%E4%BB%B7%E5%80%BC%E4%B8%8D%E6%98%8E,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
