original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
少女幻葬 ～ Necro-Fantasy,少女幻葬　～ Necro-Fantasy,少女幻葬　～ Necro-Fantasy,东方妖妖梦,2003-08-17,1/2003/8/17,814,230,584,812,2,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E5%B9%BB%E8%91%AC_%EF%BD%9E_Necro-Fantasy,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女战士 ～ Heart of Valkyrie,乙女戦士　～ Heart of Valkyrie,少女战士　～ Heart of Valkyrie,稀翁玉,2001-12-30,1/2001/12/30,8,0,8,8,0,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E6%88%98%E5%A3%AB_%EF%BD%9E_Heart_of_Valkyrie,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女曾见的日本原风景,少女が見た日本の原風景,少女曾见的日本原风景,东方风神录,2007-08-17,1/2007/8/17,1479,542,937,1475,4,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E6%9B%BE%E8%A7%81%E7%9A%84%E6%97%A5%E6%9C%AC%E5%8E%9F%E9%A3%8E%E6%99%AF,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女神性 ～ Pandora's Box,少女神性　～ Pandora's Box,少女神性　～ Pandora's Box,秋霜玉,2000-12-30,1/2000/12/30,44,4,40,44,0,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E7%A5%9E%E6%80%A7_%EF%BD%9E_Pandora%27s_Box,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女秘封俱乐部,少女秘封倶楽部,少女秘封俱乐部,莲台野夜行,2003-12-30,1/2003/12/30,995,343,652,993,2,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E7%A7%98%E5%B0%81%E4%BF%B1%E4%B9%90%E9%83%A8,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女绮想曲 ～ Capriccio,少女綺想曲　～ Capriccio,少女绮想曲　～ Capriccio,东方幻想乡,1998-08-14,1/1998/8/14,2836,1074,1762,2830,6,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E7%BB%AE%E6%83%B3%E6%9B%B2_%EF%BD%9E_Capriccio,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
少女觉 ～ 3rd eye,少女さとり　～ 3rd eye,少女觉　～ 3rd eye,东方地灵殿,2008-08-16,1/2008/8/16,2527,883,1644,2517,10,True,https://thwiki.cc/%E5%B0%91%E5%A5%B3%E8%A7%89_%EF%BD%9E_3rd_eye,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
尘世不变的悲观主义,塵界不変のペシミズム,尘世不变的悲观主义,东方心绮楼体验版,2012-12-30,1/2012/12/30,9,0,9,9,0,True,https://thwiki.cc/%E5%B0%98%E4%B8%96%E4%B8%8D%E5%8F%98%E7%9A%84%E6%82%B2%E8%A7%82%E4%B8%BB%E4%B9%89,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
尸体旅行 ～ Be of good cheer!,死体旅行　～ Be of good cheer!,尸体旅行　～ Be of good cheer!,东方地灵殿,2008-08-16,1/2008/8/16,1177,439,738,1174,3,True,https://thwiki.cc/%E5%B0%B8%E4%BD%93%E6%97%85%E8%A1%8C_%EF%BD%9E_Be_of_good_cheer!,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
山脚的神社,麓の神社,山脚的神社,东方风神录,2007-08-17,1/2007/8/17,137,26,111,137,0,True,https://thwiki.cc/%E5%B1%B1%E8%84%9A%E7%9A%84%E7%A5%9E%E7%A4%BE,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
巨大的影子与渺小的结局,巨大な影と小さな結末,巨大的影子与渺小的结局,东方非想天则,2009-08-15,1/2009/8/15,23,1,22,23,0,True,https://thwiki.cc/%E5%B7%A8%E5%A4%A7%E7%9A%84%E5%BD%B1%E5%AD%90%E4%B8%8E%E6%B8%BA%E5%B0%8F%E7%9A%84%E7%BB%93%E5%B1%80,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
已经只能听见歌声了,もう歌しか聞こえない,已经只能听见歌声了,东方永夜抄体验版,2004-04-18,1/2004/4/18,1204,361,843,1198,6,True,https://thwiki.cc/%E5%B7%B2%E7%BB%8F%E5%8F%AA%E8%83%BD%E5%90%AC%E8%A7%81%E6%AD%8C%E5%A3%B0%E4%BA%86,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
布加勒斯特的人偶师,ブクレシュティの人形師,布加勒斯特的人偶师,东方妖妖梦体验版,2002-12-30,1/2002/12/30,1343,478,865,1339,4,True,https://thwiki.cc/%E5%B8%83%E5%8A%A0%E5%8B%92%E6%96%AF%E7%89%B9%E7%9A%84%E4%BA%BA%E5%81%B6%E5%B8%88,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
希望之星直升青霄,希望の星は青霄に昇る,希望之星直升青霄,东方天空璋体验版,2017-05-07,1/2017/5/7,216,53,163,216,0,True,https://thwiki.cc/%E5%B8%8C%E6%9C%9B%E4%B9%8B%E6%98%9F%E7%9B%B4%E5%8D%87%E9%9D%92%E9%9C%84,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
平安时代的外星人,平安のエイリアン,平安时代的外星人,东方星莲船,2009-08-15,1/2009/8/15,1411,492,919,1407,4,True,https://thwiki.cc/%E5%B9%B3%E5%AE%89%E6%97%B6%E4%BB%A3%E7%9A%84%E5%A4%96%E6%98%9F%E4%BA%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想乡 ～ Lotus Land Story,幻想郷　～ Lotus Land Story,幻想乡　～ Lotus Land Story,东方幻想乡,1998-08-14,1/1998/8/14,66,9,57,66,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E4%B9%A1_%EF%BD%9E_Lotus_Land_Story,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想乡不可思议发现,幻想郷ふしぎ発見,幻想乡不可思议发现,东方深秘录体验版WEB,2015-05-03,1/2015/5/3,6,0,6,6,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E4%B9%A1%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AE%AE%E5%8F%91%E7%8E%B0,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想乡的二岩,幻想郷の二ッ岩,幻想乡的二岩,东方心绮楼,2013-05-26,1/2013/5/26,56,18,38,56,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E4%B9%A1%E7%9A%84%E4%BA%8C%E5%B2%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想净琉璃,幻想浄瑠璃,幻想净琉璃,东方辉针城,2013-08-12,1/2013/8/12,334,80,254,331,3,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E5%87%80%E7%90%89%E7%92%83,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想地下大轨道网,幻想の地下大線路網,幻想地下大轨道网,东方虹龙洞,2021-05-04,1/2021/5/4,120,34,86,120,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E5%9C%B0%E4%B8%8B%E5%A4%A7%E8%BD%A8%E9%81%93%E7%BD%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想帝都,幻想帝都,幻想帝都,秋霜玉体验版,2000-08-12,1/2000/8/12,12,0,12,12,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E5%B8%9D%E9%83%BD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想的居民,幻想の住人,幻想的居民,东方幻想乡,1998-08-14,1/1998/8/14,26,1,25,26,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E7%9A%84%E5%B1%85%E6%B0%91,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想的永远祭,幻想の永遠祭,幻想的永远祭,莲台野夜行,2003-12-30,1/2003/12/30,129,54,75,129,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E7%9A%84%E6%B0%B8%E8%BF%9C%E7%A5%AD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想的白色旅人,幻想のホワイトトラベラー,幻想的白色旅人,东方天空璋,2017-08-11,1/2017/8/11,218,58,160,218,0,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E7%9A%84%E7%99%BD%E8%89%B2%E6%97%85%E4%BA%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻想科学 ～ Doll's Phantom,幻想科学　～ Doll's Phantom,幻想科学　～ Doll's Phantom,秋霜玉,2000-12-30,1/2000/12/30,131,16,115,130,1,True,https://thwiki.cc/%E5%B9%BB%E6%83%B3%E7%A7%91%E5%AD%A6_%EF%BD%9E_Doll%27s_Phantom,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻梦界,幻夢界,幻梦界,东方封魔录,1997-08-15,1/1997/8/15,60,13,47,60,0,True,https://thwiki.cc/%E5%B9%BB%E6%A2%A6%E7%95%8C,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幻视之夜 ～ Ghostly Eyes,幻視の夜　～ Ghostly Eyes,幻视之夜　～ Ghostly Eyes,莲台野夜行,2003-12-30,1/2003/12/30,844,270,574,841,3,True,https://thwiki.cc/%E5%B9%BB%E8%A7%86%E4%B9%8B%E5%A4%9C_%EF%BD%9E_Ghostly_Eyes,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幼小的有顶天,幼心地の有頂天,幼小的有顶天,东方绯想天,2008-05-25,1/2008/5/25,150,42,108,149,1,True,https://thwiki.cc/%E5%B9%BC%E5%B0%8F%E7%9A%84%E6%9C%89%E9%A1%B6%E5%A4%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幽境,幽境,幽境,东方萃梦想,2004-12-30,1/2004/12/30,7,2,5,7,0,True,https://thwiki.cc/%E5%B9%BD%E5%A2%83,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幽梦 ～ Inanimate Dream,幽夢　～ Inanimate Dream,幽梦　～ Inanimate Dream,东方幻想乡,1998-08-14,1/1998/8/14,360,122,238,360,0,True,https://thwiki.cc/%E5%B9%BD%E6%A2%A6_%EF%BD%9E_Inanimate_Dream,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幽灵乐团 ～ Phantom Ensemble,幽霊楽団　～ Phantom Ensemble,幽灵乐团　～ Phantom Ensemble,东方妖妖梦,2003-08-17,1/2003/8/17,2028,691,1337,2023,5,True,https://thwiki.cc/%E5%B9%BD%E7%81%B5%E4%B9%90%E5%9B%A2_%EF%BD%9E_Phantom_Ensemble,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幽灵客船的穿越时空之旅,幽霊客船の時空を越えた旅,幽灵客船的穿越时空之旅,东方星莲船,2009-08-15,1/2009/8/15,702,220,482,699,3,True,https://thwiki.cc/%E5%B9%BD%E7%81%B5%E5%AE%A2%E8%88%B9%E7%9A%84%E7%A9%BF%E8%B6%8A%E6%97%B6%E7%A9%BA%E4%B9%8B%E6%97%85,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
幽雅地绽放吧，墨染的樱花 ～ Border of Life,幽雅に咲かせ、墨染の桜　～ Border of Life,幽雅地绽放吧，墨染的樱花　～ Border of Life,东方妖妖梦,2003-08-17,1/2003/8/17,2950,939,2011,2941,9,True,https://thwiki.cc/%E5%B9%BD%E9%9B%85%E5%9C%B0%E7%BB%BD%E6%94%BE%E5%90%A7%EF%BC%8C%E5%A2%A8%E6%9F%93%E7%9A%84%E6%A8%B1%E8%8A%B1_%EF%BD%9E_Border_of_Life,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
广有射怪鸟事 ～ Till When?,広有射怪鳥事　～ Till When?,广有射怪鸟事　～ Till When?,东方妖妖梦,2003-08-17,1/2003/8/17,1355,470,885,1350,5,True,https://thwiki.cc/%E5%B9%BF%E6%9C%89%E5%B0%84%E6%80%AA%E9%B8%9F%E4%BA%8B_%EF%BD%9E_Till_When%3F,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
广重36号 ～ Neo Super-Express,ヒロシゲ36号　～ Neo Super-Express,广重36号　～ Neo Super-Express,卯酉东海道,2006-05-21,1/2006/5/21,626,205,421,625,1,True,https://thwiki.cc/%E5%B9%BF%E9%87%8D36%E5%8F%B7_%EF%BD%9E_Neo_Super-Express,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
废狱摇篮曲,廃獄ララバイ,废狱摇篮曲,东方地灵殿,2008-08-16,1/2008/8/16,906,237,669,901,5,True,https://thwiki.cc/%E5%BA%9F%E7%8B%B1%E6%91%87%E7%AF%AE%E6%9B%B2,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
开演在即,開演間近,开演在即,东方凭依华,2017-12-29,1/2017/12/29,8,6,2,8,0,True,https://thwiki.cc/%E5%BC%80%E6%BC%94%E5%9C%A8%E5%8D%B3,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
异变的种子,異変の種子,异变的种子,东方凭依华体验版,2017-05-07,1/2017/5/7,4,0,4,4,0,True,https://thwiki.cc/%E5%BC%82%E5%8F%98%E7%9A%84%E7%A7%8D%E5%AD%90,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
异心同体,異心同体,异心同体,东方凭依华,2017-12-29,1/2017/12/29,1,0,1,1,0,True,https://thwiki.cc/%E5%BC%82%E5%BF%83%E5%90%8C%E4%BD%93,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
彼岸归航 ～ Riverside View,彼岸帰航　～ Riverside View,彼岸归航　～ Riverside View,东方花映塚,2005-08-14,1/2005/8/14,1155,378,777,1149,6,True,https://thwiki.cc/%E5%BD%BC%E5%B2%B8%E5%BD%92%E8%88%AA_%EF%BD%9E_Riverside_View,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
往来于运河的人与妖,運河を行き交う人妖,往来于运河的人与妖,东方辉针城体验版,2013-05-26,1/2013/5/26,114,37,77,113,1,True,https://thwiki.cc/%E5%BE%80%E6%9D%A5%E4%BA%8E%E8%BF%90%E6%B2%B3%E7%9A%84%E4%BA%BA%E4%B8%8E%E5%A6%96,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
徜徉于樱色之海,桜色の海を泳いで,徜徉于樱色之海,东方天空璋体验版,2017-05-07,1/2017/5/7,163,34,129,163,0,True,https://thwiki.cc/%E5%BE%9C%E5%BE%89%E4%BA%8E%E6%A8%B1%E8%89%B2%E4%B9%8B%E6%B5%B7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
御伽之国的鬼岛 ～ Missing Power,御伽の国の鬼が島　～ Missing Power,御伽之国的鬼岛　～ Missing Power,东方萃梦想,2004-12-30,1/2004/12/30,487,123,364,485,2,True,https://thwiki.cc/%E5%BE%A1%E4%BC%BD%E4%B9%8B%E5%9B%BD%E7%9A%84%E9%AC%BC%E5%B2%9B_%EF%BD%9E_Missing_Power,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
御柱的墓场 ～ Grave of Being,御柱の墓場　～ Grave of Being,御柱的墓场　～ Grave of Being,东方风神录,2007-08-17,1/2007/8/17,513,165,348,513,0,True,https://thwiki.cc/%E5%BE%A1%E6%9F%B1%E7%9A%84%E5%A2%93%E5%9C%BA_%EF%BD%9E_Grave_of_Being,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
心绮楼囃子,心綺楼囃子,心绮楼囃子,东方心绮楼体验版,2012-12-30,1/2012/12/30,54,8,46,54,0,True,https://thwiki.cc/%E5%BF%83%E7%BB%AE%E6%A5%BC%E5%9B%83%E5%AD%90,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
忘不了，那曾依藉的绿意,忘れがたき、よすがの緑,忘不了，那曾依藉的绿意,东方绀珠传体验版,2015-05-10,1/2015/5/10,148,42,106,148,0,True,https://thwiki.cc/%E5%BF%98%E4%B8%8D%E4%BA%86%EF%BC%8C%E9%82%A3%E6%9B%BE%E4%BE%9D%E8%97%89%E7%9A%84%E7%BB%BF%E6%84%8F,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
怪绮谈 ～ Mystic Square,怪綺談　～ Mystic Square,怪绮谈　～ Mystic Square,东方怪绮谈,1998-12-30,1/1998/12/30,40,7,33,39,1,True,https://thwiki.cc/%E6%80%AA%E7%BB%AE%E8%B0%88_%EF%BD%9E_Mystic_Square,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
恋色Magic,恋色マジック,恋色Magic,东方封魔录,1997-08-15,1/1997/8/15,4193,1581,2612,4177,16,True,https://thwiki.cc/%E6%81%8B%E8%89%B2Magic,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
恒常不变的参庙祀,恒常不変の参廟祀,恒常不变的参庙祀,东方凭依华,2017-12-29,1/2017/12/29,2,0,2,2,0,True,https://thwiki.cc/%E6%81%92%E5%B8%B8%E4%B8%8D%E5%8F%98%E7%9A%84%E5%8F%82%E5%BA%99%E7%A5%80,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
悠久山上鬼,鬼は悠久の山に,悠久山上鬼,东方兽王园,2023-08-13,1/2023/8/13,26,7,19,26,0,True,https://thwiki.cc/%E6%82%A0%E4%B9%85%E5%B1%B1%E4%B8%8A%E9%AC%BC,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
悠久的蒸汽机关,悠久の蒸気機関,悠久的蒸汽机关,东方非想天则,2009-08-15,1/2009/8/15,154,33,121,152,2,True,https://thwiki.cc/%E6%82%A0%E4%B9%85%E7%9A%84%E8%92%B8%E6%B1%BD%E6%9C%BA%E5%85%B3,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
意气洋洋,意気揚々,意气洋洋,东方凭依华,2017-12-29,1/2017/12/29,2,0,2,2,0,True,https://thwiki.cc/%E6%84%8F%E6%B0%94%E6%B4%8B%E6%B4%8B,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
感情的摩天楼 ～ Cosmic Mind,感情の摩天楼　～ Cosmic Mind,感情的摩天楼　～ Cosmic Mind,东方星莲船,2009-08-15,1/2009/8/15,2029,826,1203,2023,6,True,https://thwiki.cc/%E6%84%9F%E6%83%85%E7%9A%84%E6%91%A9%E5%A4%A9%E6%A5%BC_%EF%BD%9E_Cosmic_Mind,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
成对的神兽,一対の神獣,成对的神兽,东方天空璋体验版,2017-05-07,1/2017/5/7,251,85,166,251,0,True,https://thwiki.cc/%E6%88%90%E5%AF%B9%E7%9A%84%E7%A5%9E%E5%85%BD,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
我们的非想天则,ぼくらの非想天則,我们的非想天则,东方非想天则,2009-08-15,1/2009/8/15,107,30,77,107,0,True,https://thwiki.cc/%E6%88%91%E4%BB%AC%E7%9A%84%E9%9D%9E%E6%83%B3%E5%A4%A9%E5%88%99,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
战斗前会话,戦闘前会話,战斗前会话,东方兽王园,2023-08-13,1/2023/8/13,0,0,0,0,0,True,https://thwiki.cc/%E6%88%98%E6%96%97%E5%89%8D%E4%BC%9A%E8%AF%9D,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
战车娘所做的梦,戦車むすめのみるゆめ,战车娘所做的梦,东方封魔录,1997-08-15,1/1997/8/15,46,3,43,45,1,True,https://thwiki.cc/%E6%88%98%E8%BD%A6%E5%A8%98%E6%89%80%E5%81%9A%E7%9A%84%E6%A2%A6,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
战迅,戦迅,战迅,东方萃梦想,2004-12-30,1/2004/12/30,43,15,28,43,0,True,https://thwiki.cc/%E6%88%98%E8%BF%85,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
所爱所怜的凡尘居所,愛おしき塵の住処,所爱所怜的凡尘居所,东方锦上京体验版,2025-05-05,1/2025/5/5,18,5,13,18,0,True,https://thwiki.cc/%E6%89%80%E7%88%B1%E6%89%80%E6%80%9C%E7%9A%84%E5%87%A1%E5%B0%98%E5%B1%85%E6%89%80,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
所爱所怜的日常,愛おしき日常,所爱所怜的日常,东方锦上京,2025-08-17,1/2025/8/17,7,1,6,7,0,True,https://thwiki.cc/%E6%89%80%E7%88%B1%E6%89%80%E6%80%9C%E7%9A%84%E6%97%A5%E5%B8%B8,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
拿起弹幕吧，弹幕狂们,弾幕を持て、バレットフィリア達よ,拿起弹幕吧，弹幕狂们,弹幕狂们的黑市,2022-08-14,1/2022/8/14,22,5,17,22,0,True,https://thwiki.cc/%E6%8B%BF%E8%B5%B7%E5%BC%B9%E5%B9%95%E5%90%A7%EF%BC%8C%E5%BC%B9%E5%B9%95%E7%8B%82%E4%BB%AC,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
收藏家的忧郁午后,コレクターの憂鬱な午後,收藏家的忧郁午后,弹幕狂们的黑市,2022-08-14,1/2022/8/14,18,3,15,18,0,True,https://thwiki.cc/%E6%94%B6%E8%97%8F%E5%AE%B6%E7%9A%84%E5%BF%A7%E9%83%81%E5%8D%88%E5%90%8E,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
收集日本各地的不可思议,日本中の不思議を集めて,收集日本各地的不可思议,伊奘诺物质,2012-08-11,1/2012/8/11,186,62,124,186,0,True,https://thwiki.cc/%E6%94%B6%E9%9B%86%E6%97%A5%E6%9C%AC%E5%90%84%E5%9C%B0%E7%9A%84%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AE%AE,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
放纵不羁,放縦不羈,放纵不羁,东方绯想天,2008-05-25,1/2008/5/25,2,0,2,2,0,True,https://thwiki.cc/%E6%94%BE%E7%BA%B5%E4%B8%8D%E7%BE%81,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
故乡之星倒映之海,故郷の星が映る海,故乡之星倒映之海,东方绀珠传,2015-08-14,1/2015/8/14,234,36,198,234,0,True,https://thwiki.cc/%E6%95%85%E4%B9%A1%E4%B9%8B%E6%98%9F%E5%80%92%E6%98%A0%E4%B9%8B%E6%B5%B7,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
散发着香气的树叶花,香る樹葉花,散发着香气的树叶花,东方绯想天体验版,2007-08-17,1/2007/8/17,45,9,36,45,0,True,https://thwiki.cc/%E6%95%A3%E5%8F%91%E7%9D%80%E9%A6%99%E6%B0%94%E7%9A%84%E6%A0%91%E5%8F%B6%E8%8A%B1,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
文化规划都市 灵长新益京,文化計画都市　霊長新益京,文化规划都市 灵长新益京,灵长新益京,2026-08-16,1/2026/8/16,0,0,0,0,0,True,https://thwiki.cc/%E6%96%87%E5%8C%96%E8%A7%84%E5%88%92%E9%83%BD%E5%B8%82_%E7%81%B5%E9%95%BF%E6%96%B0%E7%9B%8A%E4%BA%AC,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
