id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
11,东方文花帖,東方文花帖,Windows游戏（STG）,107,game095,12,23,25,20%,0.23%,38.33%,0.44%,41.67%,0.48%,60,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,1,射命丸文,1155,1155,1155
12,东方风神录,東方風神録,Windows游戏（STG）,2731,game100,521,425,318,41.22%,9.91%,33.62%,8.08%,25.16%,6.05%,1264,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,9,射命丸文，秋静叶，秋穰子，键山雏，河城荷取，犬走椛，东风谷早苗，八坂神奈子，洩矢诹访子,3977,282,442
13,东方绯想天,東方緋想天,Windows游戏（FTG）,585,game105,88,115,91,29.93%,1.67%,39.12%,2.19%,30.95%,1.73%,294,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,14,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云紫，伊吹萃香，铃仙·优昙华院·因幡，八意永琳，射命丸文，小野塚小町，永江衣玖，比那名居天子,12170,1059,869
14,东方地灵殿,東方地霊殿,Windows游戏（STG）,1859,game110,364,279,209,42.72%,6.92%,32.75%,5.31%,24.53%,3.98%,852,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,15,帕秋莉·诺蕾姬，爱丽丝·玛格特洛依德，八云紫，伊吹萃香，射命丸文，河城荷取，东风谷早苗，琪斯美，黑谷山女，水桥帕露西，星熊勇仪，古明地觉，火焰猫燐，灵乌路空，古明地恋,10422,575,695
15,东方星莲船,東方星蓮船,Windows游戏（STG）,726,game120,113,134,119,30.87%,2.15%,36.61%,2.55%,32.51%,2.26%,366,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,9,娜兹玲，多多良小伞，云山，云居一轮，村纱水蜜，寅丸星，圣白莲，封兽鵺，命莲,1315,69,146
16,东方非想天则,東方非想天則,Windows游戏（FTG）,1645,game123,312,243,223,40.1%,5.93%,31.23%,4.62%,28.66%,4.24%,778,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,10,琪露诺，红美铃，帕秋莉·诺蕾姬，爱丽丝·玛格特洛依德，东风谷早苗，八坂神奈子，洩矢诹访子，灵乌路空，大鲶鱼，非想天则,5333,504,533
17,DS东方文花帖,ダブルスポイラー,Windows游戏（STG）,96,game125,15,11,29,27.27%,0.29%,20%,0.21%,52.73%,0.55%,55,<a href='./?m=info&type=work&id=17' target='_blank'>点击查看详情</a>,2,射命丸文，姬海棠果,1253,1155,627
18,妖精大战争,妖精大戦争,Windows游戏（STG）,111,game128,15,23,20,25.86%,0.29%,39.66%,0.44%,34.48%,0.38%,58,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,5,莉莉白，射命丸文，桑尼米尔克，露娜切尔德，斯塔萨菲雅,1603,109,321
19,东方神灵庙,東方神霊廟,Windows游戏（STG）,708,game130,131,116,83,39.7%,2.49%,35.15%,2.21%,25.15%,1.58%,330,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,12,魂魄妖梦，西行寺幽幽子，东风谷早苗，多多良小伞，封兽鵺，幽谷响子，宫古芳香，霍青娥，苏我屠自古，物部布都，丰聪耳神子，二岩猯藏,5152,253,429
20,东方心绮楼,東方心綺楼,Windows游戏（FTG）,429,game135,65,80,74,29.68%,1.24%,36.53%,1.52%,33.79%,1.41%,219,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,14,河城荷取，星熊勇仪，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，秦河胜，桑尼米尔克，露娜切尔德，斯塔萨菲雅,4534,135,324
21,东方辉针城,東方輝針城,Windows游戏（STG）,1194,game140,219,184,169,38.29%,4.17%,32.17%,3.5%,29.55%,3.21%,572,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，蕾米莉亚·斯卡蕾特，若鹭姬，赤蛮奇，今泉影狼，九十九弁弁，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,5052,176,459
22,弹幕天邪鬼,弾幕アマノジャク,Windows游戏（STG）,442,game143,56,88,98,23.14%,1.07%,36.36%,1.67%,40.5%,1.86%,242,<a href='./?m=info&type=work&id=22' target='_blank'>点击查看详情</a>,6,二岩猯藏，今泉影狼，九十九八桥，鬼人正邪，少名针妙丸，堀川雷鼓,1426,135,238
23,东方深秘录,東方深秘録,Windows游戏（FTG）,450,game145,59,93,87,24.69%,1.12%,38.91%,1.77%,36.4%,1.65%,239,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,15,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地觉，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,8614,399,574
24,东方绀珠传,東方紺珠伝,Windows游戏（STG）,1925,game150,349,295,288,37.45%,6.64%,31.65%,5.61%,30.9%,5.48%,932,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,15,八云紫，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，东风谷早苗，八坂神奈子，洩矢诹访子，清兰，铃瑚，哆来咪·苏伊特，稀神探女，克劳恩皮丝，纯狐，赫卡提亚·拉碧斯拉祖利,7320,415,488
26,莲台野夜行,蓮台野夜行,音乐CD,141,music020,23,16,40,29.11%,0.44%,20.25%,0.3%,50.63%,0.76%,79,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
27,梦违科学世纪,夢違科学世紀,音乐CD,199,music030,22,41,51,19.3%,0.42%,35.96%,0.78%,44.74%,0.97%,114,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
28,卯酉东海道,卯酉東海道,音乐CD,167,music040,24,30,35,26.97%,0.46%,33.71%,0.57%,39.33%,0.67%,89,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
29,大空魔术,大空魔術,音乐CD,321,music050,43,64,64,25.15%,0.82%,37.43%,1.22%,37.43%,1.22%,171,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
30,未知之花 魅知之旅,未知の花 魅知の旅,音乐CD,89,music055,10,17,25,19.23%,0.19%,32.69%,0.32%,48.08%,0.48%,52,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
31,鸟船遗迹,鳥船遺跡,音乐CD,63,music060,5,13,22,12.5%,0.1%,32.5%,0.25%,55%,0.42%,40,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
32,伊奘诺物质,伊弉諾物質,音乐CD,75,music070,11,14,14,28.21%,0.21%,35.9%,0.27%,35.9%,0.27%,39,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
43,东方香霖堂,東方香霖堂,出版物,237,novel001,41,28,58,32.28%,0.78%,22.05%,0.53%,45.67%,1.1%,127,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,2,宇佐见堇子，森近霖之助,520,337,260
44,东方三月精,東方三月精,出版物,344,novel002,47,62,79,25%,0.89%,32.98%,1.18%,42.02%,1.5%,188,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,5,八云紫，克劳恩皮丝，桑尼米尔克，露娜切尔德，斯塔萨菲雅,1914,109,383
45,东方儚月抄,東方儚月抄,出版物,234,novel006,29,43,61,21.8%,0.55%,32.33%,0.82%,45.86%,1.16%,133,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,9,西行寺幽幽子，八云紫，因幡帝，铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，绵月丰姬，绵月依姬，Reisen,4766,303,530
46,东方茨歌仙,東方茨歌仙,出版物,534,novel008,71,95,131,23.91%,1.35%,31.99%,1.81%,44.11%,2.49%,297,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,8,十六夜咲夜，八云紫，伊吹萃香，小野塚小町，东风谷早苗，八坂神奈子，宇佐见堇子，茨木华扇,5109,575,639
47,东方铃奈庵,東方鈴奈庵,出版物,711,novel010,102,117,171,26.15%,1.94%,30%,2.23%,43.85%,3.25%,390,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,4,八云紫，二岩猯藏，稗田阿求，本居小铃,1977,306,494
48,东方求闻史纪,東方求聞史紀,出版物,331,novel005,44,53,93,23.16%,0.84%,27.89%,1.01%,48.95%,1.77%,190,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,1,稗田阿求,306,306,306
49,东方求闻口授,東方求聞口授,出版物,146,novel009,13,27,53,13.98%,0.25%,29.03%,0.51%,56.99%,1.01%,93,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,1,稗田阿求,306,306,306
51,东方文花帖,東方文花帖,出版物,40,novel003,3,7,17,11.11%,0.06%,25.93%,0.13%,62.96%,0.32%,27,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,1,射命丸文,1155,1155,1155
52,东方紫香花,東方紫香花,出版物,10,novel004,1,3,1,20%,0.02%,60%,0.06%,20%,0.02%,5,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,1,八云紫,1290,1290,1290
53,东方外来韦编,東方外來韋編,出版物,68,novel011,9,8,25,21.43%,0.17%,19.05%,0.15%,59.52%,0.48%,42,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,1,射命丸文,1155,1155,1155
54,燕石博物志,燕石博物誌,音乐CD,91,music080,13,14,24,25.49%,0.25%,27.45%,0.27%,47.06%,0.46%,51,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
55,旧约酒吧,旧約酒場,音乐CD,51,music090,3,11,20,8.82%,0.06%,32.35%,0.21%,58.82%,0.38%,34,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,2,宇佐见莲子，玛艾露贝莉·赫恩（梅莉）,1117,597,559
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,23,game145ps4,4,3,5,33.33%,0.08%,25%,0.06%,41.67%,0.1%,12,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,13,铃仙·优昙华院·因幡，藤原妹红，河城荷取，古明地恋，云山，云居一轮，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，茨木华扇,6835,337,526
58,东方凭依华,東方憑依華,Windows游戏（FTG）,989,game155,137,191,196,26.15%,2.61%,36.45%,3.63%,37.4%,3.73%,524,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,19,八云紫，铃仙·优昙华院·因幡，藤原妹红，河城荷取，比那名居天子，古明地恋，云山，云居一轮，圣白莲，物部布都，丰聪耳神子，二岩猯藏，秦心，少名针妙丸，宇佐见堇子，哆来咪·苏伊特，茨木华扇，依神女苑，依神紫苑,10621,415,559
59,东方天空璋,東方天空璋,Windows游戏（STG）,724,game160,95,158,123,25.27%,1.81%,42.02%,3.01%,32.71%,2.34%,376,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,11,琪露诺，十六夜咲夜，莉莉白，圣白莲，爱塔妮缇拉尔瓦，坂田合欢乃，高丽野阿吽，矢田寺成美，尔子田里乃，丁礼田舞，摩多罗隐岐奈,3715,120,338
60,东方文果真报,東方文果真報,出版物,94,novel012,9,18,31,15.52%,0.17%,31.03%,0.34%,53.45%,0.59%,58,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,1,射命丸文,1155,1155,1155
62,秘封噩梦日记,秘封ナイトメアダイアリー,Windows游戏（STG）,94,game165,12,18,22,23.08%,0.23%,34.62%,0.34%,42.31%,0.42%,52,<a href='./?m=info&type=work&id=62' target='_blank'>点击查看详情</a>,4,宇佐见堇子，清兰，铃瑚，哆来咪·苏伊特,812,35,203
