id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
13,东方绯想天,東方緋想天,Windows游戏（FTG）,585,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,game105,88,115,91,29.93%,1.67%,39.12%,2.19%,30.95%,1.73%,294,5.59%,252,42,85.71%,14.29%,4.42%,3.41%,
14,东方地灵殿,東方地霊殿,Windows游戏（STG）,1859,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,game110,364,279,209,42.72%,6.92%,32.75%,5.31%,24.53%,3.98%,852,16.21%,680,172,79.81%,20.19%,11.92%,13.95%,
15,东方星莲船,東方星蓮船,Windows游戏（STG）,726,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,game120,113,134,119,30.87%,2.15%,36.61%,2.55%,32.51%,2.26%,366,6.96%,287,79,78.42%,21.58%,5.03%,6.41%,
16,东方非想天则,東方非想天則,Windows游戏（FTG）,1645,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,game123,312,243,223,40.1%,5.93%,31.23%,4.62%,28.66%,4.24%,778,14.8%,714,64,91.77%,8.23%,12.51%,5.19%,
17,DS东方文花帖,ダブルスポイラー,Windows游戏（STG）,96,<a href='./?m=info&type=work&id=17' target='_blank'>点击查看详情</a>,game125,15,11,29,27.27%,0.29%,20%,0.21%,52.73%,0.55%,55,1.05%,46,9,83.64%,16.36%,0.81%,0.73%,
18,妖精大战争,妖精大戦争,Windows游戏（STG）,111,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,game128,15,23,20,25.86%,0.29%,39.66%,0.44%,34.48%,0.38%,58,1.1%,53,5,91.38%,8.62%,0.93%,0.41%,
19,东方神灵庙,東方神霊廟,Windows游戏（STG）,708,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,game130,131,116,83,39.7%,2.49%,35.15%,2.21%,25.15%,1.58%,330,6.28%,217,113,65.76%,34.24%,3.8%,9.16%,
20,东方心绮楼,東方心綺楼,Windows游戏（FTG）,429,<a href='./?m=info&type=work&id=20' target='_blank'>点击查看详情</a>,game135,65,80,74,29.68%,1.24%,36.53%,1.52%,33.79%,1.41%,219,4.17%,190,29,86.76%,13.24%,3.33%,2.35%,
21,东方辉针城,東方輝針城,Windows游戏（STG）,1194,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,game140,219,184,169,38.29%,4.17%,32.17%,3.5%,29.55%,3.21%,572,10.88%,447,125,78.15%,21.85%,7.83%,10.14%,
22,弹幕天邪鬼,弾幕アマノジャク,Windows游戏（STG）,442,<a href='./?m=info&type=work&id=22' target='_blank'>点击查看详情</a>,game143,56,88,98,23.14%,1.07%,36.36%,1.67%,40.5%,1.86%,242,4.6%,196,46,80.99%,19.01%,3.43%,3.73%,
23,东方深秘录,東方深秘録,Windows游戏（FTG）,450,<a href='./?m=info&type=work&id=23' target='_blank'>点击查看详情</a>,game145,59,93,87,24.69%,1.12%,38.91%,1.77%,36.4%,1.65%,239,4.55%,180,59,75.31%,24.69%,3.15%,4.79%,
24,东方绀珠传,東方紺珠伝,Windows游戏（STG）,1925,<a href='./?m=info&type=work&id=24' target='_blank'>点击查看详情</a>,game150,349,295,288,37.45%,6.64%,31.65%,5.61%,30.9%,5.48%,932,17.73%,738,194,79.18%,20.82%,12.93%,15.73%,
25,蓬莱人形,蓬莱人形,音乐CD,513,<a href='./?m=info&type=work&id=25' target='_blank'>点击查看详情</a>,music010,80,89,95,30.3%,1.52%,33.71%,1.69%,35.98%,1.81%,264,5.02%,205,59,77.65%,22.35%,3.59%,4.79%,
26,莲台野夜行,蓮台野夜行,音乐CD,141,<a href='./?m=info&type=work&id=26' target='_blank'>点击查看详情</a>,music020,23,16,40,29.11%,0.44%,20.25%,0.3%,50.63%,0.76%,79,1.5%,62,17,78.48%,21.52%,1.09%,1.38%,
27,梦违科学世纪,夢違科学世紀,音乐CD,199,<a href='./?m=info&type=work&id=27' target='_blank'>点击查看详情</a>,music030,22,41,51,19.3%,0.42%,35.96%,0.78%,44.74%,0.97%,114,2.17%,97,17,85.09%,14.91%,1.7%,1.38%,
28,卯酉东海道,卯酉東海道,音乐CD,167,<a href='./?m=info&type=work&id=28' target='_blank'>点击查看详情</a>,music040,24,30,35,26.97%,0.46%,33.71%,0.57%,39.33%,0.67%,89,1.69%,64,25,71.91%,28.09%,1.12%,2.03%,
29,大空魔术,大空魔術,音乐CD,321,<a href='./?m=info&type=work&id=29' target='_blank'>点击查看详情</a>,music050,43,64,64,25.15%,0.82%,37.43%,1.22%,37.43%,1.22%,171,3.25%,126,45,73.68%,26.32%,2.21%,3.65%,
30,未知之花 魅知之旅,未知の花 魅知の旅,音乐CD,89,<a href='./?m=info&type=work&id=30' target='_blank'>点击查看详情</a>,music055,10,17,25,19.23%,0.19%,32.69%,0.32%,48.08%,0.48%,52,0.99%,44,8,84.62%,15.38%,0.77%,0.65%,
31,鸟船遗迹,鳥船遺跡,音乐CD,63,<a href='./?m=info&type=work&id=31' target='_blank'>点击查看详情</a>,music060,5,13,22,12.5%,0.1%,32.5%,0.25%,55%,0.42%,40,0.76%,29,11,72.5%,27.5%,0.51%,0.89%,
32,伊奘诺物质,伊弉諾物質,音乐CD,75,<a href='./?m=info&type=work&id=32' target='_blank'>点击查看详情</a>,music070,11,14,14,28.21%,0.21%,35.9%,0.27%,35.9%,0.27%,39,0.74%,28,11,71.79%,28.21%,0.49%,0.89%,
33,幺乐团的历史 vol.1,幺樂団の歴史 vol.1,音乐CD,1,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,yyt010,0,0,1,0%,0%,0%,0%,100%,0.02%,1,0.02%,1,0,100%,0%,0.02%,0%,
34,幺乐团的历史 vol.2,幺樂団の歴史 vol.2,音乐CD,8,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,yyt020,0,3,2,0%,0%,60%,0.06%,40%,0.04%,5,0.1%,3,2,60%,40%,0.05%,0.16%,
35,幺乐团的历史 vol.3,幺樂団の歴史 vol.3,音乐CD,0,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,yyt030,0,0,0,0%,0%,0%,0%,0%,0%,0,,0,0,0%,0%,0%,0%,0%
36,幺乐团的历史 vol.4,幺樂団の歴史 vol.4,音乐CD,1,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,yyt040,0,0,1,0%,0%,0%,0%,100%,0.02%,1,0.02%,0,1,0%,100%,0%,0.08%,
37,幺乐团的历史 vol.5,幺樂団の歴史 vol.5,音乐CD,1,<a href='./?m=info&type=work&id=37' target='_blank'>点击查看详情</a>,yyt050,0,0,1,0%,0%,0%,0%,100%,0.02%,1,0.02%,1,0,100%,0%,0.02%,0%,
38,幻想曲拔萃,幻想曲抜萃,音乐CD,32,<a href='./?m=info&type=work&id=38' target='_blank'>点击查看详情</a>,ost010,5,7,3,33.33%,0.1%,46.67%,0.13%,20%,0.06%,15,0.29%,13,2,86.67%,13.33%,0.23%,0.16%,
39,全人类的天乐录,全人類ノ天楽録,音乐CD,57,<a href='./?m=info&type=work&id=39' target='_blank'>点击查看详情</a>,ost020,8,11,11,26.67%,0.15%,36.67%,0.21%,36.67%,0.21%,30,0.57%,25,5,83.33%,16.67%,0.44%,0.41%,
40,核热造神非想天则,核熱造神ヒソウテンソク,音乐CD,40,<a href='./?m=info&type=work&id=40' target='_blank'>点击查看详情</a>,ost030,3,10,11,12.5%,0.06%,41.67%,0.19%,45.83%,0.21%,24,0.46%,23,1,95.83%,4.17%,0.4%,0.08%,
41,暗黑能乐集心绮楼‎,暗黒能楽集·心綺楼,音乐CD,24,<a href='./?m=info&type=work&id=41' target='_blank'>点击查看详情</a>,ost040,3,4,7,21.43%,0.06%,28.57%,0.08%,50%,0.13%,14,0.27%,12,2,85.71%,14.29%,0.21%,0.16%,
42,深秘乐曲集‎,深秘的楽曲集,音乐CD,16,<a href='./?m=info&type=work&id=42' target='_blank'>点击查看详情</a>,ost050,2,4,2,25%,0.04%,50%,0.08%,25%,0.04%,8,0.15%,8,0,100%,0%,0.14%,0%,
43,东方香霖堂,東方香霖堂,出版物,237,<a href='./?m=info&type=work&id=43' target='_blank'>点击查看详情</a>,novel001,41,28,58,32.28%,0.78%,22.05%,0.53%,45.67%,1.1%,127,2.42%,117,10,92.13%,7.87%,2.05%,0.81%,
44,东方三月精,東方三月精,出版物,344,<a href='./?m=info&type=work&id=44' target='_blank'>点击查看详情</a>,novel002,47,62,79,25%,0.89%,32.98%,1.18%,42.02%,1.5%,188,3.58%,178,10,94.68%,5.32%,3.12%,0.81%,
45,东方儚月抄,東方儚月抄,出版物,234,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,novel006,29,43,61,21.8%,0.55%,32.33%,0.82%,45.86%,1.16%,133,2.53%,112,21,84.21%,15.79%,1.96%,1.7%,
46,东方茨歌仙,東方茨歌仙,出版物,534,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,novel008,71,95,131,23.91%,1.35%,31.99%,1.81%,44.11%,2.49%,297,5.65%,266,31,89.56%,10.44%,4.66%,2.51%,
47,东方铃奈庵,東方鈴奈庵,出版物,711,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,novel010,102,117,171,26.15%,1.94%,30%,2.23%,43.85%,3.25%,390,7.42%,297,93,76.15%,23.85%,5.2%,7.54%,
48,东方求闻史纪,東方求聞史紀,出版物,331,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,novel005,44,53,93,23.16%,0.84%,27.89%,1.01%,48.95%,1.77%,190,3.61%,167,23,87.89%,12.11%,2.93%,1.87%,
49,东方求闻口授,東方求聞口授,出版物,146,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,novel009,13,27,53,13.98%,0.25%,29.03%,0.51%,56.99%,1.01%,93,1.77%,76,17,81.72%,18.28%,1.33%,1.38%,
50,The Grimoire of Marisa,The Grimoire of Marisa,出版物,34,<a href='./?m=info&type=work&id=50' target='_blank'>点击查看详情</a>,novel007,5,3,13,23.81%,0.1%,14.29%,0.06%,61.9%,0.25%,21,0.4%,16,5,76.19%,23.81%,0.28%,0.41%,
51,东方文花帖,東方文花帖,出版物,40,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,novel003,3,7,17,11.11%,0.06%,25.93%,0.13%,62.96%,0.32%,27,0.51%,24,3,88.89%,11.11%,0.42%,0.24%,
52,东方紫香花,東方紫香花,出版物,10,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,novel004,1,3,1,20%,0.02%,60%,0.06%,20%,0.02%,5,0.1%,5,0,100%,0%,0.09%,0%,
53,东方外来韦编,東方外來韋編,出版物,68,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,novel011,9,8,25,21.43%,0.17%,19.05%,0.15%,59.52%,0.48%,42,0.8%,38,4,90.48%,9.52%,0.67%,0.32%,
54,燕石博物志,燕石博物誌,音乐CD,91,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,music080,13,14,24,25.49%,0.25%,27.45%,0.27%,47.06%,0.46%,51,0.97%,41,10,80.39%,19.61%,0.72%,0.81%,
55,旧约酒吧,旧約酒場,音乐CD,51,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,music090,3,11,20,8.82%,0.06%,32.35%,0.21%,58.82%,0.38%,34,0.65%,24,10,70.59%,29.41%,0.42%,0.81%,
56,深秘乐曲集·补,深秘的楽曲集·補,音乐CD,2,<a href='./?m=info&type=work&id=56' target='_blank'>点击查看详情</a>,ost060,0,0,2,0%,0%,0%,0%,100%,0.04%,2,0.04%,2,0,100%,0%,0.04%,0%,
57,东方深秘录PS4版,東方深秘録PS4,PS4游戏,23,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,game145ps4,4,3,5,33.33%,0.08%,25%,0.06%,41.67%,0.1%,12,0.23%,10,2,83.33%,16.67%,0.18%,0.16%,
58,东方凭依华,東方憑依華,Windows游戏（FTG）,989,<a href='./?m=info&type=work&id=58' target='_blank'>点击查看详情</a>,game155,137,191,196,26.15%,2.61%,36.45%,3.63%,37.4%,3.73%,524,9.97%,448,76,85.5%,14.5%,7.85%,6.16%,
59,东方天空璋,東方天空璋,Windows游戏（STG）,724,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,game160,95,158,123,25.27%,1.81%,42.02%,3.01%,32.71%,2.34%,376,7.15%,326,50,86.7%,13.3%,5.71%,4.06%,
60,东方文果真报,東方文果真報,出版物,94,<a href='./?m=info&type=work&id=60' target='_blank'>点击查看详情</a>,novel012,9,18,31,15.52%,0.17%,31.03%,0.34%,53.45%,0.59%,58,1.1%,57,1,98.28%,1.72%,1%,0.08%,
61,完全凭依唱片名录,完全憑依ディスコグラフィ,音乐CD,22,<a href='./?m=info&type=work&id=61' target='_blank'>点击查看详情</a>,ost070,2,6,4,16.67%,0.04%,50%,0.11%,33.33%,0.08%,12,0.23%,10,2,83.33%,16.67%,0.18%,0.16%,
62,秘封噩梦日记,秘封ナイトメアダイアリー,Windows游戏（STG）,94,<a href='./?m=info&type=work&id=62' target='_blank'>点击查看详情</a>,game165,12,18,22,23.08%,0.23%,34.62%,0.34%,42.31%,0.42%,52,0.99%,40,12,76.92%,23.08%,0.7%,0.97%,
