id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector0,vector3,ratio,vratio
12,388,92,<a href='./?m=info&type=cp&id=084085000' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,85,<a href='./?m=info&type=chara&id=85' target='_blank'>少名针妙丸</a>,0,-,266,122,68.56%,31.44%,4.66%,9.89%,41.49%,7.73%,50.77%,-,23.71,7.27%
13,200,41,<a href='./?m=info&type=cp&id=064075000' target='_blank'>点击查看详情</a>,1,64,<a href='./?m=info&type=chara&id=64' target='_blank'>圣白莲</a>,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,0,-,119,81,59.5%,40.5%,2.09%,6.57%,19%,17%,64%,-,20.5,3.75%
14,15,3,<a href='./?m=info&type=cp&id=075077000' target='_blank'>点击查看详情</a>,1,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,0,-,10,5,66.67%,33.33%,0.18%,0.41%,33.33%,0%,66.67%,-,20,0.28%
15,155,37,<a href='./?m=info&type=cp&id=038039000' target='_blank'>点击查看详情</a>,1,38,<a href='./?m=info&type=chara&id=38' target='_blank'>小野塚小町</a>,39,<a href='./?m=info&type=chara&id=39' target='_blank'>四季映姬·亚玛萨那度</a>,0,-,103,52,66.45%,33.55%,1.8%,4.22%,27.74%,23.23%,49.03%,-,23.87,2.9%
16,63,5,<a href='./?m=info&type=cp&id=084097000' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,46,17,73.02%,26.98%,0.81%,1.38%,6.35%,25.4%,68.25%,-,7.94,1.18%
17,594,133,<a href='./?m=info&type=cp&id=029034000' target='_blank'>点击查看详情</a>,1,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,423,171,71.21%,28.79%,7.41%,13.87%,18.86%,25.76%,55.39%,-,22.39,11.12%
18,22,2,<a href='./?m=info&type=cp&id=002009000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,9,13,40.91%,59.09%,0.16%,1.05%,18.18%,45.45%,36.36%,-,9.09,0.41%
19,168,33,<a href='./?m=info&type=cp&id=052053000' target='_blank'>点击查看详情</a>,1,52,<a href='./?m=info&type=chara&id=52' target='_blank'>水桥帕露西</a>,53,<a href='./?m=info&type=chara&id=53' target='_blank'>星熊勇仪</a>,0,-,112,56,66.67%,33.33%,1.96%,4.54%,4.17%,58.33%,37.5%,-,19.64,3.15%
20,42,6,<a href='./?m=info&type=cp&id=014022000' target='_blank'>点击查看详情</a>,1,14,<a href='./?m=info&type=chara&id=14' target='_blank'>橙</a>,22,<a href='./?m=info&type=chara&id=22' target='_blank'>八云蓝</a>,0,-,36,6,85.71%,14.29%,0.63%,0.49%,4.76%,40.48%,54.76%,-,14.29,0.79%
21,142,33,<a href='./?m=info&type=cp&id=048049000' target='_blank'>点击查看详情</a>,1,48,<a href='./?m=info&type=chara&id=48' target='_blank'>永江衣玖</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,123,19,86.62%,13.38%,2.16%,1.54%,28.87%,19.01%,52.11%,-,23.24,2.66%
22,7,2,<a href='./?m=info&type=cp&id=026049000' target='_blank'>点击查看详情</a>,1,26,<a href='./?m=info&type=chara&id=26' target='_blank'>伊吹萃香</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,5,2,71.43%,28.57%,0.09%,0.16%,14.29%,0%,85.71%,-,28.57,0.13%
23,551,172,<a href='./?m=info&type=cp&id=001023000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,411,140,74.59%,25.41%,7.2%,11.35%,6.17%,53.18%,40.65%,-,31.22,10.32%
24,94,23,<a href='./?m=info&type=cp&id=001015000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,55,39,58.51%,41.49%,0.96%,3.16%,21.28%,12.77%,65.96%,-,24.47,1.76%
25,48,13,<a href='./?m=info&type=cp&id=001035000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,0,-,29,19,60.42%,39.58%,0.51%,1.54%,10.42%,22.92%,66.67%,-,27.08,0.9%
26,47,15,<a href='./?m=info&type=cp&id=015037000' target='_blank'>点击查看详情</a>,1,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,37,<a href='./?m=info&type=chara&id=37' target='_blank'>风见幽香</a>,0,-,24,23,51.06%,48.94%,0.42%,1.87%,6.38%,53.19%,40.43%,-,31.91,0.88%
27,108,7,<a href='./?m=info&type=cp&id=023210000' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,210,<a href='./?m=info&type=chara&id=210' target='_blank'>摩多罗隐岐奈</a>,0,-,75,33,69.44%,30.56%,1.31%,2.68%,3.7%,27.78%,68.52%,-,6.48,2.02%
28,26,4,<a href='./?m=info&type=cp&id=065076000' target='_blank'>点击查看详情</a>,1,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,76,<a href='./?m=info&type=chara&id=76' target='_blank'>二岩猯藏</a>,0,-,12,14,46.15%,53.85%,0.21%,1.14%,11.54%,19.23%,69.23%,-,15.38,0.49%
29,22,8,<a href='./?m=info&type=cp&id=035136000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,0,-,11,11,50%,50%,0.19%,0.89%,40.91%,4.55%,54.55%,-,36.36,0.41%
30,26,5,<a href='./?m=info&type=cp&id=062064000' target='_blank'>点击查看详情</a>,1,62,<a href='./?m=info&type=chara&id=62' target='_blank'>村纱水蜜</a>,64,<a href='./?m=info&type=chara&id=64' target='_blank'>圣白莲</a>,0,-,11,15,42.31%,57.69%,0.19%,1.22%,3.85%,30.77%,65.38%,-,19.23,0.49%
31,18,2,<a href='./?m=info&type=cp&id=045047000' target='_blank'>点击查看详情</a>,1,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,17,1,94.44%,5.56%,0.3%,0.08%,5.56%,27.78%,66.67%,-,11.11,0.34%
32,104,29,<a href='./?m=info&type=cp&id=002137000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,137,<a href='./?m=info&type=chara&id=137' target='_blank'>森近霖之助</a>,0,-,83,21,79.81%,20.19%,1.45%,1.7%,26.92%,14.42%,58.65%,-,27.88,1.95%
33,865,280,<a href='./?m=info&type=cp&id=021023000' target='_blank'>点击查看详情</a>,1,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,676,189,78.15%,21.85%,11.85%,15.33%,5.55%,35.49%,58.96%,-,32.37,16.2%
34,114,14,<a href='./?m=info&type=cp&id=046047000' target='_blank'>点击查看详情</a>,1,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,55,59,48.25%,51.75%,0.96%,4.79%,16.67%,20.18%,63.16%,-,12.28,2.13%
35,249,51,<a href='./?m=info&type=cp&id=096097000' target='_blank'>点击查看详情</a>,1,96,<a href='./?m=info&type=chara&id=96' target='_blank'>哆来咪·苏伊特</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,0,-,159,90,63.86%,36.14%,2.79%,7.3%,34.94%,11.65%,53.41%,-,20.48,4.66%
36,196,43,<a href='./?m=info&type=cp&id=020031000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,0,-,178,18,90.82%,9.18%,3.12%,1.46%,16.84%,14.8%,68.37%,-,21.94,3.67%
37,59,18,<a href='./?m=info&type=cp&id=005035000' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,0,-,53,6,89.83%,10.17%,0.93%,0.49%,6.78%,33.9%,59.32%,-,30.51,1.1%
38,3,2,<a href='./?m=info&type=cp&id=011021000' target='_blank'>点击查看详情</a>,1,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,0,-,3,0,100%,0%,0.05%,0%,0%,33.33%,66.67%,-,66.67,0.06%
39,571,135,<a href='./?m=info&type=cp&id=009010000' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,450,121,78.81%,21.19%,7.89%,9.81%,23.82%,26.44%,49.74%,-,23.64,10.69%
40,585,181,<a href='./?m=info&type=cp&id=057077000' target='_blank'>点击查看详情</a>,1,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,0,-,519,66,88.72%,11.28%,9.09%,5.35%,48.55%,2.91%,48.55%,-,30.94,10.96%
41,116,31,<a href='./?m=info&type=cp&id=011057000' target='_blank'>点击查看详情</a>,1,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,0,-,94,22,81.03%,18.97%,1.65%,1.78%,9.48%,20.69%,69.83%,-,26.72,2.17%
42,6,0,<a href='./?m=info&type=cp&id=071072145' target='_blank'>点击查看详情</a>,1,71,<a href='./?m=info&type=chara&id=71' target='_blank'>宫古芳香</a>,72,<a href='./?m=info&type=chara&id=72' target='_blank'>霍青娥</a>,145,<a href='./?m=info&type=chara&id=145' target='_blank'>茨木华扇</a>,4,2,66.67%,33.33%,0.07%,0.16%,0%,33.33%,50%,16.67%,,0.11%
43,126,28,<a href='./?m=info&type=cp&id=035044000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,44,<a href='./?m=info&type=chara&id=44' target='_blank'>犬走椛</a>,0,-,110,16,87.3%,12.7%,1.93%,1.3%,57.14%,2.38%,40.48%,-,22.22,2.36%
44,158,53,<a href='./?m=info&type=cp&id=001045000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,0,-,138,20,87.34%,12.66%,2.42%,1.62%,24.68%,17.09%,58.23%,-,33.54,2.96%
45,6,2,<a href='./?m=info&type=cp&id=003005000' target='_blank'>点击查看详情</a>,1,3,<a href='./?m=info&type=chara&id=3' target='_blank'>露米娅</a>,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,0,-,6,0,100%,0%,0.11%,0%,16.67%,16.67%,66.67%,-,33.33,0.11%
46,60,6,<a href='./?m=info&type=cp&id=017018019' target='_blank'>点击查看详情</a>,1,17,<a href='./?m=info&type=chara&id=17' target='_blank'>露娜萨·普莉兹姆利巴</a>,18,<a href='./?m=info&type=chara&id=18' target='_blank'>梅露兰·普莉兹姆利巴</a>,19,<a href='./?m=info&type=chara&id=19' target='_blank'>莉莉卡·普莉兹姆利巴</a>,55,5,91.67%,8.33%,0.96%,0.41%,6.67%,3.33%,86.67%,3.33%,10,1.12%
47,373,53,<a href='./?m=info&type=cp&id=004005000' target='_blank'>点击查看详情</a>,1,4,<a href='./?m=info&type=chara&id=4' target='_blank'>大妖精</a>,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,0,-,347,26,93.03%,6.97%,6.08%,2.11%,17.69%,24.66%,57.64%,-,14.21,6.99%
48,30,1,<a href='./?m=info&type=cp&id=099201000' target='_blank'>点击查看详情</a>,1,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,201,<a href='./?m=info&type=chara&id=201' target='_blank'>嫦娥</a>,0,-,26,4,86.67%,13.33%,0.46%,0.32%,46.67%,3.33%,50%,-,3.33,0.56%
49,162,23,<a href='./?m=info&type=cp&id=099100000' target='_blank'>点击查看详情</a>,1,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,100,<a href='./?m=info&type=chara&id=100' target='_blank'>赫卡提亚·拉碧斯拉祖利</a>,0,-,103,59,63.58%,36.42%,1.8%,4.79%,9.26%,23.46%,67.28%,-,14.2,3.03%
50,159,29,<a href='./?m=info&type=cp&id=045046047' target='_blank'>点击查看详情</a>,1,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,134,25,84.28%,15.72%,2.35%,2.03%,8.81%,6.29%,81.13%,3.77%,18.24,2.98%
51,464,128,<a href='./?m=info&type=cp&id=010011000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,360,104,77.59%,22.41%,6.31%,8.43%,18.97%,23.92%,57.11%,-,27.59,8.69%
52,58,12,<a href='./?m=info&type=cp&id=040041000' target='_blank'>点击查看详情</a>,1,40,<a href='./?m=info&type=chara&id=40' target='_blank'>秋静叶</a>,41,<a href='./?m=info&type=chara&id=41' target='_blank'>秋穰子</a>,0,-,53,5,91.38%,8.62%,0.93%,0.41%,8.62%,6.9%,84.48%,-,20.69,1.09%
53,75,17,<a href='./?m=info&type=cp&id=008010000' target='_blank'>点击查看详情</a>,1,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,51,24,68%,32%,0.89%,1.95%,8%,29.33%,62.67%,-,22.67,1.4%
54,162,55,<a href='./?m=info&type=cp&id=001002015' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,135,27,83.33%,16.67%,2.37%,2.19%,10.49%,27.16%,54.94%,7.41%,33.95,3.03%
55,68,33,<a href='./?m=info&type=cp&id=054057077' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,58,10,85.29%,14.71%,1.02%,0.81%,1.47%,61.76%,36.76%,0%,48.53,1.27%
56,3,1,<a href='./?m=info&type=cp&id=036042000' target='_blank'>点击查看详情</a>,1,36,<a href='./?m=info&type=chara&id=36' target='_blank'>梅蒂欣·梅兰可莉</a>,42,<a href='./?m=info&type=chara&id=42' target='_blank'>键山雏</a>,0,-,2,1,66.67%,33.33%,0.04%,0.08%,33.33%,0%,66.67%,-,33.33,0.06%
57,7,2,<a href='./?m=info&type=cp&id=063064000' target='_blank'>点击查看详情</a>,1,63,<a href='./?m=info&type=chara&id=63' target='_blank'>寅丸星</a>,64,<a href='./?m=info&type=chara&id=64' target='_blank'>圣白莲</a>,0,-,1,6,14.29%,85.71%,0.02%,0.49%,28.57%,14.29%,57.14%,-,28.57,0.13%
58,8,3,<a href='./?m=info&type=cp&id=015015000' target='_blank'>点击查看详情</a>,1,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,8,0,100%,0%,0.14%,0%,0%,0%,100%,-,37.5,0.15%
59,53,6,<a href='./?m=info&type=cp&id=011057065' target='_blank'>点击查看详情</a>,1,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,41,12,77.36%,22.64%,0.72%,0.97%,0%,7.55%,92.45%,0%,11.32,0.99%
60,77,18,<a href='./?m=info&type=cp&id=001010000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,61,16,79.22%,20.78%,1.07%,1.3%,25.97%,25.97%,48.05%,-,23.38,1.44%
61,324,80,<a href='./?m=info&type=cp&id=020021000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,0,-,278,46,85.8%,14.2%,4.87%,3.73%,4.01%,56.17%,39.81%,-,24.69,6.07%
62,31,4,<a href='./?m=info&type=cp&id=037049000' target='_blank'>点击查看详情</a>,1,37,<a href='./?m=info&type=chara&id=37' target='_blank'>风见幽香</a>,49,<a href='./?m=info&type=chara&id=49' target='_blank'>比那名居天子</a>,0,-,28,3,90.32%,9.68%,0.49%,0.24%,61.29%,12.9%,25.81%,-,12.9,0.58%
63,111,32,<a href='./?m=info&type=cp&id=010054000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,0,-,92,19,82.88%,17.12%,1.61%,1.54%,21.62%,20.72%,57.66%,-,28.83,2.08%
64,128,27,<a href='./?m=info&type=cp&id=039054000' target='_blank'>点击查看详情</a>,1,39,<a href='./?m=info&type=chara&id=39' target='_blank'>四季映姬·亚玛萨那度</a>,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,0,-,106,22,82.81%,17.19%,1.86%,1.78%,23.44%,20.31%,56.25%,-,21.09,2.4%
65,10,2,<a href='./?m=info&type=cp&id=054077000' target='_blank'>点击查看详情</a>,1,54,<a href='./?m=info&type=chara&id=54' target='_blank'>古明地觉</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,0,-,9,1,90%,10%,0.16%,0.08%,60%,0%,40%,-,20,0.19%
66,7,1,<a href='./?m=info&type=cp&id=023032046' target='_blank'>点击查看详情</a>,1,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,32,<a href='./?m=info&type=chara&id=32' target='_blank'>八意永琳</a>,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,7,0,100%,0%,0.12%,0%,0%,0%,85.71%,14.29%,14.29,0.13%
67,189,28,<a href='./?m=info&type=cp&id=136146000' target='_blank'>点击查看详情</a>,1,136,<a href='./?m=info&type=chara&id=136' target='_blank'>稗田阿求</a>,146,<a href='./?m=info&type=chara&id=146' target='_blank'>本居小铃</a>,0,-,151,38,79.89%,20.11%,2.65%,3.08%,13.76%,11.64%,74.6%,-,14.81,3.54%
68,6,1,<a href='./?m=info&type=cp&id=001009000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,3,3,50%,50%,0.05%,0.24%,0%,33.33%,66.67%,-,16.67,0.11%
69,2,1,<a href='./?m=info&type=cp&id=009031000' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,0,-,2,0,100%,0%,0.04%,0%,50%,0%,50%,-,50,0.04%
70,25,7,<a href='./?m=info&type=cp&id=009020000' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,0,-,22,3,88%,12%,0.39%,0.24%,40%,12%,48%,-,28,0.47%
71,492,121,<a href='./?m=info&type=cp&id=006009000' target='_blank'>点击查看详情</a>,1,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,374,118,76.02%,23.98%,6.55%,9.57%,36.79%,15.85%,47.36%,-,24.59,9.21%
72,207,57,<a href='./?m=info&type=cp&id=008015000' target='_blank'>点击查看详情</a>,1,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,0,-,170,37,82.13%,17.87%,2.98%,3%,12.08%,16.43%,71.5%,-,27.54,3.88%
73,1,1,<a href='./?m=info&type=cp&id=005009011' target='_blank'>点击查看详情</a>,1,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,1,0,100%,0%,0.02%,0%,100%,0%,0%,0%,100,0.02%
74,2,1,<a href='./?m=info&type=cp&id=021023029' target='_blank'>点击查看详情</a>,1,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,2,0,100%,0%,0.04%,0%,0%,100%,0%,0%,50,0.04%
75,3,2,<a href='./?m=info&type=cp&id=020031099' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,1,2,33.33%,66.67%,0.02%,0.16%,0%,0%,66.67%,33.33%,66.67,0.06%
