round,source_category,source_name,label,count,conditional_n,conditional_rate,overall_n,overall_rate,difference_percentage_points,lift
20,character,ヘカーティア・ラピスラズリ,秋霜玉～紅魔郷（2002年8月）,4,781,0.005121638924455826,15783,0.008236710384591015,-0.3115071460135189,0.6218063626514331
20,character,ヘカーティア・ラピスラズリ,紅魔郷～妖々夢（2003年8月）,14,781,0.01792573623559539,15783,0.020211620097573338,-0.22858838619779465,0.8869024921830786
20,character,ヘカーティア・ラピスラズリ,妖々夢～永夜抄（2004年8月）,5,781,0.006402048655569782,15783,0.01089780143192042,-0.4495752776350638,0.5874624065747551
20,character,ヘカーティア・ラピスラズリ,永夜抄～萃夢想（2004年12月）,7,781,0.008962868117797696,15783,0.01007413039346132,-0.1111262275663624,0.889691493730824
20,character,ヘカーティア・ラピスラズリ,萃夢想～花映塚（2005年8月）,4,781,0.005121638924455826,15783,0.004181714502946208,0.0939924421509618,1.2247701082528228
20,character,ヘカーティア・ラピスラズリ,花映塚～文花帖（2005年12月）,2,781,0.002560819462227913,15783,0.0045618703668504085,-0.20010509046224956,0.5613529662825437
20,character,ヘカーティア・ラピスラズリ,文花帖～求聞史紀（2006年12月）,6,781,0.0076824583866837385,15783,0.006652727618323513,0.10297307683602257,1.15478324492409
20,character,ヘカーティア・ラピスラズリ,求聞史紀～風神録（2007年8月）,10,781,0.012804097311139564,15783,0.018184122156750936,-0.5380024845611372,0.7041361249537134
20,character,ヘカーティア・ラピスラズリ,風神録～地霊殿（2008年8月）,24,781,0.030729833546734954,15783,0.04093011468035228,-1.0200281133617324,0.7507878682169006
20,character,ヘカーティア・ラピスラズリ,地霊殿～星蓮船（2009年8月）,27,781,0.034571062740076826,15783,0.032123170499904964,0.24478922401718617,1.076203319973634
20,character,ヘカーティア・ラピスラズリ,星蓮船～妖精大戦争（2010年8月）,27,781,0.034571062740076826,15783,0.02578723943483495,0.8783823305241877,1.3406267401145762
20,character,ヘカーティア・ラピスラズリ,妖精大戦争～神霊廟（2011年8月）,24,781,0.030729833546734954,15783,0.028131533928910855,0.2598299617824099,1.0923625289822472
20,character,ヘカーティア・ラピスラズリ,神霊廟～求聞口授（2012年4月）,31,781,0.03969270166453265,15783,0.03649496293480327,0.31977387297293797,1.0876213721724284
20,character,ヘカーティア・ラピスラズリ,求聞口授～輝針城（2013年8月）,30,781,0.03841229193341869,15783,0.03972628777798898,-0.1313995844570287,0.966923769673281
20,character,ヘカーティア・ラピスラズリ,輝針城～アマノジャク（2014年5月）,55,781,0.07042253521126761,15783,0.056136349236520305,1.4286185974747303,1.2544908275840143
20,character,ヘカーティア・ラピスラズリ,アマノジャク～紺珠伝（2015年8月）,71,781,0.09090909090909091,15783,0.06183868719508332,2.907040371400759,1.4701005961251863
20,character,ヘカーティア・ラピスラズリ,紺珠伝～旧約酒場（2016年8月）,70,781,0.08962868117797695,15783,0.06944180447316733,2.018687670480962,1.2907020757591334
20,character,ヘカーティア・ラピスラズリ,旧約酒場～天空璋（2017年8月）,52,781,0.06658130601792574,15783,0.06595704238737883,0.062426363054690626,1.0094647001737962
20,character,ヘカーティア・ラピスラズリ,天空璋～ナイトメアダイアリー（2018年8月）,63,781,0.08066581306017925,15783,0.07780523347905975,0.2860579581119502,1.0367659018964244
20,character,ヘカーティア・ラピスラズリ,ナイトメアダイアリー〜鬼形獣（2019年8月）,72,781,0.09218950064020487,15783,0.09858708737248939,-0.6397586732284521,0.9351072548871165
20,character,ヘカーティア・ラピスラズリ,鬼形獣～虹龍洞（2021年5月）,90,781,0.11523687580025609,15783,0.13451181651143634,-1.9274940711180257,0.8567044798659642
20,character,ヘカーティア・ラピスラズリ,虹龍洞～バレットフィリア（2022年8月）,49,781,0.06274007682458387,15783,0.07096242792878414,-0.8222351104200276,0.8841309218950063
20,character,ヘカーティア・ラピスラズリ,バレットフィリア〜獣王園（2023年8月）,24,781,0.030729833546734954,15783,0.038965976050180574,-0.823614250344562,0.788632459948159
20,character,ヘカーティア・ラピスラズリ,獣王園〜現在,18,781,0.023047375160051217,15783,0.03579801051764557,-1.2750635357594353,0.643817207347059
20,character,摩多羅隠岐奈,旧作～秋霜玉（2000年12月）,2,839,0.0023837902264600714,15783,0.0038015586390420073,-0.1417768412581936,0.6270560190703218
20,character,摩多羅隠岐奈,秋霜玉～紅魔郷（2002年8月）,3,839,0.003575685339690107,15783,0.008236710384591015,-0.4661025044900908,0.4341157055102228
20,character,摩多羅隠岐奈,紅魔郷～妖々夢（2003年8月）,7,839,0.00834326579261025,15783,0.020211620097573338,-1.1868354304963087,0.4127954984475473
20,character,摩多羅隠岐奈,妖々夢～永夜抄（2004年8月）,6,839,0.007151370679380214,15783,0.01089780143192042,-0.3746430752540206,0.6562214153061507
20,character,摩多羅隠岐奈,永夜抄～萃夢想（2004年12月）,6,839,0.007151370679380214,15783,0.01007413039346132,-0.29227597140811057,0.7098747385701756
20,character,摩多羅隠岐奈,萃夢想～花映塚（2005年8月）,4,839,0.004767580452920143,15783,0.004181714502946208,0.05858659499739351,1.1401018528551305
20,character,摩多羅隠岐奈,花映塚～文花帖（2005年12月）,2,839,0.0023837902264600714,15783,0.0045618703668504085,-0.21780801403903371,0.5225466825586015
20,character,摩多羅隠岐奈,文花帖～求聞史紀（2006年12月）,11,839,0.013110846245530394,15783,0.006652727618323513,0.645811862720688,1.9707474885067258
20,character,摩多羅隠岐奈,求聞史紀～風神録（2007年8月）,12,839,0.014302741358760428,15783,0.018184122156750936,-0.38813807979905074,0.7865511040603339
20,character,摩多羅隠岐奈,風神録～地霊殿（2008年8月）,21,839,0.025029797377830752,15783,0.04093011468035228,-1.5900317302521525,0.611525219836382
20,character,摩多羅隠岐奈,地霊殿～星蓮船（2009年8月）,36,839,0.04290822407628129,15783,0.032123170499904964,1.0785053576376324,1.335740632339147
20,character,摩多羅隠岐奈,星蓮船～妖精大戦争（2010年8月）,24,839,0.028605482717520857,15783,0.02578723943483495,0.2818243282685907,1.1092882892644513
20,character,摩多羅隠岐奈,妖精大戦争～神霊廟（2011年8月）,29,839,0.03456495828367104,15783,0.028131533928910855,0.6433424354760183,1.2286908481783332
20,character,摩多羅隠岐奈,神霊廟～求聞口授（2012年4月）,31,839,0.03694874851013111,15783,0.03649496293480327,0.045378557532783914,1.0124341974572904
20,character,摩多羅隠岐奈,求聞口授～輝針城（2013年8月）,38,839,0.04529201430274136,15783,0.03972628777798898,0.556572652475238,1.1401018528551305
20,character,摩多羅隠岐奈,輝針城～アマノジャク（2014年5月）,49,839,0.058402860548271755,15783,0.056136349236520305,0.226651131175145,1.040375110647148
20,character,摩多羅隠岐奈,アマノジャク～紺珠伝（2015年8月）,48,839,0.057210965435041714,15783,0.06183868719508332,-0.46277217600416076,0.9251646183004747
20,character,摩多羅隠岐奈,紺珠伝～旧約酒場（2016年8月）,62,839,0.07389749702026222,15783,0.06944180447316733,0.44556925470948805,1.064164411925911
20,character,摩多羅隠岐奈,旧約酒場～天空璋（2017年8月）,68,839,0.08104886769964244,15783,0.06595704238737883,1.5091825312263607,1.22881294803406
20,character,摩多羅隠岐奈,天空璋～ナイトメアダイアリー（2018年8月）,79,839,0.09415971394517282,15783,0.07780523347905975,1.635448046611307,1.2101976915282269
20,character,摩多羅隠岐奈,ナイトメアダイアリー〜鬼形獣（2019年8月）,77,839,0.09177592371871275,15783,0.09858708737248939,-0.681116365377664,0.9309122134013131
20,character,摩多羅隠岐奈,鬼形獣～虹龍洞（2021年5月）,104,839,0.12395709177592372,15783,0.13451181651143634,-1.0554724735512624,0.9215331038621781
20,character,摩多羅隠岐奈,虹龍洞～バレットフィリア（2022年8月）,61,839,0.07270560190703218,15783,0.07096242792878414,0.17431739782480388,1.0245647454452578
20,character,摩多羅隠岐奈,バレットフィリア〜獣王園（2023年8月）,31,839,0.03694874851013111,15783,0.038965976050180574,-0.20172275400494669,0.9482310532282915
20,character,摩多羅隠岐奈,獣王園〜現在,28,839,0.033373063170441,15783,0.03579801051764557,-0.24249473472045674,0.9322602761399474
20,music,メイガスナイト,旧作～秋霜玉（2000年12月）,2,603,0.003316749585406302,15783,0.0038015586390420073,-0.04848090536357054,0.8724709784411278
