round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
5,2,13,5,对于正版中文版的官方书籍你能接受什么价位（如若将来存在）,0,2,单本50RMB以内,3523,2909,612,3521,44.59,45.17,42.03,7901,6440,1456,5
5,2,13,5,对于正版中文版的官方书籍你能接受什么价位（如若将来存在）,0,3,单本100RMB以内,2077,1674,402,2076,26.29,25.99,27.61,7901,6440,1456,5
5,2,13,5,对于正版中文版的官方书籍你能接受什么价位（如若将来存在）,0,4,没有限制,1472,1182,289,1471,18.63,18.35,19.85,7901,6440,1456,5
5,2,14,6,是否会购买最新的官方杂志 东方外来韦编,0,0,已经购买,646,499,146,645,8.11,7.69,9.88,7970,6487,1478,5
5,2,14,6,是否会购买最新的官方杂志 东方外来韦编,0,1,考虑购买,5243,4257,982,5239,65.78,65.62,66.44,7970,6487,1478,5
5,2,14,6,是否会购买最新的官方杂志 东方外来韦编,0,2,不会购买,1215,974,241,1215,15.24,15.01,16.31,7970,6487,1478,5
5,2,14,6,是否会购买最新的官方杂志 东方外来韦编,0,3,不知道是什么,866,757,109,866,10.87,11.67,7.37,7970,6487,1478,5
5,3,0,0,对二次同人是否有兴趣,0,0,非常热衷,4660,3711,947,4658,58.46,57.17,64.12,7971,6491,1477,3
5,3,0,0,对二次同人是否有兴趣,0,1,有些兴趣,3213,2700,512,3212,40.31,41.6,34.66,7971,6491,1477,3
5,3,0,0,对二次同人是否有兴趣,0,2,完全不感兴趣,98,80,18,98,1.23,1.23,1.22,7971,6491,1477,3
5,3,1,1,在二次同人中您最关注,1,0,音乐,6378,5185,1190,6375,81.05,80.91,81.62,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,1,漫画,5180,4094,1083,5177,65.83,63.89,74.28,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,2,游戏,4547,3828,718,4546,57.78,59.74,49.25,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,3,绘画,4391,3321,1068,4389,55.8,51.83,73.25,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,4,视频,4850,3965,884,4849,61.63,61.88,60.63,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,5,小说,2578,2032,546,2578,32.76,31.71,37.45,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,6,实物,2015,1530,483,2013,25.61,23.88,33.13,7869,6408,1458,3
5,3,1,1,在二次同人中您最关注,1,7,其他,964,740,222,962,12.25,11.55,15.23,7869,6408,1458,3
