"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","location","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_9996937304_f4_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","4","哀苼Jj🌿","2025-08-30","新疆","博丽灵梦","回复 贴吧用户_JPy6y7t244 :","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f4_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","4","柏崎栞","2025-08-31","广东","博丽灵梦","欸你怎么丝了？.jpg","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f4_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","4","hakre","2025-08-31","江苏","博丽灵梦","灵梦","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f5_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","5","rank_heading","","博丽妖梦","2025-08-30","江西","芙兰朵露·斯卡雷特","第四名：芙兰朵露·斯卡雷特","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f5_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","5","柏崎栞","2025-08-31","广东","芙兰朵露·斯卡雷特","跟恋同理","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f5_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","5","贴吧用户_aRAUb1G","2025-08-31","浙江","芙兰朵露·斯卡雷特","本来以为今年还是第一二是主角组，芙兰和恋恋争第三，没想到直接被恋薄纱，不过也可以了，投票机制改革也还能进前五，相信以后还是能稳前五争前三的","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f6_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","6","rank_heading","","博丽妖梦","2025-08-30","江西","十六夜咲夜","第五名：十六夜咲夜","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f6_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","6","AlanJesse","2025-08-30","北京","十六夜咲夜","上下夹击","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f6_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","6","柏崎栞","2025-08-31","广东","十六夜咲夜","被姐妹俩两面包夹芝士了","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f6_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","6","amasaki 奈","2025-08-31","上海","十六夜咲夜","最羡慕咲夜的一集","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
