"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_5517613326_f37_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","37","辰是那么美","2018-01-16","","这次似乎除了恋恋都是姐姐比妹妹高。。。","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f37_reply2","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","37","津岛柚月🌟🌙😈","2018-01-16","","回复 辰是那么美 :至少也没有差距那么大吧","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f38_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","38","main_reply","","无人了知","2018-01-16","","静叶遥遥领先妹妹","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f39_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","39","main_reply","","i秋日之私语","2018-01-16","","恋世一！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f40_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","40","main_reply","","Cansin✨","2018-01-16","","恋恋！正邪酱！啊啊啊 不过希望鵺酱不要再跌了","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f42_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","42","main_reply","","风见幽香","2018-01-16","","希望紫不要滑出10~","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f43_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","43","main_reply","","啊看似有点高","2018-01-16","","今年晒票好像比去年少了好多，还有这个晒票数灵梦9成9还是第一，反而恋恋有可能被妖梦超了","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f50_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","50","main_reply","","退休学园长◆","2018-01-16","","恋恋世界第一！幽香大人加油啊！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f51_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","51","main_reply","","莱茵选帝侯◎","2018-01-16","","快，易者第几？","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f52_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","52","main_reply","","大侦探猴耳磨丝","2018-01-16","","师匠，神妈...没事我永远喜欢你们","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
