character_jp,character_jp_normalized,character_cn,first_appearance_work_id,source_path,source_sheet
月の都の門番,月の都の門番,月之都的门卫,,fun.xlsx,Sheet1
仙台四郎（福の神）,仙台四郎（福の神）,仙台四郎（福神）,,fun.xlsx,Sheet1
運松,運松,运松翁,,fun.xlsx,Sheet1
毘沙門天,毘沙門天,毘沙门天,,fun.xlsx,Sheet1
ヤマネ,ヤマネ,睡鼠,,fun.xlsx,Sheet1
ウワバミ,ウワバミ,蟒蛇,,fun.xlsx,Sheet1
狸（化け狸、野鉄砲他）,狸（化け狸、野鉄砲他）,狸（妖怪狸、野铁炮等）,,fun.xlsx,Sheet1
煙々羅,煙々羅,烟烟罗,,fun.xlsx,Sheet1
塩屋敷の旦那,塩屋敷の旦那,盐家老板,,fun.xlsx,Sheet1
沓頬,沓頬,沓颊,,fun.xlsx,Sheet1
