alias_cn,canonical_cn,alias_type,source_character_cn_thb,source_character_jp,source_url,mapping_status,confidence,use_scope
女儿怪,神绮,thbwiki_community_nickname_candidate,神绮,神綺,https://thbwiki.cc/神绮,search_only_not_poll_normalized,low,search_vocabulary_only
姆Q,帕秋莉·诺蕾姬,thbwiki_community_nickname_candidate,帕秋莉·诺蕾姬,パチュリー・ノーレッジ,https://thbwiki.cc/帕秋莉·诺蕾姬,search_only_not_poll_normalized,low,search_vocabulary_only
姬海棠极,姬海棠果,thbwiki_community_nickname_candidate,姬海棠果,姫海棠 はたて,https://thbwiki.cc/姬海棠果,search_only_not_poll_normalized,low,search_vocabulary_only
姬海棠果,姬海棠果,thbwiki_cn_reference_name,姬海棠果,姫海棠 はたて,https://thbwiki.cc/姬海棠果,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
姬海棠羽立,姬海棠果,thbwiki_community_nickname_candidate,姬海棠果,姫海棠 はたて,https://thbwiki.cc/姬海棠果,search_only_not_poll_normalized,low,search_vocabulary_only
姬虫百百世,姬虫百百世,thbwiki_cn_reference_name,姬虫百百世,姫虫 百々世,https://thbwiki.cc/姬虫百百世,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
威严,蕾米莉亚·斯卡蕾特,thbwiki_community_nickname_candidate,蕾米莉亚·斯卡蕾特,レミリア・スカーレット,https://thbwiki.cc/蕾米莉亚·斯卡蕾特,search_only_not_poll_normalized,low,search_vocabulary_only
娘娘,霍青娥,thbwiki_community_nickname_candidate,霍青娥,霍 青娥,https://thbwiki.cc/霍青娥,search_only_not_poll_normalized,low,search_vocabulary_only
娜兹玲,娜兹玲,thbwiki_cn_reference_name,娜兹玲,ナズーリン,https://thbwiki.cc/娜兹玲,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
嫦娥,嫦娥,thbwiki_cn_reference_name,嫦娥,嫦娥,https://thbwiki.cc/嫦娥,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
孙美天,孙美天,thbwiki_cn_reference_name,孙美天,孫 美天,https://thbwiki.cc/孙美天,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
宇佐见堇子,宇佐见堇子,thbwiki_cn_reference_name,宇佐见堇子,宇佐見 菫子,https://thbwiki.cc/宇佐见堇子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
宇佐见莲子,宇佐见莲子,thbwiki_cn_reference_name,宇佐见莲子,宇佐見 蓮子,https://thbwiki.cc/宇佐见莲子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
宫出口瑞灵,宫出口瑞灵,thbwiki_cn_reference_name,宫出口瑞灵,宮出口 瑞霊,https://thbwiki.cc/宫出口瑞灵,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
宫古芳香,宫古芳香,thbwiki_cn_reference_name,宫古芳香,宮古 芳香,https://thbwiki.cc/宫古芳香,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
寅丸星,寅丸星,thbwiki_cn_reference_name,寅丸星,寅丸 星,https://thbwiki.cc/寅丸星,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
封兽鵺,封兽鵺,thbwiki_cn_reference_name,封兽鵺,封獣 ぬえ,https://thbwiki.cc/封兽鵺,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
射命丸文,射命丸文,thbwiki_cn_reference_name,射命丸文,射命丸 文,https://thbwiki.cc/射命丸文,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
小五,古明地觉,thbwiki_community_nickname_candidate,古明地觉,古明地 さとり,https://thbwiki.cc/古明地觉,search_only_not_poll_normalized,low,search_vocabulary_only
小兔姬,小兔姬,thbwiki_cn_reference_name,小兔姬,小兎姫,https://thbwiki.cc/小兔姬,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
小号手,梅露兰·普莉兹姆利巴,thbwiki_community_nickname_candidate,梅露兰·普莉兹姆利巴,メルラン・プリズムリバー,https://thbwiki.cc/梅露兰·普莉兹姆利巴,search_only_not_poll_normalized,low,search_vocabulary_only
小妖精,克劳恩皮丝,thbwiki_community_nickname_candidate,克劳恩皮丝,クラウンピース,https://thbwiki.cc/克劳恩皮丝,search_only_not_poll_normalized,low,search_vocabulary_only
小恶魔,小恶魔,thbwiki_cn_reference_name,小恶魔,小悪魔,https://thbwiki.cc/小恶魔,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
小桶,琪斯美,thbwiki_community_nickname_candidate,琪斯美,キスメ,https://thbwiki.cc/琪斯美,search_only_not_poll_normalized,low,search_vocabulary_only
小爱,爱丽丝·玛格特洛依德,thbwiki_community_nickname_candidate,爱丽丝·玛格特洛依德,アリス・マーガトロイド,https://thbwiki.cc/爱丽丝·玛格特洛依德,search_only_not_poll_normalized,low,search_vocabulary_only
小石头,古明地恋,thbwiki_community_nickname_candidate,古明地恋,古明地 こいし,https://thbwiki.cc/古明地恋,search_only_not_poll_normalized,low,search_vocabulary_only
小碎骨,米斯蒂娅·萝蕾拉,thbwiki_community_nickname_candidate,米斯蒂娅·萝蕾拉,ミスティア・ローレライ,https://thbwiki.cc/米斯蒂娅·萝蕾拉,search_only_not_poll_normalized,low,search_vocabulary_only
小碗,少名针妙丸,thbwiki_community_nickname_candidate,少名针妙丸,少名 針妙丸,https://thbwiki.cc/少名针妙丸,search_only_not_poll_normalized,low,search_vocabulary_only
小老帝,因幡天为（因幡帝）,thbwiki_community_nickname_candidate,因幡天为,因幡 てゐ,https://thbwiki.cc/因幡天为,search_only_not_poll_normalized,low,search_vocabulary_only
小野塚小町,小野塚小町,thbwiki_cn_reference_name,小野塚小町,小野塚 小町,https://thbwiki.cc/小野塚小町,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
少名针妙丸,少名针妙丸,thbwiki_cn_reference_name,少名针妙丸,少名 針妙丸,https://thbwiki.cc/少名针妙丸,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
尔子田里乃,尔子田里乃,thbwiki_cn_reference_name,尔子田里乃,爾子田 里乃,https://thbwiki.cc/尔子田里乃,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
尬舞姐妹,丁礼田舞,thbwiki_community_nickname_candidate,丁礼田舞,丁礼田 舞,https://thbwiki.cc/丁礼田舞,ambiguous_source_characters,low,manual_review_only
尬舞姐妹,尔子田里乃,thbwiki_community_nickname_candidate,尔子田里乃,爾子田 里乃,https://thbwiki.cc/尔子田里乃,ambiguous_source_characters,low,manual_review_only
山城高岭,山城高岭,thbwiki_cn_reference_name,山城高岭,山城 たかね,https://thbwiki.cc/山城高岭,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
山童,山城高岭,thbwiki_community_nickname_candidate,山城高岭,山城 たかね,https://thbwiki.cc/山城高岭,search_only_not_poll_normalized,low,search_vocabulary_only
布嘟嘟,物部布都,thbwiki_community_nickname_candidate,物部布都,物部 布都,https://thbwiki.cc/物部布都,search_only_not_poll_normalized,low,search_vocabulary_only
师匠,八意永琳,thbwiki_community_nickname_candidate,八意永琳,八意 永琳,https://thbwiki.cc/八意永琳,search_only_not_poll_normalized,low,search_vocabulary_only
帕琪,帕秋莉·诺蕾姬,thbwiki_community_nickname_candidate,帕秋莉·诺蕾姬,パチュリー・ノーレッジ,https://thbwiki.cc/帕秋莉·诺蕾姬,search_only_not_poll_normalized,low,search_vocabulary_only
帕秋莉·诺蕾姬,帕秋莉·诺蕾姬,thbwiki_cn_reference_name,帕秋莉·诺蕾姬,パチュリー・ノーレッジ,https://thbwiki.cc/帕秋莉·诺蕾姬,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
帝帝,因幡天为（因幡帝）,thbwiki_community_nickname_candidate,因幡天为,因幡 てゐ,https://thbwiki.cc/因幡天为,search_only_not_poll_normalized,low,search_vocabulary_only
幻月,幻月,thbwiki_cn_reference_name,幻月,幻月,https://thbwiki.cc/幻月,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
幽幻魔眼,幽幻魔眼,thbwiki_cn_reference_name,幽幻魔眼,ゆうげんまがん,https://thbwiki.cc/幽幻魔眼,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
幽谷响子,幽谷响子,thbwiki_cn_reference_name,幽谷响子,幽谷 響子,https://thbwiki.cc/幽谷响子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
广藿香,帕秋莉·诺蕾姬,thbwiki_community_nickname_candidate,帕秋莉·诺蕾姬,パチュリー・ノーレッジ,https://thbwiki.cc/帕秋莉·诺蕾姬,search_only_not_poll_normalized,low,search_vocabulary_only
广西大妈,埴安神袿姬,thbwiki_community_nickname_candidate,埴安神袿姬,埴安神 袿姫,https://thbwiki.cc/埴安神袿姬,search_only_not_poll_normalized,low,search_vocabulary_only
庭师,魂魄妖梦,thbwiki_community_nickname_candidate,魂魄妖梦,魂魄 妖夢,https://thbwiki.cc/魂魄妖梦,search_only_not_poll_normalized,low,search_vocabulary_only
庭渡久侘歌,庭渡久侘歌,thbwiki_cn_reference_name,庭渡久侘歌,庭渡 久侘歌,https://thbwiki.cc/庭渡久侘歌,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
心心,秦心,thbwiki_community_nickname_candidate,秦心,秦 こころ,https://thbwiki.cc/秦心,search_only_not_poll_normalized,low,search_vocabulary_only
心酱,秦心,thbwiki_community_nickname_candidate,秦心,秦 こころ,https://thbwiki.cc/秦心,search_only_not_poll_normalized,low,search_vocabulary_only
恋恋,古明地恋,thbwiki_community_nickname_candidate,古明地恋,古明地 こいし,https://thbwiki.cc/古明地恋,search_only_not_poll_normalized,low,search_vocabulary_only
恋爱魔女,爱莲,thbwiki_community_nickname_candidate,爱莲,エレン,https://thbwiki.cc/爱莲,search_only_not_poll_normalized,low,search_vocabulary_only
