character_cn,character_jp,round21_rank,first_appearance,official_identity,official_ability,canon_meme_material,derivative_misread_risk,thbwiki_url,access_status,verification_date,source_note,verification_status,research_scope
赫卡提亚·拉碧斯拉祖利,ヘカーティア・ラピスラズリ,33,东方绀珠传,地狱的女神,,,,https://thbwiki.cc/赫卡提亚·拉碧斯拉祖利,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
依神紫苑,依神紫苑,34,东方凭依华,最凶最恶的双子之姐,,,,https://thbwiki.cc/依神紫苑,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
鬼人正邪,鬼人 正邪,35,东方辉针城,逆袭的天邪鬼,,,,https://thbwiki.cc/鬼人正邪,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
丰聪耳神子,豊聡耳 神子,36,东方神灵庙,圣德道士,,,,https://thbwiki.cc/丰聪耳神子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
水桥帕露西,水橋 パルスィ,37,东方地灵殿,地壳下的嫉妒心,,,,https://thbwiki.cc/水桥帕露西,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
宇佐见莲子,宇佐見 蓮子,38,秘封俱乐部/CD与书籍,秘封俱乐部成员；通过星与时间辨识现实,,,秘封组关系二创很强，恋爱/搭档叙事不能代替官方文本,https://thbwiki.cc/宇佐见莲子,alternate_site_verified,2026-08-23,备用站角色页,verified,included
键山雏,鍵山 雛,39,东方风神录,秘神流雏,,,,https://thbwiki.cc/键山雏,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
物部布都,物部 布都,40,东方神灵庙,古代日本的尸解仙,,,,https://thbwiki.cc/物部布都,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
稀神探女,稀神 サグメ,41,东方绀珠传,招来口舌之祸的女神,,,,https://thbwiki.cc/稀神探女,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
饭纲丸龙,飯綱丸 龍,42,东方虹龙洞,大天狗与新闻/组织角色；虹龙洞五面Boss,,,报纸、社长、暴走与LNN等二创会选择性放大一设符号,https://thbwiki.cc/饭纲丸龙,alternate_site_verified,2026-08-23,备用站角色页,verified,included
摩多罗隐岐奈,摩多羅隠岐奈,43,东方天空璋,究极的绝对秘神,,,,https://thbwiki.cc/摩多罗隐岐奈,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
河城荷取,河城 にとり,44,东方风神录,擅长买卖且守财如命的河童,,,,https://thbwiki.cc/河城荷取,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
茨木华扇,茨木 華扇,45,东方茨歌仙,独臂有角的仙人,,,,https://thbwiki.cc/茨木华扇,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
火焰猫燐,火焔猫 燐,46,东方地灵殿,地狱的车祸,,,,https://thbwiki.cc/火焰猫燐,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
米斯蒂娅·萝蕾拉,ミスティア・ローレライ,47,东方永夜抄,歌唱的夜雀,,,,https://thbwiki.cc/米斯蒂娅·萝蕾拉,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
饕餮尤魔,饕餮 尤魔,48,东方刚欲异闻,刚欲同盟盟主,,,,https://thbwiki.cc/饕餮尤魔,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
魅魔,魅魔,49,东方灵异传/封魔录/梦时空/怪绮谈,旧作恶灵小姐与魔界相关角色；官方出场集中在旧作,,,回归梗、恶灵与Reincarnation等符号容易被二创再人格化,https://thbwiki.cc/魅魔,alternate_site_verified,2026-08-23,备用站页面出场表与角色资料,verified,included
圣白莲,聖 白蓮,50,东方星莲船,妖怪寺的魔住持,,,,https://thbwiki.cc/圣白莲,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
橙,橙,51,东方妖妖梦,凶兆之黑猫,,,,https://thbwiki.cc/橙,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
上白泽慧音,上白沢 慧音,52,东方永夜抄,吞噬历史的半兽,,,,https://thbwiki.cc/上白泽慧音,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
大妖精,大妖精,53,东方红魔乡,妖精个体/种族称呼；在雾中畅游程度的能力；单纯自由活泼且喜欢恶作剧,,,名字、发色、与琪露诺关系和“武勇录”形象大量由二创补全；不能把个体称呼当固定姓名,https://thbwiki.cc/大妖精,alternate_site_verified,2026-08-23,备用站角色页与ZUN问答整理,verified,included
封兽鵺,封獣 ぬえ,54,东方星莲船,未确认幻想飞行少女,,,,https://thbwiki.cc/封兽鵺,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
玛艾露贝莉·赫恩,マエリベリー・ハーン,55,秘封俱乐部/CD与书籍,看见境界的能力；与莲子共同构成秘封俱乐部,,,梅莉与紫的身份联系是长期考据与二创母题，不能写成已证实官方身份,https://thbwiki.cc/玛艾露贝莉·赫恩,alternate_site_verified,2026-08-23,备用站角色页,verified,included
天弓千亦,天弓 千亦,56,东方虹龙洞,无主物之神,,,,https://thbwiki.cc/天弓千亦,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
小恶魔,小悪魔,57,东方红魔乡,红魔馆雇佣的魔物；瞬间找出所需书籍程度的能力；姓名不详,,,常被二创固定为帕秋莉使魔、图书馆管理员或特定性格，官方只给有限信息,https://thbwiki.cc/小恶魔,alternate_site_verified,2026-08-23,备用站角色页与幻存神签资料,verified,included
娜兹玲,ナズーリン,58,东方星莲船,探宝的小小大将,,,,https://thbwiki.cc/娜兹玲,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
哆来咪·苏伊特,ドレミー・スイート,59,东方绀珠传,梦之支配者,,,,https://thbwiki.cc/哆来咪·苏伊特,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
道神驯子,道神 馴子,60,东方锦上京,圣地的道祖神,,,,https://thbwiki.cc/道神驯子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
神绮,神綺,61,东方怪绮谈,魔界之神；被资料称为创造整个魔界的存在,,,后续二创常把魔界创造神简化为母亲或日常喜剧角色,https://thbwiki.cc/神绮,alternate_site_verified,2026-08-23,备用站角色导语与出场表,verified,included
埴安神袿姬,埴安神 袿姫,62,东方鬼形兽,孤立无援造就的造形神,,,,https://thbwiki.cc/埴安神袿姬,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
莉格露·奈特巴格,リグル・ナイトバグ,63,东方永夜抄,暗中蠢动的光虫,,,,https://thbwiki.cc/莉格露·奈特巴格,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
因幡天为（因幡帝）,因幡 てゐ,64,东方永夜抄,幸运的白兔,,,,https://thbwiki.cc/因幡天为,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
赤蛮奇,赤蛮奇,65,东方辉针城,辘轳首的怪奇,,,,https://thbwiki.cc/赤蛮奇,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
菅牧典,菅牧 典,66,东方虹龙洞,耳边低语的邪恶白狐,,,,https://thbwiki.cc/菅牧典,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
村纱水蜜,村紗 水蜜,67,东方星莲船,水难事故的念缚灵,,,,https://thbwiki.cc/村纱水蜜,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
霍青娥,霍 青娥,68,东方神灵庙,穿墙邪仙,,,,https://thbwiki.cc/霍青娥,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
八坂神奈子,八坂 神奈子,69,东方风神录,山与湖的化身,,,,https://thbwiki.cc/八坂神奈子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
克劳恩皮丝,クラウンピース,70,东方绀珠传,地狱的妖精,,,,https://thbwiki.cc/克劳恩皮丝,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
莉莉霍瓦特（莉莉白）,リリーホワイト,71,东方妖妖梦,带来春天的妖精,,,,https://thbwiki.cc/莉莉霍瓦特,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
本居小铃,本居 小鈴,72,东方铃奈庵,识文解意的爱书人,,,,https://thbwiki.cc/本居小铃,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
绵月丰姬,綿月 豊姫,73,东方儚月抄,月之公主与月之使者首领；连接山海程度的能力；对月兔温和并私藏浦岛子,,,《恋恋的心跳大冒险》OOC、温和派一设与“颠佬”形象冲突；评论是社区归因，不作因果结论,https://thbwiki.cc/绵月丰姬,alternate_site_verified,2026-08-23,备用站页面含儚月抄/锦上京资料,verified,included
依神女苑,依神女苑,74,东方凭依华,最凶最恶的双子之妹,,,,https://thbwiki.cc/依神女苑,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
小野塚小町,小野塚 小町,75,东方花映塚,三途河的领航员,,,,https://thbwiki.cc/小野塚小町,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
永江衣玖,永江 衣玖,76,东方绯想天,美丽的绯之衣,,,,https://thbwiki.cc/永江衣玖,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
姬海棠果,姫海棠 はたて,77,东方文花帖DS,当代的念写记者,,,,https://thbwiki.cc/姬海棠果,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
