round,category,overall_status,summary_status,detail_status,item_api_status,questionnaire_status,crossvote_status,available,summary_pages_expected_or_discovered,summary_pages_downloaded,summary_pages_omitted_by_policy,local_source_status,local_source_evidence,local_source_workbooks,local_source_hashes,detail_ids_discovered,detail_pages_expected,detail_pages_downloaded,votedate_json,votesex_json,votegeo_json,votepaper_json,questionnaire_groups_expected,questionnaire_groups_downloaded,crossvote_default_available,crossvote_default_parameters,crossvote_expanded_available,crossvote_expanded_parameters,fetch_failure_count,fetch_failure_http_statuses,reason_pages_followed,notes
7,work,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],62,62,62,62,62,62,62,0,0,False,{},False,{},0,[],0,
7,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
7,cp,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],1222,1222,1222,1222,1222,1222,1222,0,0,False,{},False,{},0,[],0,
7,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
7,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,5,5,False,{},False,{},0,[],0,
8,chara,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,available_crawled,True,6,6,0,not_used,,[],[],227,227,227,227,227,227,227,0,0,True,"{""filter"": ""50"", ""rate"": ""5""}",True,"{""filter"": ""100"", ""rate"": ""1"", ""scope"": ""official_api_expanded_top100_lowest_accepted_rate_not_complete_matrix""}",0,[],0,
8,music,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,available_crawled,True,6,6,0,not_used,,[],[],569,569,569,569,569,569,569,0,0,True,"{""filter"": ""50"", ""rate"": ""5""}",True,"{""filter"": ""50"", ""rate"": ""1"", ""scope"": ""official_api_default_topn_lowest_accepted_rate_not_complete_matrix""}",1,[200],0,
8,work,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],64,64,64,64,64,64,64,0,0,False,{},False,{},0,[],0,
8,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
8,cp,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],1177,1177,1177,1177,1177,1177,1177,0,0,False,{},False,{},0,[],0,
8,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
8,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,5,5,False,{},False,{},0,[],0,
9,chara,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,available_crawled,True,5,5,0,not_used,,[],[],229,229,229,229,229,229,229,0,0,True,"{""filter"": ""50"", ""rate"": ""5""}",True,"{""filter"": ""100"", ""rate"": ""1"", ""scope"": ""official_api_expanded_top100_lowest_accepted_rate_not_complete_matrix""}",0,[],0,
9,music,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,available_crawled,True,5,5,0,not_used,,[],[],571,571,571,571,571,571,571,0,0,True,"{""filter"": ""30"", ""rate"": ""5""}",True,"{""filter"": ""30"", ""rate"": ""1"", ""scope"": ""official_api_default_topn_lowest_accepted_rate_not_complete_matrix""}",1,[200],0,
9,work,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],68,68,68,68,68,68,68,0,0,False,{},False,{},0,[],0,
9,work_characters,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,official_not_offered,False,0,0,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
9,cp,available_crawled,available_crawled,available_crawled,available_crawled,official_not_offered,official_not_offered,True,2,2,0,not_used,,[],[],1395,1395,1395,1395,1395,1395,1395,0,0,False,{},False,{},0,[],0,
9,game,available_crawled,available_crawled,official_not_offered,official_not_offered,official_not_offered,official_not_offered,True,3,3,0,not_used,,[],[],0,0,0,0,0,0,0,0,0,False,{},False,{},0,[],0,
9,paper,available_crawled,available_crawled,official_not_offered,official_not_offered,available_crawled,official_not_offered,True,1,1,0,not_used,,[],[],0,0,0,0,0,0,0,5,5,False,{},False,{},0,[],0,
