round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet
6,58,森近霖之助,210,22,0.1048,232,0.0282,0.0031,184,0.8762,26,0.1238,TouhouVote_cn.xlsx,6
6,58,冈崎梦美,210,19,0.0905,229,0.0282,0.0026,169,0.8048,41,0.1952,TouhouVote_cn.xlsx,6
6,60,堀川雷鼓,200,22,0.11,222,0.0269,0.0031,122,0.61,77,0.385,TouhouVote_cn.xlsx,6
6,61,河城荷取,193,15,0.0777,208,0.0259,0.0021,153,0.7927,40,0.2073,TouhouVote_cn.xlsx,6
6,62,赫卡提亚·拉碧斯拉祖利,183,9,0.0492,192,0.0246,0.0012,110,0.6011,73,0.3989,TouhouVote_cn.xlsx,6
6,63,因幡天为（因幡帝）,170,19,0.1118,189,0.0228,0.0026,137,0.8059,33,0.1941,TouhouVote_cn.xlsx,6
6,64,占卜师（易者）,164,9,0.0549,173,0.022,0.0012,142,0.8659,22,0.1341,TouhouVote_cn.xlsx,6
6,65,小野塚小町,162,8,0.0494,170,0.0218,0.0011,114,0.7037,48,0.2963,TouhouVote_cn.xlsx,6
6,66,永江衣玖,160,17,0.1063,177,0.0215,0.0024,136,0.85,24,0.15,TouhouVote_cn.xlsx,6
6,67,米斯蒂娅·萝蕾拉,157,27,0.172,184,0.0211,0.0037,142,0.9045,15,0.0955,TouhouVote_cn.xlsx,6
6,68,二岩猯藏,156,17,0.109,173,0.021,0.0024,91,0.5833,65,0.4167,TouhouVote_cn.xlsx,6
6,69,八坂神奈子,153,19,0.1242,172,0.0205,0.0026,111,0.7255,42,0.2745,TouhouVote_cn.xlsx,6
6,70,魅魔,146,8,0.0548,154,0.0196,0.0011,112,0.7671,34,0.2329,TouhouVote_cn.xlsx,6
6,71,爱塔妮缇拉尔瓦,142,4,0.0282,146,0.0191,0.0006,113,0.7958,29,0.2042,TouhouVote_cn.xlsx,6
6,72,冴月麟,141,16,0.1135,157,0.0189,0.0022,114,0.8085,27,0.1915,TouhouVote_cn.xlsx,6
6,73,星熊勇仪,138,12,0.087,150,0.0185,0.0017,97,0.7029,41,0.2971,TouhouVote_cn.xlsx,6
6,74,橙,134,9,0.0672,143,0.018,0.0012,112,0.8358,22,0.1642,TouhouVote_cn.xlsx,6
6,75,姬海棠果,126,8,0.0635,134,0.0169,0.0011,95,0.754,31,0.246,TouhouVote_cn.xlsx,6
6,76,村纱水蜜,121,9,0.0744,130,0.0163,0.0012,62,0.5124,59,0.4876,TouhouVote_cn.xlsx,6
6,77,莉莉霍瓦特（莉莉白）,116,9,0.0776,125,0.0156,0.0012,103,0.8879,13,0.1121,TouhouVote_cn.xlsx,6
6,78,小恶魔,110,6,0.0545,116,0.0148,0.0008,91,0.8273,19,0.1727,TouhouVote_cn.xlsx,6
6,79,丁礼田舞,106,6,0.0566,112,0.0142,0.0008,60,0.566,46,0.434,TouhouVote_cn.xlsx,6
6,80,赤蛮奇,103,17,0.165,120,0.0138,0.0024,71,0.6893,32,0.3107,TouhouVote_cn.xlsx,6
6,81,今泉影狼,97,7,0.0722,104,0.013,0.001,86,0.8866,11,0.1134,TouhouVote_cn.xlsx,6
6,82,秋穰子,96,9,0.0938,105,0.0129,0.0012,82,0.8542,14,0.1458,TouhouVote_cn.xlsx,6
6,83,秋静叶,94,7,0.0745,101,0.0126,0.001,83,0.883,11,0.117,TouhouVote_cn.xlsx,6
6,84,苏我屠自古,91,8,0.0879,99,0.0122,0.0011,40,0.4396,51,0.5604,TouhouVote_cn.xlsx,6
6,85,坂田合欢乃,89,3,0.0337,92,0.012,0.0004,64,0.7191,25,0.2809,TouhouVote_cn.xlsx,6
6,86,九十九弁弁,88,9,0.1023,97,0.0118,0.0012,63,0.7159,25,0.2841,TouhouVote_cn.xlsx,6
6,87,长相酷似周杰伦的参拜客,87,2,0.023,89,0.0117,0.0003,76,0.8736,11,0.1264,TouhouVote_cn.xlsx,6
6,88,尔子田里乃,79,3,0.038,82,0.0106,0.0004,51,0.6456,28,0.3544,TouhouVote_cn.xlsx,6
6,89,露娜切露德,76,9,0.1184,85,0.0102,0.0012,68,0.8947,8,0.1053,TouhouVote_cn.xlsx,6
6,90,娜兹玲,74,7,0.0946,81,0.0099,0.001,57,0.7703,17,0.2297,TouhouVote_cn.xlsx,6
6,90,梅蒂欣·梅兰可莉,74,6,0.0811,80,0.0099,0.0008,58,0.7838,16,0.2162,TouhouVote_cn.xlsx,6
6,92,宫古芳香,72,11,0.1528,83,0.0097,0.0015,40,0.5556,32,0.4444,TouhouVote_cn.xlsx,6
6,93,斯塔萨菲雅,71,6,0.0845,77,0.0095,0.0008,61,0.8592,10,0.1408,TouhouVote_cn.xlsx,6
6,94,幽谷响子,69,4,0.058,73,0.0093,0.0006,61,0.8841,8,0.1159,TouhouVote_cn.xlsx,6
6,95,若鹭姬,61,5,0.082,66,0.0082,0.0007,47,0.7705,14,0.2295,TouhouVote_cn.xlsx,6
6,96,寅丸星,60,8,0.1333,68,0.0081,0.0011,31,0.5167,29,0.4833,TouhouVote_cn.xlsx,6
6,97,蕾蒂·霍瓦特洛克,59,8,0.1356,67,0.0079,0.0011,43,0.7288,16,0.2712,TouhouVote_cn.xlsx,6
6,97,毛玉,59,6,0.1017,65,0.0079,0.0008,49,0.8305,10,0.1695,TouhouVote_cn.xlsx,6
6,99,桑尼米尔克,55,3,0.0545,58,0.0074,0.0004,49,0.8909,6,0.1091,TouhouVote_cn.xlsx,6
6,100,九十九八桥,50,4,0.08,54,0.0067,0.0006,41,0.82,9,0.18,TouhouVote_cn.xlsx,6
6,101,莉格露·奈特巴格,49,13,0.2653,62,0.0066,0.0018,32,0.6531,17,0.3469,TouhouVote_cn.xlsx,6
6,101,绵月依姬,49,6,0.1224,55,0.0066,0.0008,39,0.7959,10,0.2041,TouhouVote_cn.xlsx,6
6,103,露娜萨·普莉兹姆利巴,48,1,0.0208,49,0.0064,0.0001,39,0.8125,9,0.1875,TouhouVote_cn.xlsx,6
6,104,卡娜·安娜贝拉尔,47,5,0.1064,52,0.0063,0.0007,34,0.7234,13,0.2766,TouhouVote_cn.xlsx,6
6,105,幻月,44,5,0.1136,49,0.0059,0.0007,28,0.6364,16,0.3636,TouhouVote_cn.xlsx,6
6,106,人偶（含上海人偶、哥利亚人偶）,40,4,0.1,44,0.0054,0.0006,34,0.85,6,0.15,TouhouVote_cn.xlsx,6
6,107,无名的读书妖怪（朱鹭子）,38,2,0.0526,40,0.0051,0.0003,36,0.9474,2,0.0526,TouhouVote_cn.xlsx,6
6,108,云居一轮,37,5,0.1351,42,0.005,0.0007,17,0.4595,20,0.5405,TouhouVote_cn.xlsx,6
6,108,魂魄妖忌,37,2,0.0541,39,0.005,0.0003,34,0.9189,3,0.0811,TouhouVote_cn.xlsx,6
6,110,绵月丰姬,36,3,0.0833,39,0.0048,0.0004,25,0.6944,11,0.3056,TouhouVote_cn.xlsx,6
6,111,爱莲,35,4,0.1143,39,0.0047,0.0006,18,0.5143,17,0.4857,TouhouVote_cn.xlsx,6
6,111,黑谷山女,35,2,0.0571,37,0.0047,0.0003,29,0.8286,6,0.1714,TouhouVote_cn.xlsx,6
6,113,萨丽爱尔,32,3,0.0938,35,0.0043,0.0004,19,0.5938,13,0.4063,TouhouVote_cn.xlsx,6
6,114,清兰,30,2,0.0667,32,0.004,0.0003,21,0.7,9,0.3,TouhouVote_cn.xlsx,6
6,115,蕾拉·普莉兹姆利巴,25,2,0.08,27,0.0034,0.0003,15,0.6,10,0.4,TouhouVote_cn.xlsx,6
