round,category,id,title,primary_heading,html_path,parsed_path,table_count,status
2,chara,78,,若鹭姬,data_raw/cn_official_legacy/round_02/raw/details/chara/78.html,data_raw/cn_official_legacy/round_02/processed/details/chara/78.json,9,ok
2,chara,79,,赤蛮奇,data_raw/cn_official_legacy/round_02/raw/details/chara/79.html,data_raw/cn_official_legacy/round_02/processed/details/chara/79.json,9,ok
2,chara,80,,今泉影狼,data_raw/cn_official_legacy/round_02/raw/details/chara/80.html,data_raw/cn_official_legacy/round_02/processed/details/chara/80.json,9,ok
2,chara,81,,九十九弁弁,data_raw/cn_official_legacy/round_02/raw/details/chara/81.html,data_raw/cn_official_legacy/round_02/processed/details/chara/81.json,9,ok
2,chara,82,,九十九八桥,data_raw/cn_official_legacy/round_02/raw/details/chara/82.html,data_raw/cn_official_legacy/round_02/processed/details/chara/82.json,9,ok
2,chara,83,,鬼人正邪,data_raw/cn_official_legacy/round_02/raw/details/chara/83.html,data_raw/cn_official_legacy/round_02/processed/details/chara/83.json,9,ok
2,chara,84,,少名针妙丸,data_raw/cn_official_legacy/round_02/raw/details/chara/84.html,data_raw/cn_official_legacy/round_02/processed/details/chara/84.json,9,ok
2,chara,85,,堀川雷鼓,data_raw/cn_official_legacy/round_02/raw/details/chara/85.html,data_raw/cn_official_legacy/round_02/processed/details/chara/85.json,9,ok
2,chara,86,,神玉,data_raw/cn_official_legacy/round_02/raw/details/chara/86.html,data_raw/cn_official_legacy/round_02/processed/details/chara/86.json,9,ok
2,chara,87,,魅魔,data_raw/cn_official_legacy/round_02/raw/details/chara/87.html,data_raw/cn_official_legacy/round_02/processed/details/chara/87.json,9,ok
2,chara,88,,菊理,data_raw/cn_official_legacy/round_02/raw/details/chara/88.html,data_raw/cn_official_legacy/round_02/processed/details/chara/88.json,9,ok
2,chara,89,,矜羯罗,data_raw/cn_official_legacy/round_02/raw/details/chara/89.html,data_raw/cn_official_legacy/round_02/processed/details/chara/89.json,9,ok
2,chara,90,,幽玄魔眼,data_raw/cn_official_legacy/round_02/raw/details/chara/90.html,data_raw/cn_official_legacy/round_02/processed/details/chara/90.json,9,ok
2,chara,91,,依莉斯,data_raw/cn_official_legacy/round_02/raw/details/chara/91.html,data_raw/cn_official_legacy/round_02/processed/details/chara/91.json,9,ok
2,chara,92,,萨丽爱尔,data_raw/cn_official_legacy/round_02/raw/details/chara/92.html,data_raw/cn_official_legacy/round_02/processed/details/chara/92.json,9,ok
2,chara,93,,玄爷,data_raw/cn_official_legacy/round_02/raw/details/chara/93.html,data_raw/cn_official_legacy/round_02/processed/details/chara/93.json,9,ok
2,chara,94,,里香,data_raw/cn_official_legacy/round_02/raw/details/chara/94.html,data_raw/cn_official_legacy/round_02/processed/details/chara/94.json,9,ok
2,chara,95,,明罗,data_raw/cn_official_legacy/round_02/raw/details/chara/95.html,data_raw/cn_official_legacy/round_02/processed/details/chara/95.json,9,ok
2,chara,96,,Flower～战车,data_raw/cn_official_legacy/round_02/raw/details/chara/96.html,data_raw/cn_official_legacy/round_02/processed/details/chara/96.json,1,ok
2,chara,97,,邪眼西格玛,data_raw/cn_official_legacy/round_02/raw/details/chara/97.html,data_raw/cn_official_legacy/round_02/processed/details/chara/97.json,1,ok
2,chara,98,,爱莲,data_raw/cn_official_legacy/round_02/raw/details/chara/98.html,data_raw/cn_official_legacy/round_02/processed/details/chara/98.json,9,ok
2,chara,99,,小兔姬,data_raw/cn_official_legacy/round_02/raw/details/chara/99.html,data_raw/cn_official_legacy/round_02/processed/details/chara/99.json,9,ok
2,chara,100,,卡娜·安娜贝拉尔,data_raw/cn_official_legacy/round_02/raw/details/chara/100.html,data_raw/cn_official_legacy/round_02/processed/details/chara/100.json,9,ok
2,chara,101,,朝仓理香子,data_raw/cn_official_legacy/round_02/raw/details/chara/101.html,data_raw/cn_official_legacy/round_02/processed/details/chara/101.json,9,ok
2,chara,102,,北白河千百合,data_raw/cn_official_legacy/round_02/raw/details/chara/102.html,data_raw/cn_official_legacy/round_02/processed/details/chara/102.json,9,ok
2,chara,103,,冈崎梦美,data_raw/cn_official_legacy/round_02/raw/details/chara/103.html,data_raw/cn_official_legacy/round_02/processed/details/chara/103.json,9,ok
2,chara,104,,咪咪号,data_raw/cn_official_legacy/round_02/raw/details/chara/104.html,data_raw/cn_official_legacy/round_02/processed/details/chara/104.json,9,ok
2,chara,105,,留琴,data_raw/cn_official_legacy/round_02/raw/details/chara/105.html,data_raw/cn_official_legacy/round_02/processed/details/chara/105.json,9,ok
2,chara,106,,玛○奇,data_raw/cn_official_legacy/round_02/raw/details/chara/106.html,data_raw/cn_official_legacy/round_02/processed/details/chara/106.json,9,ok
2,chara,107,,奥莲姬,data_raw/cn_official_legacy/round_02/raw/details/chara/107.html,data_raw/cn_official_legacy/round_02/processed/details/chara/107.json,9,ok
2,chara,108,,胡桃,data_raw/cn_official_legacy/round_02/raw/details/chara/108.html,data_raw/cn_official_legacy/round_02/processed/details/chara/108.json,9,ok
2,chara,109,,艾丽,data_raw/cn_official_legacy/round_02/raw/details/chara/109.html,data_raw/cn_official_legacy/round_02/processed/details/chara/109.json,9,ok
2,chara,110,,梦月,data_raw/cn_official_legacy/round_02/raw/details/chara/110.html,data_raw/cn_official_legacy/round_02/processed/details/chara/110.json,9,ok
2,chara,111,,幻月,data_raw/cn_official_legacy/round_02/raw/details/chara/111.html,data_raw/cn_official_legacy/round_02/processed/details/chara/111.json,9,ok
2,chara,112,,萨拉,data_raw/cn_official_legacy/round_02/raw/details/chara/112.html,data_raw/cn_official_legacy/round_02/processed/details/chara/112.json,1,ok
2,chara,113,,露易兹,data_raw/cn_official_legacy/round_02/raw/details/chara/113.html,data_raw/cn_official_legacy/round_02/processed/details/chara/113.json,9,ok
2,chara,114,,雪,data_raw/cn_official_legacy/round_02/raw/details/chara/114.html,data_raw/cn_official_legacy/round_02/processed/details/chara/114.json,9,ok
2,chara,115,,舞,data_raw/cn_official_legacy/round_02/raw/details/chara/115.html,data_raw/cn_official_legacy/round_02/processed/details/chara/115.json,9,ok
2,chara,116,,梦子,data_raw/cn_official_legacy/round_02/raw/details/chara/116.html,data_raw/cn_official_legacy/round_02/processed/details/chara/116.json,9,ok
2,chara,117,,神绮,data_raw/cn_official_legacy/round_02/raw/details/chara/117.html,data_raw/cn_official_legacy/round_02/processed/details/chara/117.json,9,ok
2,chara,118,,宇佐见莲子,data_raw/cn_official_legacy/round_02/raw/details/chara/118.html,data_raw/cn_official_legacy/round_02/processed/details/chara/118.json,9,ok
