id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
104,矜羯罗,东方灵异传,21,1,<a href='./?m=info&type=chara&id=104' target='_blank'>点击查看详情</a>,4.76%,0.19%,0.01%,14,2,14.29%,0.17%,0.03%,9,1,11.11%,0.13%,0.02%
105,幽玄魔眼,东方灵异传,7,1,<a href='./?m=info&type=chara&id=105' target='_blank'>点击查看详情</a>,14.29%,0.06%,0.01%,4,0,0%,0.05%,0%,3,0,0%,0.04%,0%
106,依莉斯,东方灵异传,9,0,<a href='./?m=info&type=chara&id=106' target='_blank'>点击查看详情</a>,0%,0.08%,0%,8,1,12.5%,0.1%,0.01%,7,2,28.57%,0.1%,0.03%
107,萨丽爱尔,东方灵异传,50,8,<a href='./?m=info&type=chara&id=107' target='_blank'>点击查看详情</a>,16%,0.44%,0.07%,31,6,19.35%,0.38%,0.08%,40,4,10%,0.59%,0.06%
108,玄爷,东方封魔录,19,2,<a href='./?m=info&type=chara&id=108' target='_blank'>点击查看详情</a>,10.53%,0.17%,0.02%,11,0,0%,0.14%,0%,7,0,0%,0.1%,0%
109,里香,东方封魔录,25,4,<a href='./?m=info&type=chara&id=109' target='_blank'>点击查看详情</a>,16%,0.22%,0.04%,15,2,13.33%,0.18%,0.03%,17,2,11.76%,0.25%,0.03%
110,明罗,东方封魔录,16,1,<a href='./?m=info&type=chara&id=110' target='_blank'>点击查看详情</a>,6.25%,0.14%,0.01%,15,0,0%,0.18%,0%,15,0,0%,0.22%,0%
111,Flower～战车,东方封魔录,1,0,<a href='./?m=info&type=chara&id=111' target='_blank'>点击查看详情</a>,0%,0.01%,0%,1,0,0%,0.01%,0%,1,0,0%,0.01%,0%
112,邪眼西格玛,东方封魔录,4,0,<a href='./?m=info&type=chara&id=112' target='_blank'>点击查看详情</a>,0%,0.04%,0%,4,0,0%,0.05%,0%,3,0,0%,0.04%,0%
113,爱莲,东方梦时空,51,5,<a href='./?m=info&type=chara&id=113' target='_blank'>点击查看详情</a>,9.8%,0.45%,0.05%,27,4,14.81%,0.33%,0.05%,26,3,11.54%,0.38%,0.05%
114,小兔姬,东方梦时空,19,1,<a href='./?m=info&type=chara&id=114' target='_blank'>点击查看详情</a>,5.26%,0.17%,0.01%,15,1,6.67%,0.18%,0.01%,18,2,11.11%,0.27%,0.03%
115,卡娜·安娜贝拉尔,东方梦时空,52,4,<a href='./?m=info&type=chara&id=115' target='_blank'>点击查看详情</a>,7.69%,0.46%,0.04%,39,4,10.26%,0.48%,0.05%,45,4,8.89%,0.66%,0.06%
116,朝仓理香子,东方梦时空,24,0,<a href='./?m=info&type=chara&id=116' target='_blank'>点击查看详情</a>,0%,0.21%,0%,14,0,0%,0.17%,0%,10,0,0%,0.15%,0%
117,北白河千百合,东方梦时空,24,2,<a href='./?m=info&type=chara&id=117' target='_blank'>点击查看详情</a>,8.33%,0.21%,0.02%,21,2,9.52%,0.26%,0.03%,13,1,7.69%,0.19%,0.02%
118,冈崎梦美,东方梦时空,225,23,<a href='./?m=info&type=chara&id=118' target='_blank'>点击查看详情</a>,10.22%,1.98%,0.21%,205,19,9.27%,2.52%,0.24%,181,16,8.84%,2.67%,0.24%
119,咪咪号,东方梦时空,2,0,<a href='./?m=info&type=chara&id=119' target='_blank'>点击查看详情</a>,0%,0.02%,0%,1,0,0%,0.01%,0%,1,0,0%,0.01%,0%
120,留琴,东方梦时空,12,1,<a href='./?m=info&type=chara&id=120' target='_blank'>点击查看详情</a>,8.33%,0.11%,0.01%,8,0,0%,0.1%,0%,6,0,0%,0.09%,0%
121,玛○奇,东方梦时空,1,0,<a href='./?m=info&type=chara&id=121' target='_blank'>点击查看详情</a>,0%,0.01%,0%,1,0,0%,0.01%,0%,1,0,0%,0.01%,0%
122,苏格拉底,东方梦时空,9,0,<a href='./?m=info&type=chara&id=122' target='_blank'>点击查看详情</a>,0%,0.08%,0%,2,1,50%,0.02%,0.01%,4,1,25%,0.06%,0.02%
123,奥莲姬,东方幻想乡,7,1,<a href='./?m=info&type=chara&id=123' target='_blank'>点击查看详情</a>,14.29%,0.06%,0.01%,4,1,25%,0.05%,0.01%,5,1,20%,0.07%,0.02%
124,胡桃,东方幻想乡,25,1,<a href='./?m=info&type=chara&id=124' target='_blank'>点击查看详情</a>,4%,0.22%,0.01%,15,0,0%,0.18%,0%,23,1,4.35%,0.34%,0.02%
125,艾丽,东方幻想乡,25,3,<a href='./?m=info&type=chara&id=125' target='_blank'>点击查看详情</a>,12%,0.22%,0.03%,15,1,6.67%,0.18%,0.01%,11,2,18.18%,0.16%,0.03%
126,梦月,东方幻想乡,20,3,<a href='./?m=info&type=chara&id=126' target='_blank'>点击查看详情</a>,15%,0.18%,0.03%,15,3,20%,0.18%,0.04%,21,1,4.76%,0.31%,0.02%
127,幻月,东方幻想乡,46,7,<a href='./?m=info&type=chara&id=127' target='_blank'>点击查看详情</a>,15.22%,0.41%,0.06%,46,5,10.87%,0.57%,0.06%,57,9,15.79%,0.84%,0.14%
128,萨拉,东方怪绮谈,1,0,<a href='./?m=info&type=chara&id=128' target='_blank'>点击查看详情</a>,0%,0.01%,0%,1,0,0%,0.01%,0%,2,0,0%,0.03%,0%
129,露易兹,东方怪绮谈,11,2,<a href='./?m=info&type=chara&id=129' target='_blank'>点击查看详情</a>,18.18%,0.1%,0.02%,5,1,20%,0.06%,0.01%,5,1,20%,0.07%,0.02%
130,雪,东方怪绮谈,25,0,<a href='./?m=info&type=chara&id=130' target='_blank'>点击查看详情</a>,0%,0.22%,0%,16,0,0%,0.2%,0%,9,2,22.22%,0.13%,0.03%
131,舞,东方怪绮谈,16,1,<a href='./?m=info&type=chara&id=131' target='_blank'>点击查看详情</a>,6.25%,0.14%,0.01%,3,1,33.33%,0.04%,0.01%,11,0,0%,0.16%,0%
132,梦子,东方怪绮谈,26,0,<a href='./?m=info&type=chara&id=132' target='_blank'>点击查看详情</a>,0%,0.23%,0%,20,0,0%,0.25%,0%,22,0,0%,0.32%,0%
133,神绮,东方怪绮谈,288,21,<a href='./?m=info&type=chara&id=133' target='_blank'>点击查看详情</a>,7.29%,2.54%,0.19%,196,17,8.67%,2.41%,0.21%,230,15,6.52%,3.4%,0.23%
134,宇佐见莲子,音乐CD,928,98,<a href='./?m=info&type=chara&id=134' target='_blank'>点击查看详情</a>,10.56%,8.18%,0.89%,679,80,11.78%,8.35%,1.01%,597,55,9.21%,8.82%,0.84%
135,玛艾露贝莉·赫恩（梅莉）,音乐CD,788,60,<a href='./?m=info&type=chara&id=135' target='_blank'>点击查看详情</a>,7.61%,6.94%,0.55%,586,41,7%,7.2%,0.52%,520,36,6.92%,7.68%,0.55%
136,稗田阿求,官方出版物,398,40,<a href='./?m=info&type=chara&id=136' target='_blank'>点击查看详情</a>,10.05%,3.51%,0.36%,324,36,11.11%,3.98%,0.46%,306,24,7.84%,4.52%,0.36%
137,森近霖之助,官方出版物,382,60,<a href='./?m=info&type=chara&id=137' target='_blank'>点击查看详情</a>,15.71%,3.37%,0.55%,249,21,8.43%,3.06%,0.27%,183,11,6.01%,2.7%,0.17%
138,无名的读书妖怪（朱鹭子）,官方出版物,51,6,<a href='./?m=info&type=chara&id=138' target='_blank'>点击查看详情</a>,11.76%,0.45%,0.05%,33,2,6.06%,0.41%,0.03%,32,3,9.38%,0.47%,0.05%
139,桑尼米尔克,官方出版物,91,8,<a href='./?m=info&type=chara&id=139' target='_blank'>点击查看详情</a>,8.79%,0.8%,0.07%,68,8,11.76%,0.84%,0.1%,75,10,13.33%,1.11%,0.15%
140,露娜切尔德,官方出版物,153,15,<a href='./?m=info&type=chara&id=140' target='_blank'>点击查看详情</a>,9.8%,1.35%,0.14%,140,6,4.29%,1.72%,0.08%,109,4,3.67%,1.61%,0.06%
141,斯塔萨菲雅,官方出版物,140,7,<a href='./?m=info&type=chara&id=141' target='_blank'>点击查看详情</a>,5%,1.23%,0.06%,102,8,7.84%,1.25%,0.1%,96,6,6.25%,1.42%,0.09%
142,绵月丰姬,官方出版物,59,6,<a href='./?m=info&type=chara&id=142' target='_blank'>点击查看详情</a>,10.17%,0.52%,0.05%,41,5,12.2%,0.5%,0.06%,39,5,12.82%,0.58%,0.08%
143,绵月依姬,官方出版物,86,9,<a href='./?m=info&type=chara&id=143' target='_blank'>点击查看详情</a>,10.47%,0.76%,0.08%,43,4,9.3%,0.53%,0.05%,61,2,3.28%,0.9%,0.03%
144,Reisen,官方出版物,24,0,<a href='./?m=info&type=chara&id=144' target='_blank'>点击查看详情</a>,0%,0.21%,0%,8,1,12.5%,0.1%,0.01%,7,0,0%,0.1%,0%
145,茨木华扇,官方出版物,507,70,<a href='./?m=info&type=chara&id=145' target='_blank'>点击查看详情</a>,13.81%,4.47%,0.64%,393,51,12.98%,4.83%,0.64%,265,30,11.32%,3.91%,0.46%
146,本居小铃,官方出版物,345,34,<a href='./?m=info&type=chara&id=146' target='_blank'>点击查看详情</a>,9.86%,3.04%,0.31%,252,20,7.94%,3.1%,0.25%,246,25,10.16%,3.63%,0.38%
147,龙神,官方出版物,11,0,<a href='./?m=info&type=chara&id=147' target='_blank'>点击查看详情</a>,0%,0.1%,0%,12,1,8.33%,0.15%,0.01%,7,1,14.29%,0.1%,0.02%
148,月夜见,官方出版物,1,0,<a href='./?m=info&type=chara&id=148' target='_blank'>点击查看详情</a>,0%,0.01%,0%,3,0,0%,0.04%,0%,4,1,25%,0.06%,0.02%
149,石长姬,官方出版物,3,0,<a href='./?m=info&type=chara&id=149' target='_blank'>点击查看详情</a>,0%,0.03%,0%,2,0,0%,0.02%,0%,0,0,0%,0%,0%
150,木花咲耶姬,官方出版物,2,2,<a href='./?m=info&type=chara&id=150' target='_blank'>点击查看详情</a>,100%,0.02%,0.02%,3,1,33.33%,0.04%,0.01%,1,0,0%,0.01%,0%
151,天照大御神,官方出版物,0,0,<a href='./?m=info&type=chara&id=151' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,1,0,0%,0.01%,0%
152,石凝老命,官方出版物,0,0,<a href='./?m=info&type=chara&id=152' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
153,天宇受卖命,官方出版物,0,0,<a href='./?m=info&type=chara&id=153' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
154,伊豆能卖,官方出版物,1,0,<a href='./?m=info&type=chara&id=154' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,0,0%,0%,0%,2,0,0%,0.03%,0%
155,火雷神,官方出版物,0,0,<a href='./?m=info&type=chara&id=155' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
156,岩笠,官方出版物,4,0,<a href='./?m=info&type=chara&id=156' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,1,50%,0.02%,0.01%,3,0,0%,0.04%,0%
157,瑞江浦岛子,官方出版物,1,0,<a href='./?m=info&type=chara&id=157' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
158,前鬼 / 后鬼,官方出版物,1,0,<a href='./?m=info&type=chara&id=158' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
159,求闻史纪中的受访人群,官方出版物,3,0,<a href='./?m=info&type=chara&id=159' target='_blank'>点击查看详情</a>,0%,0.03%,0%,6,0,0%,0.07%,0%,5,0,0%,0.07%,0%
160,野槌,官方出版物,2,0,<a href='./?m=info&type=chara&id=160' target='_blank'>点击查看详情</a>,0%,0.02%,0%,2,0,0%,0.02%,0%,1,0,0%,0.01%,0%
161,酒虫,官方出版物,2,0,<a href='./?m=info&type=chara&id=161' target='_blank'>点击查看详情</a>,0%,0.02%,0%,3,0,0%,0.04%,0%,1,0,0%,0.01%,0%
162,雷兽（务光）,官方出版物,0,0,<a href='./?m=info&type=chara&id=162' target='_blank'>点击查看详情</a>,0%,0%,0%,1,0,0%,0.01%,0%,0,0,0%,0%,0%
163,运松翁,官方出版物,1,0,<a href='./?m=info&type=chara&id=163' target='_blank'>点击查看详情</a>,0%,0.01%,0%,2,0,0%,0.02%,0%,0,0,0%,0%,0%
164,久米 / 竿打,官方出版物,0,0,<a href='./?m=info&type=chara&id=164' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,3,0,0%,0.04%,0%
165,管狐,官方出版物,2,0,<a href='./?m=info&type=chara&id=165' target='_blank'>点击查看详情</a>,0%,0.02%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
166,水鬼鬼神长,官方出版物,0,0,<a href='./?m=info&type=chara&id=166' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
167,万岁乐,官方出版物,5,0,<a href='./?m=info&type=chara&id=167' target='_blank'>点击查看详情</a>,0%,0.04%,0%,5,0,0%,0.06%,0%,3,0,0%,0.04%,0%
168,人面犬,官方出版物,0,0,<a href='./?m=info&type=chara&id=168' target='_blank'>点击查看详情</a>,0%,0%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
169,邪龙,官方出版物,0,0,<a href='./?m=info&type=chara&id=169' target='_blank'>点击查看详情</a>,0%,0%,0%,2,0,0%,0.02%,0%,2,0,0%,0.03%,0%
170,烟烟罗,官方出版物,1,0,<a href='./?m=info&type=chara&id=170' target='_blank'>点击查看详情</a>,0%,0.01%,0%,0,0,0%,0%,0%,0,0,0%,0%,0%
