merge_group_id,canonical_track,source_row_count,sites,mapped_characters
music:959b904e5147e7b8,Seraphic Chicken,11,"[""cn"", ""jp""]","[""庭渡久侘歌""]"
music:2bd862406b83bb94,She's in a temper!!,29,"[""cn"", ""jp""]",[]
music:bd877fd5d6cfb99c,Silk Road Alice,29,"[""cn"", ""jp""]",[]
music:e220612c0d7dfbcc,Sky Ruin,25,"[""cn"", ""jp""]",[]
music:d54e13ad79e939de,Sleep Sheep·Parade,14,"[""cn"", ""jp""]",[]
music:71cadb5181e6e929,Smoking Dragon,8,"[""cn"", ""jp""]","[""驹草山如""]"
music:00ebaf38fd91e743,Star Voyage2008,27,"[""cn"", ""jp""]",[]
music:490e8af2ae010a70,Starbow Dream,30,"[""cn"", ""jp""]",[]
music:51ad0f87f53d16c3,Strawberry Crisis!!,31,"[""cn"", ""jp""]",[]
music:7652c52324d1325b,Sunny Rutile Flection,27,"[""cn"", ""jp""]","[""桑尼米尔克""]"
music:cf4c3c34ae5adef7,Tabula rasa ~ 空白少女,29,"[""cn"", ""jp""]",[]
music:aa52a69cf377f837,Tabula rasa ~空白少女,2,"[""jp""]",[]
music:039c629b3bc0ee07,The Legend of KAGE,29,"[""cn"", ""jp""]",[]
music:46f0ba7ae08d69d4,The Positive and Negative,29,"[""cn"", ""jp""]",[]
music:aee7e760ada0fdaf,Theme of Eastern Story,29,"[""cn"", ""jp""]",[]
music:1b8e677ca0a6fd1d,Tiny Shangri-La,5,"[""cn"", ""jp""]","[""孙美天""]"
music:fbc9cdafee5f3a8a,Titled Maid,27,"[""cn"", ""jp""]",[]
music:613a1c09e7c3799e,Tortoise Dragon,11,"[""cn"", ""jp""]","[""吉吊八千慧""]"
music:28f722b27ce62c2b,U.N.OWEN就是她吗?,31,"[""cn"", ""jp""]","[""芙兰朵露·斯卡蕾特""]"
music:39b1338cf0d5b8cf,Ultimate Truth,29,"[""cn"", ""jp""]",[]
music:5da9431032c1f13e,Unlocated Hell,11,"[""cn"", ""jp""]",[]
music:8520b62b5444a33f,Voyage1969,29,"[""cn"", ""jp""]","[""蓬莱山辉夜|八意永琳""]"
music:4b44fe9945457368,Voyage1970,29,"[""cn"", ""jp""]","[""蓬莱山辉夜|八意永琳""]"
music:e57bbbbbb9da370e,Witch of Love Potion,31,"[""cn"", ""jp""]",[]
music:75d7d44db3e96ece,Witching Dream,31,"[""cn"", ""jp""]",[]
music:6476fd592a54b2ff,the Grimoire of Alice,31,"[""cn"", ""jp""]","[""爱丽丝·玛格特洛依德""]"
music:f042d31beb8fbacc,the Last Judgement,31,"[""cn"", ""jp""]",[]
music:181f3e04cfe9c2d6,どうせなら命を賭けて謎を解け,2,"[""jp""]",[]
music:e5b5cdff7de7eb56,セイクリッドフォレスト,2,"[""jp""]",[]
music:a9bbc4dcf902f691,ピラミッドの神域,1,"[""jp""]",[]
music:99292fda59a1f590,ファンタスティックドリフト,1,"[""jp""]",[]
music:7471be035dba4efe,フォーカラーラビリンス,1,"[""jp""]",[]
music:9ee23e87eb0094e8,プレステ・ジョアンの黄金境,2,"[""jp""]",[]
music:6e1369eca8fac2d6,一对的神兽,5,"[""cn""]",[]
music:ab9deb750f3c6fab,七玉搜集大摊牌,20,"[""cn"", ""jp""]",[]
music:3317e921a5adf9eb,七石之狼、登天吞云,7,"[""cn"", ""jp""]",[]
music:6f2275488c61c0ee,上海红茶馆,31,"[""cn"", ""jp""]","[""红美铃""]"
music:6e85c30f7be7f202,不可不禁止的游戏,31,"[""cn"", ""jp""]",[]
music:c7be7844f8f9bcb5,不可思议之国的爱丽丝,31,"[""cn"", ""jp""]","[""爱丽丝·玛格特洛依德""]"
music:3b57b1a93687356a,不可思议的驱魔棒,23,"[""cn"", ""jp""]",[]
music:ac3ac28eb4960204,不回首的黄泉路,5,"[""cn"", ""jp""]","[""豫母都日狭美""]"
music:98ad49b232df6174,不変の日常,1,"[""jp""]",[]
music:4b26796c5a63224d,不朽的曼珠沙华,11,"[""cn"", ""jp""]","[""庭渡久侘歌""]"
music:b94b224fbced6069,不灭的赤魂,15,"[""cn"", ""jp""]",[]
music:666f63d393b03459,不等式的廷克·贝尔,3,"[""jp""]",[]
music:9c96055dbd6456e5,不自然的自然,15,"[""cn"", ""jp""]",[]
music:2f6255547c17f2e1,丑时三刻的村庄,23,"[""cn"", ""jp""]",[]
music:e725f8211a7e5839,世界的尽头 ~ World's End,29,"[""cn"", ""jp""]",[]
music:0b1d1ce71aff9713,世间万物皆可爱,5,"[""cn"", ""jp""]","[""博丽灵梦""]"
music:9e84ece87c15fbab,业火地幔,28,"[""cn"", ""jp""]",[]
music:1000547ec663218d,东之国的不眠夜,29,"[""cn"", ""jp""]",[]
music:12686d8c1899d053,东方刚欲异闻,7,"[""cn"", ""jp""]",[]
music:362d0e9ae36987cf,东方妖妖梦,31,"[""cn"", ""jp""]","[""魂魄妖梦""]"
music:020c3143769912e4,东方妖怪小町,28,"[""cn"", ""jp""]",[]
music:b121db6c5c20f032,东方妖怪小镇,3,"[""cn""]",[]
music:323beaf4871f4b10,东方妖恋谈,31,"[""cn"", ""jp""]","[""博丽灵梦""]"
music:25f830b551c7018a,东方封魔录 ~ 净土曼荼罗,28,"[""cn"", ""jp""]",[]
music:8ab02772d79cb05c,东方封魔录 ~ 幽幻乱舞,29,"[""cn"", ""jp""]",[]
music:ff6c9461c141b512,东方封魔录 ~净土曼荼罗,1,"[""jp""]",[]
music:d5006b346584a46f,东方封魔录 ~幽幻乱舞,2,"[""jp""]",[]
music:64ce042ea9b33c62,东方怪奇谈,30,"[""cn"", ""jp""]",[]
music:e70b6ffe350e8afa,东方的蓝色天空,26,"[""cn"", ""jp""]",[]
music:fe068d8c4cab2008,东方绯想天,28,"[""cn"", ""jp""]",[]
music:5dc125a386316529,东方萃梦想,30,"[""cn"", ""jp""]",[]
music:fb1fcad2f0bc5475,东风,30,"[""cn"", ""jp""]",[]
music:3e3186deedeffe82,丝绸之路的爱丽丝,2,"[""cn""]",[]
music:f8a77ed1bea81b42,两个世界,26,"[""cn"", ""jp""]",[]
music:ca93557804c15c49,两方世界,1,"[""cn""]",[]
music:539b1c7d0bcaeae8,久远之梦,27,"[""cn"", ""jp""]",[]
music:c05279b2cab8bdfd,九月的南瓜,19,"[""cn"", ""jp""]","[""铃瑚""]"
music:aa1e5d3002f7d2e4,争奇斗艳的凭依华,5,"[""cn""]",[]
music:3ce89f56d0991f96,二人不值一提的博物志,12,"[""cn"", ""jp""]",[]
music:73d7603c3f79c4d5,二色莲花蝶,31,"[""cn"", ""jp""]","[""灵梦""]"
music:1129ce22647ec652,云外苍天,28,"[""cn"", ""jp""]",[]
music:0820e578e10d1fb0,亡失的情感,23,"[""cn"", ""jp""]","[""秦心""]"
music:f736b4228a0bea3f,亡灵幻想曲,2,"[""cn""]",[]
music:a6e81ae75bd8b8b5,人偶之森,31,"[""cn"", ""jp""]",[]
music:febd7166adb45501,人偶存在的风景,27,"[""cn"", ""jp""]",[]
music:0bbafaea075f674c,人偶裁判,28,"[""cn"", ""jp""]","[""爱丽丝·玛格特洛依德""]"
music:ce51740f3bf5b5e0,亿万劫之钟,6,"[""cn""]",[]
music:7aee6b728666dfef,今宵是飘逸的自我主义者,14,"[""cn"", ""jp""]","[""依神女苑|依神紫苑""]"
music:7f7d9302297be7fc,今昔幻想乡,30,"[""cn"", ""jp""]","[""风见幽香""]"
music:1b38111e8a5ce8e4,从地下的归还,11,"[""cn"", ""jp""]",[]
music:8092f6ac821e4dde,从神社所见之月,19,"[""cn"", ""jp""]",[]
music:ca871d23d5cb1340,令人心跳的司空见惯幻想乡,6,"[""cn"", ""jp""]",[]
music:1bac1bfe25eac0a6,令人怀念的东方之血,31,"[""cn"", ""jp""]","[""上白泽慧音""]"
music:37b8c3db2c2c5d51,以死相赌,29,"[""cn"", ""jp""]",[]
music:d0c137849f8311bd,以犯规对不可能的弹幕,21,"[""cn"", ""jp""]","[""鬼人正邪""]"
music:1a628c2da6057306,以鱼驱蝇,28,"[""cn"", ""jp""]",[]
music:a3b5f8ec7cf8882e,仰空,30,"[""cn"", ""jp""]",[]
music:a2af2eae129247ea,价值不明,20,"[""cn"", ""jp""]",[]
music:f15f6b91b0e6aad1,伊奘诺物质,23,"[""cn"", ""jp""]",[]
music:771e564233d71579,伏瓦鲁魔法图书馆,30,"[""cn"", ""jp""]","[""帕秋莉·诺蕾姬""]"
music:3b30f9f64763971a,众神眷恋的幻想乡,29,"[""cn"", ""jp""]",[]
music:574fab76e41fa0bd,会受稻田姬的斥责啦,26,"[""cn"", ""jp""]","[""秋穰子""]"
music:0189b70f1d5bcf79,会被稻田公主骂的啦,3,"[""cn""]",[]
music:59d96788c1263176,传说中的仙境,31,"[""cn"", ""jp""]",[]
music:6f3e9ef122a395f5,传说的巨神,27,"[""cn"", ""jp""]",[]
music:864240b4bf08c238,佐渡的二岩,25,"[""cn"", ""jp""]","[""二岩猯藏""]"
music:e9705f896d731ebe,你所在之城的怪事,26,"[""cn"", ""jp""]",[]
music:33a5a72e39b9d48b,你见到了那个影子吗,27,"[""cn"", ""jp""]",[]
music:91151cc229ac2fc5,例え世界から忘れられても,2,"[""jp""]",[]
music:008a86451e54d3c8,俄耳甫斯的诗 ~ Pseudoclassic,30,"[""cn"", ""jp""]",[]
music:fcbcc86a96a54e45,信仰是为了虚幻之人,29,"[""cn"", ""jp""]","[""东风谷早苗""]"
music:fd13d5e863b7bbc2,僵硬的乐园,2,"[""cn""]",[]
music:4808c1d98d3adb15,光辉的天球仪,14,"[""cn"", ""jp""]",[]
music:2ca74060aa33fa40,克服万千之试炼,14,"[""cn"", ""jp""]",[]
music:e02218e2a75401d7,兔已着陆,19,"[""cn"", ""jp""]","[""清兰""]"
music:837ef4d5d6d97b87,全有机体的记忆,7,"[""cn"", ""jp""]","[""饕餮尤魔""]"
music:0b2426454b771a78,公正的争夺,20,"[""cn"", ""jp""]",[]
music:5367776727f9fcc6,兽之智慧,5,"[""cn"", ""jp""]",[]
music:59cc2ffcf961b335,兽王们的小憩,5,"[""cn"", ""jp""]",[]
music:307cbdffe01c47fc,内心,23,"[""cn"", ""jp""]",[]
music:440a6381062649dc,冷吟闲醉,28,"[""cn"", ""jp""]",[]
music:98844c826c2f9af3,冻结的永远之都,19,"[""cn"", ""jp""]","[""稀神探女""]"
music:45c05f582068a911,凋叶棕,31,"[""cn"", ""jp""]","[""橙""]"
music:b444d6cc10ff8660,凭依华,5,"[""cn""]",[]
music:fb08604f35aa2da5,凭依华(标题曲),9,"[""jp""]",[]
music:ff31880a42f88e22,凭坐处于梦与现实之间,14,"[""cn"", ""jp""]","[""八云紫""]"
music:5ee5ceeb687666da,凭投依合,14,"[""cn"", ""jp""]",[]
music:8c603e287057f8a4,出演者选择,19,"[""cn"", ""jp""]",[]
music:b1fe2dfa71f3eee0,到达有顶天,5,"[""cn""]",[]
music:20083f296e20daac,前所未见的噩梦世界,19,"[""cn"", ""jp""]",[]
music:4e536ef4526c28a2,剧毒身体,30,"[""cn"", ""jp""]","[""梅蒂欣·梅兰可莉""]"
music:0a117afc7b147d61,勇敢又慵懒的妖兽,5,"[""cn"", ""jp""]","[""三头慧之子""]"
music:bf15d96199273202,千年幻想乡,31,"[""cn"", ""jp""]","[""八意永琳""]"
music:73db7e6385033e48,午夜中的妖精舞会,3,"[""cn""]",[]
music:304b3b497d69c6ce,午夜的妖精舞会,23,"[""cn"", ""jp""]","[""桑尼米尔克|露娜切露德|斯塔萨菲雅""]"
music:ec4f5ba6f80ad005,午夜符卡,1,"[""cn""]",[]
music:f7c1d0c1810c0a52,华之幻想 红梦之宙,29,"[""cn"", ""jp""]",[]
music:5e212e698c2194fb,华狭间的战场,20,"[""cn"", ""jp""]","[""茨木华扇""]"
music:686eb4a1f08dbdbf,华胥之梦,30,"[""cn"", ""jp""]",[]
music:e415a6d0362a6029,博丽 ~ Eastern Wind,29,"[""cn"", ""jp""]",[]
music:7d6f182fd6deae4a,博丽 ~Eastern Wind,2,"[""jp""]",[]
music:4d2a111513e66bf9,博丽神社境内,31,"[""cn"", ""jp""]",[]
music:962dcab33d6dcda2,卡纳维拉尔角的梦幻少女,29,"[""cn"", ""jp""]",[]
music:1c65bc15fce9e784,卫星露天咖啡屋,2,"[""cn""]",[]
music:eaaf074c8ce7e647,卫星露天咖啡座,27,"[""cn"", ""jp""]",[]
music:b0f602a092c39341,卫星鸟船,24,"[""cn"", ""jp""]",[]
music:92fa7f22b253ed11,厄神降临之路,29,"[""cn"", ""jp""]","[""键山雏""]"
music:c2a2c2110bf1d055,原初的节拍,23,"[""cn"", ""jp""]","[""堀川雷鼓""]"
music:b137dc30737ccfed,双壳贝上的幻觉,1,"[""jp""]","[""渡里贝子""]"
music:03c0615410f043b0,古老的元神,25,"[""cn"", ""jp""]","[""霍青娥""]"
music:61594d87d047039e,古老的冥界寺,31,"[""cn"", ""jp""]",[]
music:70f380a6cf0c35dd,古老的叙述者,2,"[""cn""]",[]
music:b5e83e7cc65ee60a,另一侧的月,26,"[""cn"", ""jp""]",[]
music:4a3742542e17e5c9,只听见歌声,3,"[""cn""]",[]
music:16e1607d80456b48,只有地藏知晓的哀叹,11,"[""cn"", ""jp""]",[]
music:b643df21f5ff6c27,可悲的人偶 ~ Doll of Misery,31,"[""cn"", ""jp""]",[]
