round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,102.0,115,東の国の眠らない夜,东之国的不眠夜,东之国的不眠夜,official_jp_repaired_exact,,True,False
21,103.0,18,妖々夢 ~ Snow or Cherry Petal,妖妖梦 ~ Snow or Cherry Petal,妖妖梦 ~ Snow or Cherry Petal,official_jp_repaired_exact,,True,False
21,104.0,19,無何有の郷 ~ Deep Mountain,无何有之乡 ~ Deep Mountain,无何有之乡 ~ Deep Mountain,official_jp_repaired_exact,,True,False
21,105.0,9006,桜花之恋塚,樱花之恋塚,樱花之恋塚,official_jp_repaired_exact,,True,False
21,106.0,105,今昔幻想郷 ~ Flower Land,今昔幻想乡 ~ Flower Land,今昔幻想乡,official_jp_user_repaired_exact,风见幽香,True,False
21,107.0,800,逸脱者達の無礙光 ~ Kingdom of Nothingness,越轨者们的无碍光 ~ Kingdam of Nothingness.,越轨者们的无碍光,official_jp_user_repaired_exact,日白残无,True,False
21,108.0,286,幻想浄瑠璃,幻想净琉璃,幻想净琉璃,official_jp_user_repaired_exact,九十九弁弁|九十九八桥,True,False
21,109.0,162,夜が降りてくる,夜幕降临,夜幕降临,official_jp_user_repaired_exact,八云紫,True,False
21,109.0,192,幽霊客船の時空を越えた旅,幽灵客船的穿越时空之旅,幽灵客船的穿越时空之旅,official_jp_repaired_exact,,True,False
21,111.0,451,永遠の巫女,永远之巫女,永远之巫女,official_jp_repaired_exact,,True,False
21,112.0,106,彼岸帰航 ~ Riverside View,彼岸归航 ~ Riverside View,彼岸归航,official_jp_user_repaired_exact,小野塚小町,True,False
21,113.0,835,どうせなら命を賭けて謎を解け,,どうせなら命を賭けて謎を解け,official_jp_exact_title,,False,False
21,114.0,278,不思議なお祓い棒,不可思议的驱魔棒,不可思议的驱魔棒,official_jp_repaired_exact,,True,False
21,115.0,603,少女秘封倶楽部,少女秘封俱乐部,少女秘封俱乐部,official_jp_repaired_exact,,True,False
21,116.0,172,旧地獄街道を行く,漫游旧地狱街道,漫游旧地狱街道,official_jp_user_repaired_exact,星熊勇仪,True,False
21,117.0,177,死体旅行 ~ Be of good cheer!,尸体旅行 ~ Be of good cheer!,尸体旅行,official_jp_user_repaired_exact,火焰猫燐,True,False
21,118.0,749,龍王殺しのプリンセス,灭杀龙王的公主,灭杀龙王的公主,official_jp_user_repaired_exact,姬虫百百世,True,False
21,119.0,9009,アンノウンX,未知物X,未知物X,official_jp_repaired_exact,,True,False
21,120.0,744,待ちわびた逢魔が時,渴盼已久的逢魔之刻,渴盼已久的逢魔之刻,official_jp_user_repaired_exact,菅牧典,True,False
21,121.0,745,星降る天魔の山,天魔之山漫天星,天魔之山漫天星,official_jp_user_repaired_exact,饭纲丸龙,True,False
21,122.0,334,ラストオカルティズム ~ 現し世の秘術師,Last Occultism ~ 现世的秘术师,Last Occultism,official_jp_user_repaired_exact,宇佐见堇子,True,False
21,123.0,772,強欲な獣のメメント,贪欲之兽的记忆,贪欲之兽的记忆,official_jp_user_repaired_exact,饕餮尤魔,True,False
21,124.0,342,凍り付いた永遠の都,冻结的永远之都,冻结的永远之都,official_jp_user_repaired_exact,稀神探女,True,False
21,125.0,440,アンロケイテッドヘル,Unlocated Hell,Unlocated Hell,official_jp_repaired_exact,,True,False
21,126.0,640,衛星カフェテラス,卫星露天咖啡座,卫星露天咖啡座,official_jp_repaired_exact,,True,False
21,127.0,773,有機体全てのメメント ~ Memory of Fossil Energy.,全有机体的记忆 ~ Memory of Fossil Energy.,全有机体的记忆,official_jp_user_repaired_exact,饕餮尤魔,True,False
21,128.0,29,アルティメットトゥルース,Ultimate Truth,Ultimate Truth,official_jp_repaired_exact,,True,False
21,128.0,239,死霊の夜桜,死灵的夜樱,死灵的夜樱,official_jp_user_repaired_exact,西行寺幽幽子,True,False
21,130.0,53,ヴォヤージュ1970,Voyage1970,Voyage1970,official_jp_user_repaired_exact,蓬莱山辉夜|八意永琳,True,False
21,131.0,136,緋想天,绯想天,绯想天,official_jp_repaired_exact,,True,False
21,132.0,95,オリエンタルダークフライト,Oriental Dark Flight,Oriental Dark Flight,official_jp_user_repaired_exact,雾雨魔理沙,True,False
21,133.0,226,無間の鐘 ~ Infinite Nightmare,无间之钟 ~ Infinite Nightmare,无间之钟 ~ Infinite Nightmare,official_jp_repaired_exact,,True,False
21,134.0,58,東方妖怪小町,东方妖怪小町,东方妖怪小町,official_jp_repaired_exact,,True,False
21,135.0,367,幻想のホワイトトラベラー,幻想的White Traveler,幻想的White Traveler,official_jp_repaired_exact,,True,False
21,136.0,149,天衣無縫,天衣无缝,天衣无缝,official_jp_repaired_exact,,True,False
21,137.0,198,夜空のユーフォーロマンス,夜空中的UFO恋曲,夜空中的UFO恋曲,official_jp_repaired_exact,,True,False
21,138.0,668,他愛も無い二人の博物誌,二人不值一提的博物志,二人不值一提的博物志,official_jp_repaired_exact,,True,False
