site,character,character_score,character_total_score,character_rate,character_z,has_music_association,music_count,weight_sum,music_weighted_z_sum,music_weighted_z_mean,music_weighted_rate_sum,music_weighted_rate_mean,music_total_score
cn,赫卡提亚·拉碧斯拉祖利,407,89467.0,0.004549163378675936,-0.29149449847827086,True,1,1.0,-0.40371905221650084,-0.40371905221650084,0.001626259816403826,0.001626259816403826,93466.0
cn,少名针妙丸,376,89467.0,0.004202666905115853,-0.3255191333119124,True,1,1.0,2.896102413522797,2.896102413522797,0.0177604690475681,0.0177604690475681,93466.0
cn,赤蛮奇,368,89467.0,0.004113248460326154,-0.3342996842367231,True,1,1.0,-0.5809641044213305,-0.5809641044213305,0.0007596345195044187,0.0007596345195044187,93466.0
cn,河城荷取,368,89467.0,0.004113248460326154,-0.3342996842367231,True,1,1.0,-0.05798178989103061,-0.05798178989103061,0.003316714099244645,0.003316714099244645,93466.0
cn,霍青娥,355,89467.0,0.003967943487542893,-0.34856807948954055,True,2,1.75,0.3235917614041305,0.18490957794521742,0.007882545524575782,0.004504311728329018,93466.0
cn,露娜切露德,354,89467.0,0.003956766181944181,-0.34966564835514186,True,5,2.75,-1.669315181722957,-0.6070237024447116,0.0017386001326685637,0.0006322182300612959,93466.0
cn,豫母都日狭美,337,89467.0,0.0037667519867660704,-0.36832431907036467,True,1,1.0,-0.5131295782688648,-0.5131295782688648,0.0010913059294288831,0.0010913059294288831,93466.0
cn,封兽鵺,317,89467.0,0.0035432058747918225,-0.39027569638239157,True,1,1.0,-0.38840157856916985,-0.38840157856916985,0.001701153360580318,0.001701153360580318,93466.0
cn,宇佐见堇子,316,89467.0,0.00353202856919311,-0.3913732652479929,True,5,2.75,-1.5615458135613787,-0.5678348412950468,0.002265529711338883,0.0008238289859414119,93466.0
cn,菅牧典,313,89467.0,0.003498496652396973,-0.3946659718447969,True,2,1.75,-0.7207317097656838,-0.41184669129467644,0.0027764106733999525,0.0015865203847999728,93466.0
cn,物部布都,310,89467.0,0.003464964735600836,-0.39795867844160093,True,1,1.0,-0.6028462096318032,-0.6028462096318032,0.0006526437421094302,0.0006526437421094302,93466.0
cn,橙,309,89467.0,0.0034537874300021236,-0.3990562473072023,True,2,1.75,-0.3175539212627224,-0.18145938357869854,0.0047477157469026175,0.002712980426801496,93466.0
cn,日白残无,303,89467.0,0.0033867235964098494,-0.4056416605008103,True,1,1.0,0.213356314718832,0.213356314718832,0.004643399738942503,0.004643399738942503,93466.0
cn,小恶魔,297,89467.0,0.003319659762817575,-0.41222707369441836,False,0,0.0,0.0,0.0,0.0,0.0,93466.0
cn,克劳恩皮丝,292,89467.0,0.0032637732348240133,-0.41771491802242505,True,2,1.75,-0.27652497399308595,-0.15801427085319197,0.004948323454518221,0.0028276134025818403,93466.0
cn,因幡天为（因幡帝）,281,89467.0,0.0031408228732381772,-0.4297881755440398,True,2,1.75,-0.7830957096155312,-0.4474832626374464,0.0024714869578242355,0.0014122782616138487,93466.0
cn,斯塔萨菲雅,281,89467.0,0.0031408228732381772,-0.4297881755440398,True,5,2.75,-1.675332760655837,-0.6092119129657589,0.0017091776688849419,0.0006215191523217971,93466.0
cn,饭纲丸龙,273,89467.0,0.0030514044284484783,-0.43856872646885053,True,1,1.0,-0.2811792630378531,-0.2811792630378531,0.002225408169815762,0.002225408169815762,93466.0
cn,堀川雷鼓,272,89467.0,0.003040227122849766,-0.43966629533445184,True,1,1.0,-0.14551021073292184,-0.14551021073292184,0.0028887509896646907,0.0028887509896646907,93466.0
cn,永江衣玖,264,89467.0,0.002950808678060067,-0.44844684625926257,True,1,1.0,-0.6663043147421743,-0.6663043147421743,0.00034237048766396335,0.00034237048766396335,93466.0
cn,庭渡久侘歌,235,89467.0,0.0026266668156974078,-0.48027634336170144,True,2,1.75,-1.2185496033039398,-0.6963140590308228,0.00034237048766396335,0.00019564027866512192,93466.0
cn,姬海棠果,234,89467.0,0.0026154895100986954,-0.4813739122273028,True,1,1.0,1.018617786464231,1.018617786464231,0.008580660347078082,0.008580660347078082,93466.0
cn,八坂神奈子,231,89467.0,0.0025819575933025583,-0.4846666188241068,True,1,1.0,0.4081070510920399,0.4081070510920399,0.005595617657757901,0.005595617657757901,93466.0
cn,桑尼米尔克,227,89467.0,0.002537248370907709,-0.48905689428651217,True,6,3.0,-1.8479264182742607,-0.615975472758087,0.001765347827017311,0.000588449275672437,93466.0
cn,二岩猯藏,218,89467.0,0.0024366526205192975,-0.4989350140769242,True,2,1.75,-0.9220470777020334,-0.526884044401162,0.0017920955213660582,0.0010240545836377477,93466.0
cn,村纱水蜜,216,89467.0,0.0024142980093218728,-0.5011301518081269,True,1,1.0,-0.6137872622370396,-0.6137872622370396,0.0005991483534119359,0.0005991483534119359,93466.0
cn,秋穰子,215,89467.0,0.0024031207037231604,-0.5022277206737282,True,1,1.0,0.06018157824552245,0.06018157824552245,0.003894464297177583,0.003894464297177583,93466.0
cn,娜兹玲,203,89467.0,0.002268993036538612,-0.5153985470609443,True,2,1.75,-0.5719333943344687,-0.3268190824768392,0.0035039479596858754,0.0020022559769633575,93466.0
cn,小野塚小町,192,89467.0,0.002146042674952776,-0.527471804582559,True,1,1.0,-0.11706347395930718,-0.11706347395930718,0.003027839000278176,0.003027839000278176,93466.0
cn,爱塔妮缇拉尔瓦,185,89467.0,0.0020678015357617893,-0.5351547866417684,True,1,1.0,-0.6356693674475125,-0.6356693674475125,0.0004921575760169474,0.0004921575760169474,93466.0
cn,秋静叶,179,89467.0,0.002000737702169515,-0.5417401998353765,True,1,1.0,-0.5940933675476141,-0.5940933675476141,0.0006954400530674256,0.0006954400530674256,93466.0
cn,幽谷响子,168,89467.0,0.001877787340583679,-0.5538134573569912,True,1,1.0,-0.7122567356841673,-0.7122567356841673,0.00011768985513448741,0.00011768985513448741,93466.0
cn,今泉影狼,161,89467.0,0.0017995462013926922,-0.5614964394162006,True,2,1.75,-1.1534503403027834,-0.6591144801730191,0.0006606680504140543,0.00037752460023660246,93466.0
cn,九十九弁弁,154,89467.0,0.0017213050622017056,-0.56917942147541,True,1,1.0,0.7429032608122738,0.7429032608122738,0.007232576551901226,0.007232576551901226,93466.0
cn,依神女苑,151,89467.0,0.0016877731454055685,-0.572472128072214,True,1,1.0,2.550365151197327,2.550365151197327,0.016070014764727282,0.016070014764727282,93466.0
cn,清兰,143,89467.0,0.0015983547006158695,-0.5812526789970247,True,2,1.75,-0.7973190780023385,-0.45561090171562196,0.002401942952517493,0.001372538830009996,93466.0
cn,星熊勇仪,142,89467.0,0.0015871773950171572,-0.582350247862626,True,2,1.75,-0.6550853941342654,-0.37433451093386594,0.0030973830055849184,0.0017699331460485248,93466.0
cn,梅蒂欣·梅兰可莉,141,89467.0,0.0015760000894184448,-0.5834478167282274,True,1,1.0,-0.6925628409947417,-0.6925628409947417,0.0002139815547899771,0.0002139815547899771,93466.0
cn,豪德寺三花,141,89467.0,0.0015760000894184448,-0.5834478167282274,True,1,1.0,-0.3621430523166025,-0.3621430523166025,0.0018295422934543042,0.0018295422934543042,93466.0
cn,孙美天,131,89467.0,0.001464227033431321,-0.5944235053842408,True,1,1.0,-0.21334473688538744,-0.21334473688538744,0.0025570795797402266,0.0025570795797402266,93466.0
cn,天火人血枪,129,89467.0,0.0014418724222338964,-0.5966186431154434,True,1,1.0,-0.640045788489607,-0.640045788489607,0.00047075942053794963,0.00047075942053794963,93466.0
