round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
9,chara,21,33,澳门,12,3,3,,25,30,
9,chara,21,34,台湾,68,6,6,,8.82,10.34,
9,chara,22,01,北京,713,20,18,2,2.81,3.07,1.64
9,chara,22,02,上海,757,22,17,5,2.91,2.8,3.88
9,chara,22,03,广东,1570,54,47,7,3.44,3.52,3.2
9,chara,22,04,天津,253,12,10,2,4.74,4.74,6.06
9,chara,22,05,重庆,244,5,4,1,2.05,1.93,3.13
9,chara,22,06,四川,604,21,20,1,3.48,3.91,1.1
9,chara,22,07,江苏,993,30,25,5,3.02,2.89,3.94
9,chara,22,08,浙江,853,22,18,4,2.58,2.5,3.13
9,chara,22,09,湖北,576,5,5,,0.87,1,
9,chara,22,10,湖南,356,16,13,3,4.49,4.48,4.84
9,chara,22,11,山东,592,21,15,6,3.55,2.94,7.89
9,chara,22,12,山西,137,3,2,1,2.19,1.67,6.25
9,chara,22,13,河北,281,12,12,,4.27,4.88,
9,chara,22,14,河南,380,8,7,1,2.11,2.1,2.27
9,chara,22,15,黑龙江,192,6,6,,3.13,3.53,
9,chara,22,16,吉林,123,5,5,,4.07,4.67,
9,chara,22,17,辽宁,303,11,11,,3.63,4.31,
9,chara,22,18,陕西,250,9,7,2,3.6,3.23,6.06
9,chara,22,19,内蒙古,87,1,1,,1.15,1.37,
9,chara,22,20,安徽,349,10,8,2,2.87,2.61,4.76
9,chara,22,21,福建,480,8,5,3,1.67,1.27,3.53
9,chara,22,22,江西,337,10,9,1,2.97,3.16,1.92
9,chara,22,23,广西,392,5,5,,1.28,1.56,
9,chara,22,24,海南,76,2,2,,2.63,3.17,
9,chara,22,25,贵州,143,1,1,,0.7,0.82,
9,chara,22,26,云南,125,2,2,,1.6,1.8,
9,chara,22,27,甘肃,57,1,1,,1.75,2.17,
9,chara,22,28,宁夏,10,,,,,,
9,chara,22,29,青海,15,1,1,,6.67,7.69,
9,chara,22,30,新疆,57,6,5,1,10.53,10.64,10
9,chara,22,31,西藏,1,,,,,,
9,chara,22,32,香港,66,1,1,,1.52,1.92,
9,chara,22,33,澳门,12,,,,,,
9,chara,22,34,台湾,68,3,3,,4.41,5.17,
9,chara,23,01,北京,713,95,78,17,13.32,13.29,13.93
9,chara,23,02,上海,757,111,95,16,14.66,15.65,12.4
9,chara,23,03,广东,1570,257,224,33,16.37,16.77,15.07
9,chara,23,04,天津,253,40,35,5,15.81,16.59,15.15
9,chara,23,05,重庆,244,28,23,5,11.48,11.11,15.63
9,chara,23,06,四川,604,88,75,13,14.57,14.68,14.29
9,chara,23,07,江苏,993,159,134,25,16.01,15.51,19.69
9,chara,23,08,浙江,853,122,99,23,14.3,13.73,17.97
9,chara,23,09,湖北,576,80,68,12,13.89,13.63,16
9,chara,23,10,湖南,356,61,55,6,17.13,18.97,9.68
9,chara,23,11,山东,592,76,63,13,12.84,12.33,17.11
9,chara,23,12,山西,137,23,22,1,16.79,18.33,6.25
9,chara,23,13,河北,281,38,33,5,13.52,13.41,15.15
9,chara,23,14,河南,380,47,44,3,12.37,13.17,6.82
9,chara,23,15,黑龙江,192,18,17,1,9.38,10,4.55
9,chara,23,16,吉林,123,22,18,4,17.89,16.82,25
9,chara,23,17,辽宁,303,43,34,9,14.19,13.33,18.75
9,chara,23,18,陕西,250,44,37,7,17.6,17.05,21.21
9,chara,23,19,内蒙古,87,12,9,3,13.79,12.33,21.43
9,chara,23,20,安徽,349,65,57,8,18.62,18.63,19.05
9,chara,23,21,福建,480,58,43,15,12.08,10.89,17.65
9,chara,23,22,江西,337,56,49,7,16.62,17.19,13.46
9,chara,23,23,广西,392,68,50,18,17.35,15.63,25
9,chara,23,24,海南,76,15,13,2,19.74,20.63,15.38
9,chara,23,25,贵州,143,19,18,1,13.29,14.75,4.76
9,chara,23,26,云南,125,18,16,2,14.4,14.41,14.29
9,chara,23,27,甘肃,57,12,8,4,21.05,17.39,36.36
9,chara,23,28,宁夏,10,2,2,,20,20,
9,chara,23,29,青海,15,2,2,,13.33,15.38,
9,chara,23,30,新疆,57,11,6,5,19.3,12.77,50
9,chara,23,31,西藏,1,,,,,,
9,chara,23,32,香港,66,13,9,4,19.7,17.31,28.57
