round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet,region,character_cn_raw,character_key,candidate_count,top_percentile,rank_fraction
11,55,吉吊八千慧,417,20,0.048,437,0.0314,0.0018,333,0.7986,84,0.2014,TouhouVote_cn.xlsx,11,cn,吉吊八千慧,吉吊八千慧,244,77.7778,0.22541
11,56,赫卡提亚·拉碧斯拉祖利,407,29,0.0713,436,0.0306,0.0026,333,0.8182,74,0.1818,TouhouVote_cn.xlsx,11,cn,赫卡提亚·拉碧斯拉祖利,赫卡提亚拉碧斯拉祖利,244,77.3663,0.229508
11,57,魅魔,382,15,0.0393,397,0.0288,0.0013,313,0.8194,69,0.1806,TouhouVote_cn.xlsx,11,cn,魅魔,魅魔,244,76.9547,0.233607
11,58,少名针妙丸,376,43,0.1144,419,0.0283,0.0039,323,0.859,53,0.141,TouhouVote_cn.xlsx,11,cn,少名针妙丸,少名针妙丸,244,76.5432,0.237705
11,59,赤蛮奇,368,45,0.1223,413,0.0277,0.004,322,0.875,46,0.125,TouhouVote_cn.xlsx,11,cn,赤蛮奇,赤蛮奇,244,76.1317,0.241803
11,59,河城荷取,368,45,0.1223,413,0.0277,0.004,323,0.8777,45,0.1223,TouhouVote_cn.xlsx,11,cn,河城荷取,河城荷取,244,76.1317,0.241803
11,61,霍青娥,355,24,0.0676,379,0.0267,0.0022,260,0.7324,95,0.2676,TouhouVote_cn.xlsx,11,cn,霍青娥,霍青娥,244,75.3086,0.25
11,62,露娜切露德,354,23,0.065,377,0.0267,0.0021,325,0.9181,29,0.0819,TouhouVote_cn.xlsx,11,cn,露娜切露德,露娜切露德,244,74.8971,0.254098
11,63,神绮,351,20,0.057,371,0.0264,0.0018,308,0.8775,43,0.1225,TouhouVote_cn.xlsx,11,cn,神绮,神绮,244,74.4856,0.258197
11,64,豫母都日狭美,337,10,0.0297,347,0.0254,0.0009,254,0.7537,83,0.2463,TouhouVote_cn.xlsx,11,cn,豫母都日狭美,豫母都日狭美,244,74.0741,0.262295
11,65,封兽鵺,317,30,0.0946,347,0.0239,0.0027,270,0.8517,47,0.1483,TouhouVote_cn.xlsx,11,cn,封兽鵺,封兽鵺,244,73.6626,0.266393
11,66,宇佐见堇子,316,28,0.0886,344,0.0238,0.0025,234,0.7405,82,0.2595,TouhouVote_cn.xlsx,11,cn,宇佐见堇子,宇佐见堇子,244,73.251,0.270492
11,67,森近霖之助,313,43,0.1374,356,0.0236,0.0039,268,0.8562,45,0.1438,TouhouVote_cn.xlsx,11,cn,森近霖之助,森近霖之助,244,72.8395,0.27459
11,67,菅牧典,313,18,0.0575,331,0.0236,0.0016,267,0.853,46,0.147,TouhouVote_cn.xlsx,11,cn,菅牧典,菅牧典,244,72.8395,0.27459
11,69,物部布都,310,25,0.0806,335,0.0233,0.0022,221,0.7129,89,0.2871,TouhouVote_cn.xlsx,11,cn,物部布都,物部布都,244,72.0165,0.282787
11,70,橙,309,15,0.0485,324,0.0233,0.0013,257,0.8317,52,0.1683,TouhouVote_cn.xlsx,11,cn,橙,橙,244,71.6049,0.286885
11,71,日白残无,303,10,0.033,313,0.0228,0.0009,214,0.7063,89,0.2937,TouhouVote_cn.xlsx,11,cn,日白残无,日白残无,244,71.1934,0.290984
11,72,奥野田美宵,302,7,0.0232,309,0.0227,0.0006,274,0.9073,28,0.0927,TouhouVote_cn.xlsx,11,cn,奥野田美宵,奥野田美宵,244,70.7819,0.295082
11,73,小恶魔,297,17,0.0572,314,0.0224,0.0015,260,0.8754,37,0.1246,TouhouVote_cn.xlsx,11,cn,小恶魔,小恶魔,244,70.3704,0.29918
11,74,克劳恩皮丝,292,11,0.0377,303,0.022,0.001,260,0.8904,32,0.1096,TouhouVote_cn.xlsx,11,cn,克劳恩皮丝,克劳恩皮丝,244,69.9588,0.303279
11,75,因幡天为（因幡帝）,281,18,0.0641,299,0.0212,0.0016,252,0.8968,29,0.1032,TouhouVote_cn.xlsx,11,cn,因幡天为（因幡帝）,因幡天为因幡帝,244,69.5473,0.307377
