character_cn,first_appearance,first_jp_eligible_round,first_cn_eligible_round,eligible_jp_rounds,eligible_cn_rounds,missing_early_jp_rounds,missing_early_cn_rounds,event_count,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_fulltext_comment_sample_count,pixiv_tag_count_snapshot,eligible_jp_rounds_with_evidence,eligible_cn_rounds_with_evidence,eligible_jp_rounds_without_evidence,eligible_cn_rounds_without_evidence,gap_status,coverage_limit
小野塚小町,东方花映塚,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3,0,0,0,0,,4,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
少名针妙丸,东方辉针城,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11,0,5,0,0,2,,2,0,10,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
尔子田里乃,东方天空璋,14,6,14;15;16;17;18;19;20;21,6;7;8;9;10;11,14;15;16;17;18;19;20,6;7;8;9;10;11,1,1,0,0,1,,1,0,7,6,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
山城高岭,东方虹龙洞,17,10,17;18;19;20;21,10;11,17;18;19;20,10;11,0,1,0,0,1,,1,0,4,2,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
帕秋莉·诺蕾姬,东方红魔乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,2,3,0,0,3,,4,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
幻月,东方幻想乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
幽幻魔眼,东方灵异传,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
幽谷响子,东方神灵庙,9,1,9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9,2,2,39,0,2,,1,2,12,9,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
庭渡久侘歌,东方鬼形兽,16,8,16;17;18;19;20;21,8;9;10;11,16;17;18;19;20;21,8;9;10;11,1,0,0,0,0,,0,0,6,4,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
戎璎花,东方鬼形兽,16,8,16;17;18;19;20;21,8;9;10;11,16;17;18;19;20;21,8;9;10;11,1,0,0,0,0,,0,0,6,4,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
