region,round,source_id,character_jp,character_cn,under20_rate,under20_denominator,female_rate,female_denominator,first_time_voter_rate,first_time_voter_denominator,event_participation_rate,event_participation_denominator,2019plus_cognition_rate,2019plus_cognition_denominator,source_note,poll_rank,poll_points,poll_primary_num,poll_official_support_count,poll_candidate_count,poll_top_percentile,join_note
jp,21,85,稀神 サグメ,稀神探女,0.594415,752,0.238651,771,0.286264,779,0.454672,717,0.435463,767,官方角色条件问卷；各题分母不同，比例不可相加。,41,3561,324,11,221,81.8182,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,86,クラウンピース,克劳恩皮丝,0.428571,413,0.183133,415,0.31829,421,0.459391,394,0.357664,411,官方角色条件问卷；各题分母不同，比例不可相加。,70,1724,117,4,221,68.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,87,純狐,纯狐,0.472746,954,0.261317,972,0.333676,974,0.435165,910,0.390576,955,官方角色条件问卷；各题分母不同，比例不可相加。,26,4972,479,4,221,88.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,88,ヘカーティア・ラピスラズリ,赫卡提亚·拉碧斯拉祖利,0.600506,791,0.296526,806,0.367971,818,0.389175,776,0.420854,796,官方角色条件问卷；各题分母不同，比例不可相加。,33,4069,326,6,221,85.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,89,エタニティラルバ,爱塔妮缇拉尔瓦,0.464286,168,0.304348,161,0.289941,169,0.462963,162,0.410714,168,官方角色条件问卷；各题分母不同，比例不可相加。,127,586,43,,221,42.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,9,十六夜 咲夜,十六夜咲夜,0.694363,3069,0.288443,3141,0.486739,3205,0.361561,3023,0.532485,2986,官方角色条件问卷；各题分母不同，比例不可相加。,5,19804,2518,14,221,98.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,90,坂田ネムノ,坂田合欢,0.640449,89,0.544444,90,0.5,96,0.344444,90,0.484211,95,官方角色条件问卷；各题分母不同，比例不可相加。,141,405,18,5,221,36.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,91,高麗野あうん,高丽野阿吽,0.385455,275,0.217082,281,0.269231,286,0.431734,271,0.336996,273,官方角色条件问卷；各题分母不同，比例不可相加。,95,1104,69,4,221,57.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,92,矢田寺成美,矢田寺成美,0.3,110,0.173913,115,0.162393,117,0.469565,115,0.301724,116,官方角色条件问卷；各题分母不同，比例不可相加。,143,380,20,2,221,35.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,93,爾子田里乃,尔子田里乃,0.560284,141,0.426573,143,0.321678,143,0.431818,132,0.385185,135,官方角色条件问卷；各题分母不同，比例不可相加。,129,534,25,1,221,41.8182,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,94,丁礼田舞,丁礼田舞,0.655367,177,0.445652,184,0.342246,187,0.435754,179,0.388889,180,官方角色条件问卷；各题分母不同，比例不可相加。,123,647,47,1,221,44.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,95,摩多羅隠岐奈,摩多罗隐岐奈,0.530769,780,0.334606,786,0.285536,802,0.456839,753,0.428208,787,官方角色条件问卷；各题分母不同，比例不可相加。,43,3430,356,2,221,80.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,96,依神女苑,依神女苑,0.37971,345,0.253644,343,0.2149,349,0.476923,325,0.311953,343,官方角色条件问卷；各题分母不同，比例不可相加。,74,1575,124,3,221,66.8182,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,97,依神紫苑,依神紫苑,0.613128,716,0.235049,719,0.358108,740,0.406926,693,0.40638,721,官方角色条件问卷；各题分母不同，比例不可相加。,34,4065,420,7,221,85.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,98,戎 瓔花,戎璎花,0.454545,77,0.294872,78,0.220779,77,0.567568,74,0.379747,79,官方角色条件问卷；各题分母不同，比例不可相加。,145,362,31,,221,34.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,99,牛崎 潤美,牛崎润美,0.375,56,0.413793,58,0.333333,54,0.44,50,0.320755,53,官方角色条件问卷；各题分母不同，比例不可相加。,159,240,17,4,221,28.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
