id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio
45,东方儚月抄,東方儚月抄,292,<a href='./?m=info&type=work&id=45' target='_blank'>点击查看详情</a>,novel006,42,62,81,22.7%,0.75%,33.51%,1.11%,43.78%,1.45%,185,3.32%,153,32,82.7%,17.3%,2.34%,2.14%
46,东方茨歌仙,東方茨歌仙,462,<a href='./?m=info&type=work&id=46' target='_blank'>点击查看详情</a>,novel008,67,97,101,25.28%,1.2%,36.6%,1.74%,38.11%,1.81%,265,4.75%,231,33,87.17%,12.45%,3.53%,2.2%
47,东方铃奈庵,東方鈴奈庵,602,<a href='./?m=info&type=work&id=47' target='_blank'>点击查看详情</a>,novel010,90,121,159,24.32%,1.61%,32.7%,2.17%,42.97%,2.85%,370,6.63%,304,66,82.16%,17.84%,4.64%,4.41%
48,东方求闻史纪,東方求聞史紀,400,<a href='./?m=info&type=work&id=48' target='_blank'>点击查看详情</a>,novel005,58,84,131,21.25%,1.04%,30.77%,1.51%,47.99%,2.35%,273,4.9%,230,43,84.25%,15.75%,3.51%,2.87%
49,东方求闻口授,東方求聞口授,134,<a href='./?m=info&type=work&id=49' target='_blank'>点击查看详情</a>,novel009,14,39,61,12.28%,0.25%,34.21%,0.7%,53.51%,1.09%,114,2.04%,97,17,85.09%,14.91%,1.48%,1.13%
50,The Grimoire of Marisa,The Grimoire of Marisa,40,<a href='./?m=info&type=work&id=50' target='_blank'>点击查看详情</a>,novel007,6,8,14,21.43%,0.11%,28.57%,0.14%,50%,0.25%,28,0.5%,23,5,82.14%,17.86%,0.35%,0.33%
51,东方文花帖,東方文花帖,50,<a href='./?m=info&type=work&id=51' target='_blank'>点击查看详情</a>,novel003,8,9,16,24.24%,0.14%,27.27%,0.16%,48.48%,0.29%,33,0.59%,28,5,84.85%,15.15%,0.43%,0.33%
52,东方紫香花,東方紫香花,30,<a href='./?m=info&type=work&id=52' target='_blank'>点击查看详情</a>,novel004,5,5,5,33.33%,0.09%,33.33%,0.09%,33.33%,0.09%,15,0.27%,15,0,100%,0%,0.23%,0%
53,东方外来韦编,東方外來韋編,58,<a href='./?m=info&type=work&id=53' target='_blank'>点击查看详情</a>,novel011,8,13,23,18.18%,0.14%,29.55%,0.23%,52.27%,0.41%,44,0.79%,40,4,90.91%,9.09%,0.61%,0.27%
54,燕石博物志,燕石博物誌,150,<a href='./?m=info&type=work&id=54' target='_blank'>点击查看详情</a>,music080,20,35,41,20.83%,0.36%,36.46%,0.63%,42.71%,0.74%,96,1.72%,71,25,73.96%,26.04%,1.08%,1.67%
55,旧约酒吧,旧約酒場,66,<a href='./?m=info&type=work&id=55' target='_blank'>点击查看详情</a>,music090,7,19,32,12.07%,0.13%,32.76%,0.34%,55.17%,0.57%,58,1.04%,42,16,72.41%,27.59%,0.64%,1.07%
